"rownum","BuffDefinitions","[i32]","StatsKeys","i32","[i32]","i32","i32","[i32]"
0,853,[],"[477,447]",0,[],0,0,[]
1,872,[],"[6231,6235]",0,[],1,0,[]
2,898,[],[346],25,"[1,2,0]",2,0,[]
3,900,"[1,1]",[477],0,[],3,0,[]
4,902,[],"[173,172,6239,1114]",0,[],4,0,[]
5,904,[],"[24,477,70,177]",0,[],5,0,[]
6,1083,[],"[24,70,216,177,477]",0,[],6,0,[]
7,897,[],"[6370,6371,6372]",0,[],7,0,[]
8,1142,[1],[],30,[2],8,0,[]
9,1257,[],[],0,[],9,0,[]
10,1304,[],"[177,70]",0,[],10,0,[]
11,1383,[],[24],0,[],11,0,[]
12,1394,[],"[717,24]",0,[],12,0,[]
13,1420,[],"[43,44,611,4992,477]",0,[],13,0,[]
14,1421,[],"[50,51,7415,477]",0,[],14,0,[]
15,1422,[],"[57,58,7416,477,659]",0,[],15,0,[]
16,1423,[],"[28,29,477,1904]",0,[],16,0,[]
17,1431,[],[140],0,[],17,0,[]
18,1435,[],[1953],200,"[2,9,13]",18,100,[]
19,1435,[],[1953],200,"[2,9,13]",19,85,[]
20,1435,[],[1953],200,"[2,9,13]",20,70,[]
21,1435,[],[1953],200,"[2,9,13]",21,55,[]
22,1435,[],[1953],200,"[2,9,13]",22,35,[]
23,1407,[],"[5865,5866,5868,5869,346]",74,"[2,9,10]",23,0,[]
24,1408,[],"[5865,5866,5868,5869,346]",55,"[2,9,10]",24,0,[]
25,1446,[],"[5865,5866,5868,5869,346]",74,"[2,9,18]",25,0,[]
26,1447,[],"[5865,5866,5868,5869,346]",55,"[2,9,18]",26,0,[]
27,905,[],"[24,477,70,177,3411]",0,[],28,0,[]
28,901,"[1,1,1]",[477],0,[],29,0,[]
29,903,[],"[173,172,6239,1114,10613]",0,[],30,0,[]
30,899,[],[346],35,"[1,0]",31,0,[]
31,906,[],"[595,659]",0,[],32,0,[]
32,1638,[],[1952],23,"[2,4,9]",33,0,[]
33,1638,[],[1952],11,"[2,4,9]",34,0,[]
34,1698,[],"[477,151,153]",16,"[2,10]",35,0,[]
35,1701,[],[346],0,[],36,0,[]
36,1718,[-8],[1956],120,"[2,9,10]",37,0,[]
37,1722,[],[477],28,"[1,9,14]",38,0,[]
38,1700,[],[346],120,"[0,1,2,9]",39,0,[]
39,1729,[],"[139,138]",0,[],40,0,[]
40,1638,[],[1952],23,"[2,3,9]",41,0,[]
41,1638,[],[1952],11,"[2,3,9]",42,0,[]
42,1755,[],[2564],14,[2],43,0,[]
43,1756,[],[2564],14,[2],44,0,[400]
44,1782,[],[],0,[],45,0,[]
45,1847,[],[1950],150,"[2,9,13]",46,55,[]
46,1954,[],"[3342,1954]",38,"[2,13]",47,25,[]
47,1974,[],"[70,216,214,15477]",0,[],48,0,[]
48,1408,[],"[5865,5866,5868,5869,346]",48,"[2,9,10]",49,0,[]
49,2084,[],[1956],15,"[2,9]",50,0,[]
50,1784,[10],[],0,[],1000,0,"[1,50]"
