"rownum","MonsterVarietiesKey","i32","MinLevel","MaxLevel","i32"
0,5452,100,0,25,100
1,5453,100,0,25,100
2,5454,100,0,25,100
3,5455,100,0,25,100
4,5456,100,0,25,100
5,5457,100,10,100,100
6,5458,100,10,100,100
7,5459,100,10,100,100
8,5460,100,10,100,100
9,5461,100,25,100,100
10,5462,100,25,100,100
11,5465,100,25,100,100
12,5468,100,25,100,100
13,5471,100,25,100,100
14,5474,100,46,100,100
15,5477,100,46,100,100
16,5480,100,46,100,100
17,5483,100,46,100,100
18,5486,100,46,100,100
19,5489,20,60,100,40
20,5490,20,60,100,40
21,5491,20,60,100,40
22,5492,20,60,100,40
23,5493,20,60,100,40
24,5494,20,60,100,40
25,5495,20,60,100,40
26,5496,20,60,100,40
27,5497,20,60,100,40
