"rownum","Id","Currencies","CurrencyCount","[rid]","Disabled","ItemClassText"
0,"AltSpam","[0,1,2,3,4,5,6]","[1,200,100,1,3,20,1]",[],"","<whiteitem>{Normal} Item"
1,"Essences","[7,12,12,12,12,12,4,6]","[20,4,4,4,4,4,20,1]","[35,41,50,37]",1,"<whiteitem>{Normal} Essence craftable Item"
2,"ChaosSpam","[8,9,4,5,10,6]","[1,200,6,20,20,1]",[],"","<whiteitem>{Normal} Item"
3,"ExaltAnnul","[8,11,4,5,10,6]","[1,100,100,5,5,1]",[],"","<whiteitem>{Normal} Item"
4,"HardModeShieldCraft","[0,1,2,3,4,11,6]","[1,20,20,1,20,20,1]",[26],"","<whiteitem>{Normal} Shield"
5,"HardModeBeltCraft","[0,1,2,3,4,11,6]","[1,20,20,1,20,20,1]",[21],"","<whiteitem>{Normal} Belt"
6,"HardModeGloveCraft","[0,1,2,3,4,11,6]","[1,20,20,1,20,20,1]",[22],"","<whiteitem>{Normal} Gloves item"
7,"HardModeBodyArmourCraft","[0,1,2,3,4,11,6]","[1,20,20,1,20,20,1]",[24],"","<whiteitem>{Normal} Body Armour"
8,"HardModeHelmetCraft","[0,1,2,3,4,11,6]","[1,20,20,1,20,20,1]",[25],"","<whiteitem>{Normal} Helmet"
9,"HardModeRingCraft","[0,1,2,3,4,11,6]","[1,20,20,1,20,20,1]",[5],"","<whiteitem>{Normal} Ring"
10,"HardModeBootsCraft","[0,1,2,3,4,11,6]","[1,20,20,1,20,20,1]",[23],"","<whiteitem>{Normal} Boots item"
11,"HardModeWeaponCraft","[0,1,2,3,4,11,6]","[1,20,20,1,20,20,1]","[9,10,15,11,16,12,17,13,8,14,56,32,7,57,6,37]","","<whiteitem>{Normal} Weapon"
12,"HardModeAmuletCraft","[0,1,2,3,4,11,6]","[1,20,20,1,20,20,1]",[4],"","<whiteitem>{Normal} Amulet"
