"rownum","Id","WorldAreasKey","CharactersKey","MonsterVarietiesKey","i32"
0,"ProxyKey0",1334,0,2562,1
1,"ProxyKey1",1338,0,2574,1
2,"ProxyKey2",1339,0,2574,1
3,"ProxyKey3",1346,0,2543,1
4,"ProxyKey4",1347,0,2543,1
5,"ProxyKey5",1354,0,2589,1
6,"ProxyKey6",1334,1,2552,1
7,"ProxyKey7",1338,1,2583,1
8,"ProxyKey8",1339,1,2583,1
9,"ProxyKey9",1346,1,2574,1
10,"ProxyKey10",1347,1,2574,1
11,"ProxyKey11",1354,1,2589,1
12,"ProxyKey12",1334,3,2535,1
13,"ProxyKey13",1338,3,2543,1
14,"ProxyKey14",1339,3,2543,1
15,"ProxyKey15",1346,3,2583,1
16,"ProxyKey16",1347,3,2583,1
17,"ProxyKey17",1354,3,2589,1
18,"ProxyKey18",1334,6,2574,1
19,"ProxyKey19",1338,6,2552,1
20,"ProxyKey20",1339,6,2552,1
21,"ProxyKey21",1346,6,2562,1
22,"ProxyKey22",1347,6,2562,1
23,"ProxyKey23",1354,6,2589,1
24,"ProxyKey24",1334,4,2543,1
25,"ProxyKey25",1338,4,2562,1
26,"ProxyKey26",1339,4,2562,1
27,"ProxyKey27",1346,4,2535,1
28,"ProxyKey28",1347,4,2535,1
29,"ProxyKey29",1354,4,2589,1
30,"ProxyKey30",1334,5,2583,1
31,"ProxyKey31",1338,5,2535,1
32,"ProxyKey32",1339,5,2535,1
33,"ProxyKey33",1346,5,2552,1
34,"ProxyKey34",1347,5,2552,1
35,"ProxyKey35",1354,5,2589,1
36,"ProxyKey36",1334,2,2552,1
37,"ProxyKey50",1334,2,2535,1
38,"ProxyKey51",1338,2,2562,1
39,"ProxyKey37",1338,2,2583,1
40,"ProxyKey42",1339,2,2562,1
41,"ProxyKey43",1339,2,2583,1
42,"ProxyKey38",1346,2,2574,1
43,"ProxyKey44",1346,2,2543,1
44,"ProxyKey45",1347,2,2574,1
45,"ProxyKey39",1347,2,2543,1
46,"ProxyKey41",1354,2,2589,1
