"rownum","Id","StatsKey","bool","StatMin","StatMax","bool"
0,"IsMagic",1945,"",1,1,""
1,"IsRare",1945,"",2,2,""
2,"IsUnique",1945,"",3,3,""
3,"IsTwinned",980,1,1,1,""
4,"IsUnidentified",1357,1,1,1,""
5,"IsCorrupted",2522,1,1,1,""
6,"Has4ExplicitMods",4492,1,4,4,""
7,"Has5ExplicitMods",4492,1,5,5,""
8,"Has8ExplicitMods",4492,1,8,8,""
9,"Has10TotalMods",6494,1,10,10,""
10,"Has3Leaguestones",5798,1,3,3,""
11,"HasZanaMod",7690,1,1,1,""
12,"HasCraftedMods",7691,1,1,1,""
13,"HasShaperInfluence",6830,"",1,1,""
14,"HasElderInfluence",6830,"",2,2,""
15,"HasShaperOrElderInfluence",6830,"",1,2,""
16,"IsWhiteTier",10014,"",1,5,""
17,"IsYellowTier",10014,"",6,10,""
18,"IsRedTier",10014,"",11,16,""
19,"IsTier15",10014,"",15,15,""
20,"IsTier16",10014,"",16,16,""
21,"HasSextantMod",5831,1,1,1,""
22,"HasNemesisSextant",4932,1,1,1,""
23,"HasGroundHasteSextant",5053,1,1,1,""
24,"HasNoReflectSextant",5079,1,1,1,""
25,"HasExtraTeamMonstersSextant",5087,1,1,1,""
26,"HasBodyguardsSextant",5116,1,1,1,""
27,"HasBarrelSextant1",5113,1,1,1,""
28,"HasBarrelSextant2",5140,1,1,1,""
29,"HasBarrelSextant3",5141,1,1,1,""
30,"HasBarrelSextant4",5142,1,1,1,""
31,"HasBarrelSextant5",5143,1,1,1,""
32,"HasBarrelSextant6",5144,1,1,1,""
33,"HasConvertOnDeathSextant",5086,1,1,1,""
34,"HasOnslaughtIfHitRecentlySextant",5036,1,1,1,""
35,"HasQualityAffectsRaritySextant",5071,1,1,1,""
36,"HasCorruptedDropsSextant",5073,1,1,1,""
37,"HasMinStrongboxRaritySextant",5139,1,1,1,""
38,"HasPossessedRustedScarabSextant",9338,1,1,1,""
39,"HasPossessedPolishedScarabSextant",9339,1,1,1,""
40,"HasPossessedGildedScarabSextant",9340,1,1,1,""
41,"HasPossessedWingedScarabSextant",9341,1,1,1,""
42,"HasPossessedUniqueDropSextant",9342,1,1,1,""
43,"HasPossessedMapDropSextant",9343,1,1,1,""
44,"HasShrineDurationSextant",5711,1,1,1,""
45,"HasCurrencyShardSextant",9347,1,1,1,""
46,"HasVaalMonstersSextant",9371,1,1,1,""
47,"HasBeyondSextant",9362,1,1,1,""
48,"HasTormentBetrayersSextant",9400,1,1,1,""
49,"HasTormentHereticsSextant",9401,1,1,1,""
50,"HasTormentGraverobbersSextant",9399,1,1,1,""
51,"HasCorruptEssenceSextant",9813,1,1,1,""
52,"HasTempests",3120,1,1,1,""
53,"HasLegionSextant",9359,1,1,1,""
54,"HasQuality",5072,1,20,20,""
55,"IsDeliriumMap",11507,1,1,1,""
56,"IsMaximumDelirium",11507,1,100,100,""
57,"AwakeningLevel8",10708,1,8,8,""
58,"ContainsElderGuardian",6550,1,1,1,""
59,"IsBlightedMap",10345,1,1,1,""
60,"IsUberBlightedMap",14772,1,1,1,""
61,"IsT10PlusHellscapeMap",15078,1,10,10,""
62,"HasIncreasedAreaOfEffect",3245,1,1,1,""
63,"HasMinusMaxResistances",1008,"",-1,-1,1
64,"HasAdditionalProjectiles",995,1,1,1,""
65,"HasAttackSpeed",991,1,1,1,""
66,"HasCastSpeed",992,1,1,1,""
67,"HasMovementSpeed",990,1,1,1,""
68,"Has4SextantMods",5831,1,4,4,""
69,"HasTangleInfluence",10600,"",1,1,""
70,"HasCleansingFireInfluence",10600,"",2,2,""
71,"HasHeightOfHubrisAffectingArea",16290,1,1,1,""
72,"Has70PercentBossAoE",3255,1,70,70,""
73,"IsTier14Plus",10014,1,14,14,""
74,"Expedition5Remnants",14656,1,5,5,""
75,"Expedition15Remnants",14656,1,15,15,""
76,"IsLastMapOfAMemoryLine",16866,1,1,1,""
77,"IsFirstMapOfMemoryLineTier14Plus",16867,1,14,14,""
78,"IsAnyMemoryLine",16868,1,1,1,""
79,"IsAbyssMemoryLine",16868,"",1,1,""
80,"IsAmbushMemoryLine",16868,"",2,2,""
81,"IsAnarchyMemoryLine",16868,"",3,3,""
82,"IsBestiaryMemoryLine",16868,"",4,4,""
83,"IsBetrayalMemoryLine",16868,"",5,5,""
84,"IsBlightMemoryLine",16868,"",6,6,""
85,"IsBreachMemoryLine",16868,"",7,7,""
86,"IsDeliriumMemoryLine",16868,"",8,8,""
87,"IsDominationMemoryLine",16868,"",9,9,""
88,"IsEssenceMemoryLine",16868,"",10,10,""
89,"IsExpeditionMemoryLine",16868,"",11,11,""
90,"IsHarvestMemoryLine",16868,"",12,12,""
91,"IsHeistMemoryLine",16868,"",13,13,""
92,"IsIncursionMemoryLine",16868,"",14,14,""
93,"IsLegionMemoryLine",16868,"",15,15,""
94,"IsMetamorphMemoryLine",16868,"",16,16,""
95,"IsRitualMemoryLine",16868,"",17,17,""
96,"IsTormentMemoryLine",16868,"",18,18,""
97,"IsHarbingerMemoryLine",16868,"",19,19,""
98,"AtLeast100Quantity",1037,1,100,100,""
99,"AtLeast80Quantity",1037,1,80,80,""
