"rownum","MonsterVarietiesKey","[rid]","[i32]","Name"
0,1103,[717],[50],"Drowned"
1,1105,[717],[50],"Drowned"
2,1107,[717],[50],"Drowned"
3,4232,[717],[100],"Savage Crab"
4,4239,[717],[75],"Savage Crab"
5,4246,[717],[50],"Savage Crab"
6,6017,[717],[50],"Kelp Crab"
7,6018,[717],[100],"Shore Crab"
8,6019,[717],[50],"Coconut Crab"
9,6020,[717],[50],"Spider Crab"
10,472,[717],[100],"Gravel Eater"
11,2691,[717],[50],"Cannibal"
12,2688,[717],[50],"Cannibal"
13,2651,[717],[50],"Cannibal"
14,2656,[717],[50],"Cannibal"
15,2714,[717],[50],"Cannibal Fire-eater"
16,2654,[717],[50],"Fire Fury"
17,1140,[717],[50],"Dripping Dead"
18,1143,[717],[50],"Dripping Dead"
19,1146,[717],[50],"Dripping Dead"
20,416,[717],[50],"Rhoa Mare"
21,424,[],[],"Tercel Rhoa"
22,1134,[717],[50],"Dripping Dead"
23,1136,[717],[50],"Dripping Dead"
24,1138,[717],[50],"Dripping Dead"
25,1046,"[483,717]","[80,50]","Tide Strider"
26,429,[717],[50],"Oozeback Bloom"
27,886,[717],[100],"Cursed Spawn"
28,495,[717],[100],"Cave Crustacean"
29,907,[717],[150],"Broodling"
30,1063,"[483,717]","[80,50]","Cavern Strider"
31,641,[717],[50],"Ancient Bonestalker"
32,485,[],[],"Brood Princess"
33,651,[717],[50],"Rattling Bones"
34,519,[717],[50],"Ancient Archer"
35,2689,[717],[50],"Cannibal"
36,2652,[717],[50],"Cannibal"
37,2715,[717],[50],"Cannibal Fire-eater"
38,215,[717],[50],"Goatman"
39,1538,[717],[50],"Gluttonous Gull"
40,986,[],[],"Kuduku, the False God"
41,256,[717],[50],"Goatman Shaman"
42,532,[717],[50],"Burning Bowman"
43,5250,[717],[50],"Dreadwheel"
44,5252,[717],[50],"Dreadwheel"
45,516,[],[],"Ironpoint the Forsaken"
46,253,[],[],"The Faun"
47,394,[717],[25],"Necromancer"
48,514,"[1085,9553,717]","[20,10,50]","Chatters"
49,539,[717],[50],"Brittle Poacher"
50,649,[717],[50],"Brittle Thief"
51,1208,[717],[50],"Rotting Damned"
52,1210,[717],[50],"Rotting Damned"
53,1212,[717],[50],"Rotting Damned"
54,142,[],[],"Brutus, Lord Incarcerator"
55,398,[],[],"Sawbones"
56,403,[717],[25],"Diabolist"
57,546,[717],[50],"Brittle Bleeder"
58,579,[717],[50],"Axiom Frostguard"
59,623,[717],[50],"Axiom Thunderguard"
60,677,[717],[50],"Brittle Thief"
61,229,[484],[80],"Bearded Devil"
62,267,[717],[50],"Bearded Shaman"
63,313,[717],[50],"Flame Hellion"
64,153,"[484,717]","[50,50]","Spectral Corsair"
65,425,[717],[50],"Murk Runner"
66,509,[],[],"Captain Fairgraves"
67,898,[717],[100],"Slimy Bloodsucker"
68,1037,"[483,717]","[80,50]","Seething Brine"
69,167,"[484,717]","[50,50]","Cursed Mariner"
70,494,[717],[50],"Scrabbling Menace"
71,887,[717],[100],"Fathom Screamer"
72,1034,[483],[80],"Stranglecharm"
73,1053,"[483,717]","[80,50]","Seething Brine"
74,171,"[484,717]","[50,50]","Ashen Buccaneer"
75,174,"[484,717]","[50,50]","Spectral Bowman"
76,460,"[484,717]","[80,100]","Obsidian Eater"
77,479,[],[],"Amarissa, Daughter of Merveil"
78,488,[717],[50],"Singing Siren"
79,900,[717],[100],"Slimy Bloodsucker"
80,151,[],[],"Merveil, the Twisted"
81,477,[],[],"Ambrosia, Daughter of Merveil"
82,481,[717],[100],"Merveil's Daughter"
83,482,[717],[100],"Merveil's Attendant"
84,3444,[717],[50],"Resplendent Construct"
85,3445,[717],[50],"Resplendent Construct"
86,1,"[1085,9553,717]","[20,10,50]","Calaf, Headstaver"
87,339,[717],[100],"Blood Ape"
88,352,[717],[25],"Blood Chieftain"
89,874,"[485,717]","[30,50]","Bramble Cobra"
90,1520,[717],[100],"Carrion Swarmer"
91,5,[717],[50],"Kraityn's Scout"
92,119,[],[],"Hairy Bonecruncher"
93,356,[717],[25],"Carnage Chieftain"
94,364,[717],[100],"Carnage Ape"
95,376,[],[],"Gneiss"
96,378,[717],[25],"Ruined Titan"
97,840,[717],[50],"Scarecrow"
98,842,[717],[50],"Scarecrow"
99,844,[717],[50],"Scarecrow"
100,846,[717],[50],"Scarecrow"
101,848,[717],[50],"Scarecrow"
102,850,[717],[50],"Scarecrow"
103,3861,"[484,717]","[80,75]","Dirt Scrabbler"
104,105,[],[],"Cave Beast"
105,110,[],[],"The Great White Beast"
106,366,[717],[100],"Barrow Ape"
107,369,[717],[25],"Stalag Nightmare"
108,946,[717],[100],"Cave Skitterer"
109,6,[717],[50],"Kraityn's Scout"
110,57,"[1085,9553,717]","[20,10,50]","Kraityn's Aspirant"
111,118,[],[],"Bone Cruncher"
112,370,[717],[25],"Rumbling Mass"
113,371,[717],[25],"Hulking Titan"
114,537,[717],[50],"Brittle Archer"
115,699,[717],[50],"Brittle Farmer"
116,701,[717],[50],"Brittle Farmer"
117,703,[717],[50],"Brittle Farmer"
118,705,[717],[50],"Brittle Farmer"
119,707,[717],[50],"Brittle Farmer"
120,831,[],[],"Bravalo"
121,586,[717],[50],"Frost Priest"
122,590,[717],[50],"Frost Preacher"
123,614,[717],[50],"Flame Priest"
124,631,[717],[50],"Thunder Priest"
125,643,[717],[50],"Brittle Cleric"
126,942,[717],[50],"Crypt Weaver"
127,400,[717],[25],"Defiler"
128,506,"[1085,9553,717]","[20,10,50]","Archbishop Geofri the Abashed"
129,584,[717],[50],"Frost Bishop"
130,610,[717],[50],"Flame Bishop"
131,653,[717],[50],"Vault Guardian"
132,541,[717],[50],"Sin Archer"
133,908,[717],[50],"Black Death"
134,943,[717],[50],"Mutant Arach"
135,947,[717],[100],"Spindle Spider"
136,1193,[717],[50],"Sutured Aberration"
137,1195,[717],[50],"Sutured Aberration"
138,1197,[717],[50],"Sutured Aberration"
139,145,[],[],"Fidelitas, the Mourning"
140,405,[717],[25],"Sin Lord"
141,638,[717],[50],"Sparking Mage"
142,777,"[484,717]","[50,50]","Sparking Bones"
143,940,[717],[50],"Corrupted Arach"
144,9,[717],[50],"Oak's Sniper"
145,35,[717],[50],"Kraityn, Scarbearer"
146,54,"[1085,9553,717]","[20,10,50]","Kraityn's Thrall"
147,11,[717],[50],"Shadow Archer"
148,51,[717],[50],"Callow Thug"
149,52,"[1085,9553,717]","[20,10,50]","Shadow Stalker"
150,58,"[1085,9553,717]","[20,10,50]","Callow Thug"
151,344,[717],[100],"Stygian Ape"
152,357,[717],[25],"Stygian Silverback"
153,873,"[485,717]","[30,50]","Bramble Cobra"
154,3085,[717],[100],"Plummeting Ursa"
155,3087,[717],[100],"Plummeting Ursa"
156,3,[717],[50],"Merciless Killer"
157,863,"[485,717]","[30,50]","Night Adder"
158,936,[717],[50],"Ink Spinner"
159,2628,"[717,6912]","[25,1]","Devourer"
160,32,"[2090,9553]","[20,10]","Alira Darktongue"
161,50,"[1085,9553,485]","[20,10,50]","Alira's Blood Guard"
162,1333,"[1085,9553,717]","[30,15,50]","Blackguard Soldier"
163,1334,[],[],"Captain Arteri"
164,910,[485],[50],"The Weaver"
165,915,[717],[50],"Lurking Venom"
166,924,[717],[50],"Vaal Recluse"
167,929,[717],[50],"Leaping Spider"
168,951,[717],[100],"Hatchling"
169,274,[717],[75],"Ancient Construct"
170,279,[717],[75],"Vaal Construct"
171,791,[717],[50],"Vaal Fallen"
172,795,[717],[50],"Vaal Fallen"
173,821,[717],[50],"Vaal Arsonist"
174,866,[717],[50],"Serpentine Construct"
175,39,[717],[50],"Oak, Skullbreaker"
176,59,[717],[50],"Oak's Devoted"
177,1058,"[483,717]","[80,50]","Boiling Ambusher"
178,4236,[717],[75],"Enraptured Crab"
179,4242,[717],[50],"Enraptured Crab"
180,121,[],[],"Thicket Hulk"
181,342,[717],[100],"Dread Primate"
182,882,"[485,717]","[30,50]","Glade Mamba"
183,120,[],[],"Shaggy Monstrosity"
184,136,[],[],"Armour Cruncher"
185,178,"[484,717]","[50,50]","Phantom Occultist"
186,278,[717],[75],"Ancient Construct"
187,581,[717],[50],"Frost Archmage"
188,607,[717],[50],"Flame Archmage"
189,626,[717],[50],"Thunder Archmage"
190,753,[717],[50],"Flame Guardian"
191,905,[717],[100],"Slimy Nemesis"
192,1564,[717],[25],"Ash Prophet"
193,1570,[717],[25],"Death Bishop"
194,3114,[],[],"Q'uru"
195,3897,[717],[50],"Howler"
196,747,"[1085,9553,717]","[20,10,50]","Frost Champion"
197,758,"[1085,9553,717]","[20,10,50]","Flame Champion"
198,784,"[1085,9553,484,717]","[20,10,50,50]","Thunder Guardian"
199,148,[],[],"Vaal Oversoul"
200,1169,[717],[50],"Shambling Cadaver"
201,1172,[717],[50],"Shambling Cadaver"
202,1175,[717],[50],"Shambling Cadaver"
203,1330,"[1085,9553,717]","[30,15,50]","Guard"
204,1331,[],[],"Guard Captain"
205,1597,[717],[50],"Flayed Warrior"
206,1600,[717],[50],"Restless Archer"
207,2039,[717],[50],"Undying Outcast"
208,1511,[482],[50],"Carrion Queen"
209,1617,"[485,717]","[30,50]","Spine Serpent"
210,2037,[],[],"Perpetus"
211,1557,[717],[25],"Cinder Elemental"
212,1561,[],[],"Hatebeat"
213,1607,[717],[50],"Incinerated Mage"
214,1919,[717],[50],"Undying Wretch"
215,1574,[717],[50],"Undying Incinerator"
216,1728,[717],[50],"Archer Statue"
217,1649,[717],[50],"Archer Statue"
218,1642,"[1085,9553]","[20,10]","Marceus the Defaced"
219,1902,[717],[50],"Undying Worker"
220,1980,[717],[50],"Undying Untouchable"
221,2041,[717],[50],"Undying Impaler"
222,1611,[717],[50],"Bleak Aspirant"
223,1915,[717],[50],"Undying Cultist"
224,1984,[717],[50],"Undying Archivist"
225,1241,[],[],"Captain Aurelianus"
226,1244,"[1085,9553,717]","[30,15,50]","Blackguard Mage"
227,1271,[717],[50],"Blackguard Elite"
228,1301,"[1085,9553,717]","[30,15,50]","Blackguard Elite"
229,1309,"[1085,9553,717]","[30,15,50]","Blackguard Scout"
230,1313,"[1085,9553,717]","[30,15,50]","Blackguard Soldier"
231,1496,[717],[50],"Assault Ribbon"
232,1497,[717],[50],"Galvanic Ribbon"
233,1498,[717],[50],"Flame Sentinel"
234,1483,[],[],"The Infernal Seal"
235,1484,[],[],"The Voltaic Seal"
236,1485,[717],[50],"Galvanic Ribbon"
237,1487,[717],[50],"Flame Sentinel"
238,1493,[717],[50],"Assault Ribbon"
239,1480,[717],[50],"Banner of Passion"
240,1481,[717],[50],"Banner of Knowledge"
241,1482,[717],[50],"Banner of Action"
242,1885,"[483,717]","[80,50]","Holy Water"
243,1640,[],[],"The Goddess of Purity"
244,1548,[717],[50],"Voidbearer"
245,1551,[],[],"The Shipyard Terror"
246,2046,[717],[50],"Dockhand Wraith"
247,2048,[717],[50],"Dockhand Wraith"
248,2050,[717],[50],"Dockhand Wraith"
249,2057,[717],[50],"Brittle Longshoreman"
250,2059,[717],[50],"Brittle Corsair"
251,1448,[717],[50],"Fetid Maw"
252,1576,[717],[50],"Undying Alchemist"
253,1913,[717],[50],"Stinking Undying"
254,1982,[717],[50],"Stinking Undying"
255,2027,[717],[50],"Undying Grappler"
256,3030,[717],[50],"Soulless Watcher"
257,1245,"[2090,9553,717]","[20,10,50]","Blackguard Arcmage"
258,1300,"[1085,9553,717]","[20,10,50]","Blackguard Elite"
259,1306,[717],[50],"Mortality Experimenter"
260,1312,"[1085,9553,717]","[20,10,50]","Blackguard Soldier"
261,1321,"[1085,9553]","[30,15]","General Gravicius"
262,1242,[],[],"Fleshrend, Grand Inquisitor"
263,1307,[717],[50],"Reanimator"
264,1368,[],[],"Kole"
265,1376,[717],[50],"Piety's Miscreation"
266,1390,[717],[50],"Drenched Miscreation"
267,1394,[717],[50],"Burned Miscreation"
268,1397,[717],[50],"Shocked Miscreation"
269,1308,[717],[50],"Flesh Sculptor"
270,1336,[],[],"Piety"
271,1405,[],[],"Spinecrack"
272,1407,[717],[50],"Whipping Miscreation"
273,1427,"[482,717]","[50,50]","Tentacle Miscreation"
274,1849,[717],[50],"Blood Elemental"
275,1533,[717],[50],"Avian Retch"
276,1623,[717],[25],"Porcupine Goliath"
277,1639,[717],[25],"Thistlesage"
278,2642,[6912],[1],"The Conqueror Wurm"
279,3752,[717],[50],"Pale Blackguard"
280,432,[717],[50],"Bone Rhoa"
281,633,[717],[50],"Thunder Keeper"
282,732,[],[],"Colossal Bonestalker"
283,1912,[717],[50],"Undying Archivist"
284,588,[717],[50],"Frost Keeper"
285,1927,[],[],"Trinian, Intellectus Prime"
286,1459,[717],[50],"Plumed Chimeral"
287,1472,[717],[50],"Chimeric Croaker"
288,1921,[717],[50],"Undying Evangelist"
289,1931,[717],[50],"Undying Aristocrat"
290,1962,[717],[50],"Undying Evangelist"
291,1966,[717],[50],"Undying Aristocrat"
292,1976,[],[],"Caliga, Imperatrix"
293,961,[717],[50],"Brooding Tarantula"
294,1259,"[2090,9553]","[20,10]","Compulsor Octavia Sparkfist"
295,1284,[],[],"Draconarius Wilhelm Flamebrand"
296,1286,"[1085,9553]","[20,10]","Imperator Stantinus Bitterblade "
297,1298,"[1085,9553,717]","[20,10,50]","Praetorian Guard"
298,1375,[717],[50],"Miscreation"
299,1420,[717],[50],"Whipping Miscreation"
300,1438,"[482,717]","[50,50]","Tentacle Miscreation"
301,1467,[],[],"Paradisae Venenum"
302,1550,[717],[50],"Voidbearer"
303,1587,[],[],"Dominus, Ascendant"
304,3765,[717],[50],"Infested Vulture"
305,3770,[],[],"The Hundred Foot Shadow"
306,3777,[717],[50],"Voll's Fallen"
307,3795,"[1085,9553,717]","[20,10,50]","Voll's Fallen"
308,3809,[717],[50],"Impure Archer"
309,3832,[717],[25],"Maelström"
310,3761,[717],[50],"Mindless Scavenger"
311,3813,[717],[50],"Voll's Vanguard"
312,3824,[717],[50],"Nightwane"
313,3847,"[1085,9553]","[20,10]","Voll, Emperor of Purity"
314,3855,"[484,717]","[80,75]","Dust Scrabbler"
315,3867,[717],[25],"Knitted Horror"
316,3890,[717],[50],"Shrieker"
317,3903,[717],[50],"Pocked Miner"
318,3907,[717],[50],"Pikerivet"
319,3917,[717],[50],"Pocked Miner"
320,3922,[717],[50],"Pocked Lanternbearer"
321,3941,[717],[0],"Pocked Goliath"
322,3892,[],[],"Voidscream"
323,3899,[717],[50],"Pocked Miner"
324,3932,[717],[50],"Tunneler"
325,3937,[],[],"Hammerstorm"
326,3891,[717],[50],"Shrieker"
327,3905,[717],[50],"Pocked Plunderer"
328,3919,[717],[50],"Pocked Plunderer"
329,3926,[717],[50],"Pocked Illuminator"
330,3928,[717],[25],"The Burning Man"
331,3936,[717],[50],"Burrower"
332,3945,[717],[0],"Pocked Behemoth"
333,1559,[717],[25],"Living Fury"
334,3981,[717],[50],"Fury Hound"
335,3987,[717],[125],"Inua Totem"
336,3992,[],[],"Torchoak Grove"
337,4003,[],[],"Rakango"
338,4005,[],[],"Triskeriaki"
339,4186,[717],[75],"Volcanic Golem"
340,3972,[717],[50],"Hyrri's Sister"
341,3974,[717],[50],"Kaom's Chosen"
342,3975,[717],[50],"Kaom's Chosen"
343,3976,[717],[50],"Lavianga's Acolyte"
344,3991,[717],[50],"Vakali Totem"
345,4013,[],[],"King Kaom"
346,4191,[717],[75],"Volcanic Golem"
347,1229,[717],[50],"Rotten Gladiator"
348,1232,[717],[50],"Rotten Gladiator"
349,4020,[717],[50],"Pitbull Demon"
350,4023,[],[],"Steelchaw"
351,4032,[717],[50],"Rooster Fiend"
352,4034,[717],[50],"Rooster Demon"
353,4036,[],[],"Eyepecker"
354,4047,[],[],"Barkhul"
355,4058,[717],[50],"Mad Gladiator"
356,4062,"[1085,9553,717]","[30,15,50]","Mad Gladiator"
357,4063,[],[],"Fighting Bull"
358,4076,[],[],"Daresso, King of Swords"
359,4153,[717],[75],"Icy Manifestation"
360,4410,[],[],"Rudiarius Felix"
361,4412,"[1085,9553]","[30,15]","Mevion"
362,4414,"[1085,9553]","[20,10]","Dimachaeri Cassius"
363,560,[717],[50],"Bonewarped Archer"
364,562,[717],[50],"Bonewarped Archer"
365,719,[717],[50],"Bonewarped Warrior"
366,722,[717],[50],"Bonewarped Warrior"
367,4086,[717],[50],"Wandering Eye"
368,4097,[717],[100],"Eye Hatchery"
369,4103,[717],[50],"Gut Flayer"
370,4111,[717],[50],"Gut Spiker"
371,4116,[717],[50],"Noisome Ophidian"
372,4399,[717],[25],"Stygian Revenant"
373,4403,[],[],"The Bone Queen"
374,1339,[],[],"Piety, the Abomination"
375,1852,[717],[50],"Aggravated Wound"
376,1870,[717],[50],"Aggravated Wound"
377,4120,"[949,1831]","[60,5000]","Maligaro, The Inquisitor"
378,4127,[],[],"Doedre Darktongue"
379,4135,[],[],"Shavronne of Umbra"
380,4142,[],[],"Malachai, The Nightmare"
381,4251,[717],[50],"Primordial Creation"
382,4253,[717],[50],"Primordial Creation"
383,230,[717],[50],"Alpine Devil"
384,269,[717],[50],"Alpine Shaman"
385,321,[717],[50],"Mountain Hellion"
386,323,[717],[50],"Mountain Hellion Alpha"
387,5162,[],[],"Vendigo"
388,5164,[],[],"The White Death"
389,5165,"[1085,9553,717]","[20,10,50]","Blackguard Jaeger"
390,5167,[717],[50],"Blackguard Jaeger"
391,5169,[717],[50],"Risen Jaeger"
392,4889,[],[],"Overseer Krow"
393,5241,[717],[50],"Indoctrinated Slave"
394,5243,[717],[50],"Truth Extractor"
395,5285,[717],[50],"Oriath Enforcer"
396,5287,"[1085,9553,717]","[20,10,50]","Oriath Enforcer"
397,5561,[],[],"Karui Rebel"
398,5562,[],[],"Karui Rebel"
399,4887,[717],[50],"Slave Driver"
400,4902,"[1085,9553]","[30,15]","Justicar Casticus"
401,4913,[717],[50],"Slave Catcher"
402,4857,[717],[50],"Purge Hound"
403,4907,[717],[50],"Blackguard Stalker"
404,4908,[717],[50],"Blackguard Stalker"
405,4990,[],[],"Flame Mother"
406,4992,[],[],"The Matriarch"
407,5007,"[1085,9553,717]","[20,10,50]","Temple Ward"
408,5009,[717],[50],"Temple Guardian"
409,5574,[717],[50],"Frightened Citizen"
410,5575,[717],[50],"Frightened Citizen"
411,5577,[717],[50],"Frightened Citizen"
412,5578,[717],[50],"Frightened Citizen"
413,5579,[717],[50],"Frightened Citizen"
414,5580,[717],[50],"Frightened Citizen"
415,1364,[717],[50],"Crimson Scholar"
416,4915,[717],[50],"Deranged Slaver"
417,4917,[717],[50],"Depraved Slaver"
418,4996,[717],[50],"The Risen Matriarch"
419,5011,"[1085,9553,717]","[20,10,50]","Heretical Ward"
420,5013,"[1085,9553,717]","[20,10,50]","Heretical Ward"
421,5015,[717],[50],"Heretical Guardian"
422,5281,[717],[50],"Heretical Adjudicator"
423,5410,[],[],"Utula, Stone and Steel"
424,5582,[717],[50],"Kitava Zealot"
425,5584,[717],[50],"Kitava Zealot"
426,5586,[717],[50],"Kitava Zealot"
427,4896,[717],[50],"Temple Justicar"
428,5278,[717],[50],"Temple Adjudicator"
429,1358,[],[],"Cato, Scholar of Light"
430,4898,[717],[50],"Twisted Justicar"
431,4900,[717],[50],"Depraved Justicar"
432,5005,[717],[50],"Sanguine Sister"
433,1356,[717],[50],"Temple Scholar"
434,5002,[717],[50],"Blessed Sister"
435,5137,[],[],"Innocence, God-Emperor of Eternity"
436,5260,[717],[50],"Prayer Guard"
437,603,[717],[50],"Desecrated Saint"
438,645,[717],[50],"Brittle Cleric"
439,647,[717],[50],"Brittle Cleric"
440,737,[],[],"Awoken Giant"
441,5672,[717],[75],"Restless Pauper"
442,5674,[717],[75],"Restless Pauper"
443,5676,[717],[75],"Restless Pauper"
444,5702,[],[],"Bone Husk"
445,5813,[],[],"Bone Stalker"
446,601,[717],[50],"Gleaming Saint"
447,668,[717],[50],"Risen Saint"
448,2989,[717],[100],"Living Memorial"
449,2991,[717],[100],"Living Memorial"
450,2993,[717],[100],"Living Memorial"
451,2995,[717],[100],"Living Memorial"
452,5649,[717],[50],"Vengeful Soul"
453,5651,[717],[50],"Vengeful Soul"
454,5653,[717],[50],"Vengeful Soul"
455,5655,[717],[50],"Vengeful Soul"
456,5657,[717],[50],"Desperate Soul"
457,5659,[717],[50],"Desperate Soul"
458,5661,[717],[50],"Desperate Soul"
459,5663,[717],[50],"Desperate Soul"
460,5173,[],[],"Kitava's Herald"
461,5639,[717],[50],"Wailing Widow"
462,5197,[717],[50],"Noble Dead"
463,5205,[717],[50],"Noble Dead"
464,5207,[717],[50],"Noble Dead"
465,5209,[717],[50],"Noble Dead"
466,5211,[717],[50],"Rhys of Abram"
467,5222,[717],[50],"Noble Dead"
468,5227,[717],[50],"Noble Dead"
469,5229,[717],[50],"Noble Dead"
470,5231,[717],[50],"Noble Dead"
471,454,[717],[100],"Crustacean Sniper"
472,3977,[717],[50],"Tukohama's Scout"
473,3978,[717],[50],"Tukohama's Warrior"
