"rownum","BaseItemTypesKey","GrantedEffectsKey","Str","Dex","Int","GemTagsKeys","VaalVariant_BaseItemTypesKey","IsVaalVariant","Description","Consumed_ModsKey","GrantedEffectsKey2","MinionGlobalSkillLevelStat","SupportSkillName","IsSupport","bool","bool","bool","bool","bool","AwakenedVariant","RegularVariant","GrantedEffectHardMode","rid","i32"
0,5695,0,0,0,100,"[11,25,5,4,14,0]",5904,"","","","","","","","","","",1,1,"","","","",3
1,5904,2965,0,0,100,"[11,25,5,4,14,24,0]","",1,"","",0,"","","","","","",1,1,"","","","",3
2,5696,58,0,0,100,"[11,25,4,14,1,38]",5913,"","","","","","","","","","",1,1,"","","","",3
3,5736,5084,0,0,100,"[11,25,4,14,5]",5904,"","","","","","","","","","",1,1,"","","","",3
4,5913,67,0,0,100,"[11,25,4,14,24,1,38]","",1,"","",58,"","","","","","",1,1,"","","","",3
5,5697,96,100,0,0,"[9,25,13,14,22,35,40,7]","","","","","","","","","","","",1,1,"","",97,"",1
6,5749,5052,100,0,100,"[11,25,4,14,5,1]","","","","","","","","","","","",1,1,"","","","",3
7,5698,7970,0,100,0,"[10,25,22,14,30,13,2,7]","","","","","","","","","","","",1,1,"","","","",2
8,5699,5070,0,60,40,"[10,25,13,14,30,33,7]",6412,"","","","","","","","","","",1,1,"","","","",2
9,5700,101,100,0,0,"[9,25,13,14,33,7]","","","","","","","","","","","",1,1,"","","","",1
10,5701,7314,100,0,0,"[9,25,13,14,7]","","","","","","","","","","","",1,1,"","","","",1
11,5934,103,100,0,0,"[9,25,13,14,24,33,7]","",1,"","","","","","","","","",1,1,"","","","",1
12,5914,5139,0,0,0,"[25,4,5,22]","","","","","","","","","","","",1,1,"","","","",4
13,5702,8030,100,0,0,"[9,25,13,14,40,7]",5916,"","","","","","","","","","",1,1,"","","","",1
14,5916,8034,100,0,0,"[9,25,13,14,24,40,7]","",1,"","",8030,"","","","","","",1,1,"","","","",1
15,5703,164,60,40,0,"[9,25,13,14,33,7]",6407,"","","","","","","","","","",1,1,"","","","",1
16,5704,185,100,0,0,"[9,25,13,14,22,35,33,7]","","","","","","","","","","","",1,1,"","",186,"",1
17,5705,227,100,0,0,"[27,9,25,14,15]","","","","","","","","","","","",1,1,"","","","",1
18,5706,237,0,100,0,"[10,25,13,7,36,33]",5922,"","","","","","","","","","",1,1,"","","","",2
19,5922,8028,0,100,0,"[10,25,13,7,36,15,24,33]","",1,"","",237,"","","","","","",1,1,"","","","",2
20,5707,5118,40,60,0,"[10,25,13,14,33,7]","","","","","","","","","","","",1,1,"","","","",2
21,5708,245,0,100,0,"[10,25,13,5,7,36,0,1,2,14,45,6]","","","","","","","","","","","",1,1,"","","","",2
22,5709,257,100,0,0,"[9,25,4,15,34]","","","","","","","","","","","",1,1,"","","","",1
23,5910,259,100,0,0,"[9,25,4,15,24,34]","",1,"","",257,"","","","","","",1,1,"","","","",1
24,5710,263,40,60,0,"[47,10,25,13,7,36]","","","","","","","","","","","",1,1,"","","","",2
25,5711,274,0,60,40,"[10,25,13,22,35,7]","","","","","","","","","","","",1,1,"","",275,"",2
26,5712,308,0,100,0,"[10,25,13,5,7,36,6]","","","","","","","","","","","",1,1,"","","","",2
27,5715,314,0,60,40,"[10,25,4,14,0]",5915,"","","","","","","","","","",1,1,"","","","",2
28,5915,8029,0,60,40,"[10,25,4,14,24,0]","",1,"","",314,"","","","","","",1,1,"","","","",2
29,5716,7306,0,60,40,"[10,25,4,14,0]","","","","","","","","","","","",1,1,"","","","",2
30,5717,7315,0,60,40,"[10,25,4,5,14,33]","","","","","","","","","","","",1,1,"","","","",2
31,5718,332,0,100,0,"[10,25,13,5,6]","","","","","","","","","","","",1,1,"","","","",2
32,5723,333,0,100,0,"[10,25,13,5,33,6]","","","","","","","","","","","",1,1,"","","","",2
