"rownum","GrantedEffectsKey","SetId","StatsKeys","StatsValuesPermille","Weight","[i32]","[i32]"
0,0,0,[175],[1000],50,[],[]
1,0,1,"[175,434]","[-2000,3000]",100,[],[]
2,0,2,"[6304,7808]","[3000,-2000]",40,[],[]
3,0,3,[12656],[250],10,[],[]
4,2965,0,[175],[1000],50,[],[]
5,58,0,[434],[500],50,[],[]
6,58,1,[5509],[1500],100,[],[]
7,58,2,[216],[500],100,[],[]
8,58,3,[3560],[500],100,[],[]
9,67,0,[434],[500],50,[],[]
10,96,0,[341],[1000],50,[],[]
11,96,1,[434],[1000],100,[],[]
12,96,2,[24],[1000],100,[],[]
13,96,3,[70],[500],20,[],[]
14,101,0,[434],[500],50,[],[]
15,101,1,[70],[500],100,[],[]
16,101,2,[12628],[100],100,[],[]
17,101,3,[402],[1000],20,[],[]
18,164,0,[70],[500],50,[],[]
19,164,1,[343],[1000],20,[],[]
20,164,2,[12937],[2000],50,[],[]
21,164,3,[12938],[5000],50,[],[]
22,10298,0,[70],[500],50,[],[]
23,185,0,[177],[1000],50,[],[]
24,185,1,[24],[1000],100,[],[]
25,185,2,[472],[1000],100,[],[]
26,227,0,[215],[1000],50,[],[]
27,227,1,[3480],[2000],100,[],[]
28,227,2,"[4528,3338]","[1000,-2000]",20,[],[]
29,237,0,[70],[500],50,[],[]
30,237,1,[486],[2000],100,[],[]
31,237,2,[5416],[1000],100,[],[]
32,245,0,[486],[1000],50,[],[]
33,245,1,[434],[500],100,[],[]
34,245,2,[6304],[1000],100,[],[]
35,263,0,"[554,95]","[1000,500]",50,[],[]
36,263,1,[1230],[250],100,[],[]
37,263,2,[12964],[5000],100,[],[]
38,263,3,[13011],[500],20,[],[]
39,274,0,[70],[500],50,[],[]
40,274,1,[24],[3000],100,[],[]
41,274,2,[12633],[10000],20,[],[]
42,308,0,[70],[500],50,[],[]
43,308,1,[173],[50],100,[],[]
44,308,2,[6885],[50],20,[],[]
45,308,3,[13035],[250],50,[],[]
46,314,0,[216],[500],50,[],[]
47,314,1,[1486],[3000],10,[41],[]
48,314,2,[12958],[4000],20,[],[]
49,333,0,[70],[500],50,[],[]
50,333,1,[174],[50],20,[],[]
51,333,2,[24],[1000],100,[],[]
52,529,0,[42],[500],50,[],[]
53,529,1,"[42,10180]","[-1000,1000]",50,[],[]
54,529,2,[1100],[1000],100,[],[]
55,530,0,[70],[500],50,[],[]
56,530,1,[3338],[500],5,[],[]
57,530,2,[9087],[500],50,[],[]
58,534,0,[498],[500],50,[],[]
59,534,1,"[213,13991,175]","[1000,-1000,500]",100,[],[]
60,534,2,[13199],[1000],50,[],[]
61,532,0,[498],[500],50,[],[]
62,532,1,"[213,13991,175]","[1000,-1000,500]",100,[],[]
63,532,2,[13199],[1000],50,[],[]
64,536,0,[175],[500],50,[],[]
65,536,1,[12536],[3000],100,[],[]
66,536,2,[498],[500],100,[],[]
67,538,0,[49],[500],50,[],[]
68,538,1,[455],[500],100,[],[]
69,538,2,[1101],[1000],100,[],[]
70,540,0,[84],[1000],50,[],[]
71,540,1,[95],[1000],100,[],[]
72,540,2,[12862],[200],20,[],[]
73,541,0,[619],[500],100,[],[]
74,541,1,"[434,24]","[500,-1000]",50,[],[]
75,541,2,[434],[250],50,[],[]
76,543,0,[56],[500],50,[],[]
77,543,1,[554],[1500],100,[],[]
78,543,2,[1102],[1000],100,[],[]
79,564,0,[159],[1000],50,[],[]
80,564,1,[5450],[2000],100,[],[]
81,564,2,[2094],[6000],100,[],[]
82,564,3,"[12654,4121]","[1000,500]",10,[41],[]
83,576,0,[434],[500],50,[],[]
84,576,1,[9768],[1000],100,[],[]
85,576,2,[1103],[1000],100,[],[]
86,10303,0,[434],[500],50,[],[]
87,589,0,[8441],[250],50,[],[]
88,589,1,[12794],[100],5,[],[]
89,589,2,[12934],[2000],50,[],[]
90,594,0,[209],[1000],50,[],[]
91,594,1,[434],[500],100,[],[]
92,594,2,[25],[1000],100,[],[]
93,638,0,[486],[1000],50,[],[]
94,638,1,[216],[2000],100,[],[]
95,638,2,[3604],[500],5,[],[]
96,638,3,[12960],[2000],20,[],[]
97,643,0,[216],[3000],10000,[],[]
98,643,1,[12610],[1000],1,[],[]
99,644,0,[216],[3000],50,[],[]
100,645,0,[10099],[1000],50,[],[]
101,645,1,[554],[1000],100,[],[]
102,645,2,[213],[500],100,[],[]
103,650,0,[554],[1000],50,[],[]
104,650,1,[95],[250],100,[],[]
105,650,2,[3858],[500],20,[],[]
106,652,0,[95],[500],50,[],[]
107,652,1,[554],[1000],100,[],[]
108,652,2,[6058],[750],100,[],[]
109,653,0,[479],[500],50,[],[]
110,653,1,[24],[500],100,[],[]
111,653,2,[402],[2000],100,[],[]
112,655,0,[9054],[500],50,[],[]
113,655,1,[584],[2000],100,[],[]
114,655,2,[9274],[5000],50,[],[]
115,657,0,[9055],[500],50,[],[]
116,657,1,[12888],[500],5,[],[]
117,657,2,[1300],[200],20,[],[]
118,658,0,[63],[500],50,[],[]
119,658,1,[597],[250],100,[],[]
120,658,2,[1103],[1000],100,[],[]
121,660,0,[186],[250],50,[],[]
122,660,1,[3338],[3000],100,[],[]
123,660,2,[13022],[1000],100,[],[]
124,668,0,[186],[250],50,[],[]
125,807,0,[175],[1000],50,[],[]
126,807,1,[6239],[100],100,[],[]
127,807,2,[173],[100],100,[],[]
128,807,3,[1488],[2000],100,[41],[]
129,2969,0,[175],[1000],50,[],[]
130,820,0,[341],[1500],50,[],[]
131,820,1,[3827],[200],100,[],[]
132,820,2,[12904],[5000],10,[],[]
133,822,0,[175],[2000],50,[],[]
134,822,1,[6239],[100],20,[],[]
135,822,2,[49],[1000],100,[],[]
136,822,3,[8713],[-1000],50,[],[]
137,837,0,[498],[500],50,[],[]
138,837,1,[6239],[100],100,[],[]
139,837,2,[12897],[2000],100,[],[]
140,838,0,[313],[500],50,[],[]
141,838,1,[24],[500],100,[],[]
142,838,2,[312],[1000],100,[],[]
143,840,0,[617],[1000],50,[],[]
144,840,1,"[12652,159]","[1000,1000]",100,[],[]
145,840,2,[12653],[500],100,[],[]
146,840,3,[12663],[5000],20,[],[]
147,848,0,[12578],[2000],50,[],[]
148,848,1,[70],[500],100,[],[]
149,848,2,[434],[1000],100,[],[]
150,855,0,[12578],[2000],50,[],[]
151,865,0,[215],[1000],50,[],[]
152,865,1,[24],[3000],100,[],[]
153,865,2,[2065],[5000],100,[],[]
154,875,0,[175],[2000],50,[],[]
155,875,1,"[13034,634]","[3000,-1000]",50,[],[]
156,875,2,[13182],[5000],20,[],[]
157,890,0,[200],[2000],50,[],[]
158,890,1,[12661],[5000],50,[],[]
159,890,2,[56],[1000],100,[],[]
160,926,0,"[70,3364]","[500,500]",50,[],[]
161,926,1,[1103],[1000],100,[],[]
162,926,2,[63],[1000],100,[],[]
163,926,3,[13187],[500],10,[],[]
164,935,0,[490],[500],50,[],[]
