"rownum","ChestsKey","SpawnWeight","i32","IsCartographerBox","bool","SpawnWeightIncrease","SpawnWeightHardmode"
0,247,40,5,"",1,15525,0
1,249,0,5,"","","",0
2,250,100,15,"",1,"",0
3,251,100,12,"",1,"",0
4,252,80,5,"",1,"",0
5,253,20,5,"",1,"",0
6,254,16,5,1,1,15526,0
7,255,10,5,1,1,15526,0
8,256,4,5,1,1,15526,0
9,257,2,5,1,1,15526,0
10,258,0,5,"","","",0
11,259,0,5,1,1,"",0
12,260,0,5,"",1,"",0
13,261,40,5,"",1,17044,0
14,262,0,5,"","","",0
15,263,80,5,"",1,"",0
16,264,60,10,"",1,"",0
17,265,0,10,"","","",0
18,266,40,10,"",1,"",0
19,267,0,10,"","","",0
20,268,600,5,"",1,"",0
21,269,0,5,"","","",0
22,270,20,5,1,1,15527,0
23,272,0,5,"","","",0
24,486,0,5,"","","",0
25,248,0,5,"",1,"",0
26,1588,0,5,1,1,"",0
27,1589,0,10,1,1,"",0
28,1590,0,10,1,1,"",0
29,271,0,5,1,1,"",0
30,2310,0,5,1,"","",0
31,274,0,5,"",1,15525,10
32,275,0,15,"",1,"",100
33,276,0,12,"",1,"",100
34,277,0,5,"",1,"",10
35,278,0,5,"",1,"",5
36,279,0,5,1,1,15526,4
37,280,0,5,1,1,15526,3
38,281,0,5,1,1,15526,2
39,282,0,5,1,1,15526,1
40,283,0,5,"",1,17044,10
41,284,0,5,"",1,"",10
42,285,0,10,"",1,"",60
43,286,0,10,"",1,"",40
44,287,0,5,"",1,"",500
