"rownum","string","[string]","i32"
0,"steelskin_hit","[""欀椀渀开栀椀琀""]",0
1,"steelskin_hit","[""""]",1
2,"steelskin_hit","[""kin_hit""]",2
3,"steelskin_fadeout","[""攀氀猀欀椀渀开栀椀琀""]",0
4,"steelskin_fadeout","[""""]",1
5,"steelskin_fadeout","[""elskin_hit""]",2
6,"divine_cry_weapon_left","[""最栀琀""]",0
7,"divine_cry_weapon_left","[""挀栀愀椀渀开猀琀爀椀欀攀开搀愀猀栀""]",2
8,"divine_cry_weapon_left","[""栀愀椀渀开猀琀爀椀欀攀开搀愀猀栀""]",3
9,"divine_cry_weapon_right","[""ight""]",0
10,"divine_cry_weapon_right","[""chain_strike_dash""]",2
11,"divine_cry_weapon_right","[""hain_strike_dash""]",3
12,"chain_strike_dash","[""teelskin_hit""]",0
13,"chain_strike_dash","[""栀琀""]",1
14,"chain_strike_hit","[""攀攀氀猀欀椀渀开栀椀琀""]",0
15,"chain_strike_hit","[""ht""]",1
16,"arcane_cloak_block","[""""]",0
17,"arcane_cloak_block","[""琀""]",1
18,"arcane_cloak_fade_out","[""""]",0
19,"arcane_cloak_fade_out","[""t""]",1
20,"igniting_flask_in_hand","[""""]",0
21,"igniting_flask_in_hand_scion_pls","[""""]",0
22,"weapon_trap_weapon","[""Ĳ""]",0
23,"ambush_teleport_in","[""""]",0
24,"ambush_teleport_out","[""""]",0
25,"rage_slash_weapon","[""""]",0
26,"rage_slash_weapon","[""愀渀攀开挀氀漀愀欀开戀氀漀挀欀""]",1
27,"soulfeast_hand_surge","[""""]",0
28,"soulfeast_hand_surge","[""""]",1
29,"lightning_strike_proj_hit","[""""]",0
30,"lightning_strike_proj_hit","[""""]",1
31,"lightning_strike_proj_hit","[""""]",2
32,"lightning_strike_proj_hit","[""栀愀椀渀开猀琀爀椀欀攀开栀椀琀""]",3
33,"lightning_strike_proj_hit","[""爀挀愀渀攀开挀氀漀愀欀开戀氀漀挀欀""]",4
34,"lightning_strike_proj_hit","[""漀愀欀开昀愀搀攀开漀甀琀""]",5
35,"lightning_strike_vaal_blade","[""""]",0
36,"lightning_strike_vaal_blade","[""""]",1
37,"lightning_strike_vaal_blade","[""""]",2
38,"lightning_strike_vaal_blade","[""hain_strike_hit""]",3
39,"lightning_strike_vaal_blade","[""rcane_cloak_block""]",4
40,"lightning_strike_vaal_blade","[""oak_fade_out""]",5
41,"burning_arrow_stuck_fade","[""""]",0
42,"burning_arrow_stuck_fade","[""渀\u0001""]",1
43,"dash_afterimage","[""""]",0
44,"dash_char","[""ÿ""]",0
45,"dash_afterimage","[""""]",1
46,"dash_char","[""""]",1
47,"dash_afterimage","[""""]",2
48,"dash_char","[""""]",2
49,"dash_afterimage","[""""]",3
50,"dash_char","[""""]",3
51,"dash_afterimage","[""""]",4
52,"dash_char","[""""]",4
53,"dash_afterimage","[""\u0001""]",5
54,"dash_char","[""Ů""]",5
55,"dash_char","[""愀椀渀开猀琀爀椀欀攀开栀椀琀""]",6
56,"dash_char_end","[""ain_strike_hit""]",6
57,"spectral_helix_weapon_effect","[""""]",0
58,"leap_slam","[""""]",10
59,"leap_slam","[""\u0000瀀\u0001""]",12
60,"leap_slam","[""""]",14
61,"leap_slam","[""""]",16
62,"leap_slam","[""""]",19
63,"leap_slam","[""\u0000瀀\u0001""]",21
64,"leap_slam_warp_out","[""""]",22
65,"leap_slam_warp_in","[""""]",22
66,"arc_hit","[""""]",8
67,"arc_hit","[""""]",10
68,"arc_hit","[""\u0000Ű""]",12
69,"arc_lucky_begin","[""\u0000ጀ""]",8
70,"chronomancer_after_image","[""瀀\u0001""]",0
71,"chronomancer_rewind_in_place","[""愀椀渀开猀琀爀椀欀攀开搀愀猀栀""]",0
72,"chronomancer_clone_rewind","[""ain_strike_dash""]",0
73,"attached_projectile_effect_arrow_loop","[""cry_weapon_left""]",1
74,"attached_projectile_effect_arrow_loop","[""""]",2
75,"attached_projectile_effect_arrow_loop","[""pon_right""]",3
76,"attached_projectile_effect_arrow_loop","[""Ű""]",4
77,"attached_projectile_effect_arrow_loop","[""hit""]",5
78,"attached_projectile_effect_arrow_once","[""爀礀开眀攀愀瀀漀渀开氀攀昀琀""]",1
79,"attached_projectile_effect_arrow_once","[""""]",2
80,"attached_projectile_effect_arrow_once","[""漀渀开爀椀最栀琀""]",3
81,"attached_projectile_effect_arrow_once","[""\u0001""]",4
82,"attached_projectile_effect_arrow_once","[""椀琀""]",5
83,"attached_projectile_effect_spell_loop","[""ry_weapon_left""]",1
84,"attached_projectile_effect_spell_loop","[""""]",2
85,"attached_projectile_effect_spell_loop","[""on_right""]",3
86,"attached_projectile_effect_spell_loop","[""""]",4
87,"attached_projectile_effect_spell_loop","[""it""]",5
88,"attached_projectile_effect_spell_once","[""礀开眀攀愀瀀漀渀开氀攀昀琀""]",1
89,"attached_projectile_effect_spell_once","[""""]",2
90,"attached_projectile_effect_spell_once","[""渀开爀椀最栀琀""]",3
91,"attached_projectile_effect_spell_once","[""""]",4
92,"attached_projectile_effect_spell_once","[""琀""]",5
93,"attached_projectile_effect_mortar_1","[""眀攀愀瀀漀渀开氀攀昀琀""]",1
94,"attached_projectile_effect_mortar_1","[""""]",2
95,"attached_projectile_effect_mortar_1","[""n_right""]",3
96,"attached_projectile_effect_mortar_1","[""""]",4
97,"attached_projectile_effect_mortar_1","[""t""]",5
98,"attached_projectile_effect_mortar_2","[""攀愀瀀漀渀开氀攀昀琀""]",1
99,"attached_projectile_effect_mortar_2","[""""]",2
100,"attached_projectile_effect_mortar_2","[""开爀椀最栀琀""]",3
101,"attached_projectile_effect_mortar_2","[""""]",4
102,"attached_projectile_effect_mortar_2","[""""]",5
103,"attached_projectile_effect_mortar_3","[""eapon_left""]",1
104,"attached_projectile_effect_mortar_3","[""""]",2
105,"attached_projectile_effect_mortar_3","[""_right""]",3
106,"attached_projectile_effect_mortar_3","[""""]",4
107,"attached_projectile_effect_mortar_3","[""""]",5
108,"attached_projectile_effect_mortar_4","[""愀瀀漀渀开氀攀昀琀""]",1
109,"attached_projectile_effect_mortar_4","[""\u0000洀\u0001""]",2
110,"attached_projectile_effect_mortar_4","[""爀椀最栀琀""]",3
111,"attached_projectile_effect_mortar_4","[""""]",4
112,"attached_projectile_effect_mortar_4","[""\u0000଀""]",5
113,"poisonous_concoction_in_hand","[""""]",0
114,"poisonous_concoction_in_hand_scion_pls","[""""]",0
115,"poisonous_concoction_in_hand","[""""]",1
116,"poisonous_concoction_in_hand_scion_pls","[""""]",1
117,"poisonous_concoction_in_hand","[""挀愀渀攀开挀氀漀愀欀开戀氀漀挀欀""]",2
118,"poisonous_concoction_in_hand_scion_pls","[""cane_cloak_block""]",2
119,"shield_charge_charge","[""""]",0
120,"shield_charge_charge","[""""]",4
121,"shield_charge_charge","[""""]",5
122,"shield_charge_hit_flash","[""渀开栀椀琀""]",0
123,"shield_charge_hit_flash","[""""]",2
124,"shield_charge_hit_flash","[""渀开栀椀琀""]",3
125,"shield_charge_hit_flash","[""搀椀瘀椀渀攀开挀爀礀开眀攀愀瀀漀渀开爀椀最栀琀""]",4
126,"shield_charge_hit_flash","[""""]",5
127,"shield_charge_shield","[""""]",0
