"rownum","IncursionRoomsKey","IncursionChestsKeys","ChestMarkerMetadata","i32","i32","i32"
0,27,"[0,2,5,10]","Metadata/Chests/IncursionChests/CurrencyChestMarker",-2060267237,1,0
1,49,"[1,2,3,5,8,10]","Metadata/Chests/IncursionChests/CurrencyChestMarker",-2060267237,2,0
2,71,"[2,3,4,5,6,7,8,9,11,12]","Metadata/Chests/IncursionChests/CurrencyChestMarker",-2060267237,3,0
3,26,"[51,55,56]","Metadata/Chests/IncursionChests/GemsChestMarker",564834908,1,0
4,48,"[51,52,55,56]","Metadata/Chests/IncursionChests/GemsChestMarker",564834908,2,0
5,70,"[51,52,53,54,55,56]","Metadata/Chests/IncursionChests/GemsChestMarker",564834908,3,0
6,28,"[30,31,36,41,42]","Metadata/Chests/IncursionChests/TrinketsChestMarker",-987734472,1,0
7,50,"[30,31,32,34,35,36,37,39,40,41,42]","Metadata/Chests/IncursionChests/TrinketsChestMarker",-987734472,2,0
8,72,"[30,31,32,33,34,35,36,37,38,39,40,41,42]","Metadata/Chests/IncursionChests/TrinketsChestMarker",-987734472,3,0
9,22,"[57,60,63,66,69,70]","Metadata/Chests/IncursionChests/ArmourChestMarker",-1999292215,1,0
10,44,"[57,59,60,61,63,64,65,66,67,69,70]","Metadata/Chests/IncursionChests/ArmourChestMarker",-1999292215,2,0
11,66,"[57,58,59,60,61,62,63,64,65,66,67,68,69,70]","Metadata/Chests/IncursionChests/ArmourChestMarker",-1999292215,3,0
12,23,"[71,73,75,80,83]","Metadata/Chests/IncursionChests/WeaponChestMarker",2101151128,1,0
13,45,"[71,73,74,75,76,78,79,80,81,83]","Metadata/Chests/IncursionChests/WeaponChestMarker",2101151128,2,0
14,67,"[71,72,73,74,75,76,77,78,79,80,81,82,83]","Metadata/Chests/IncursionChests/WeaponChestMarker",2101151128,3,0
15,17,"[43,47,48,50]","Metadata/Chests/IncursionChests/MapsChestMarker",-218802023,1,0
16,39,"[43,44,46,47,48,50]","Metadata/Chests/IncursionChests/MapsChestMarker",-218802023,2,0
17,61,"[43,44,45,46,47,48,49,50]","Metadata/Chests/IncursionChests/MapsChestMarker",-218802023,3,0
18,19,"[15,18,20,24,25,26,27,28,29]","Metadata/Chests/IncursionChests/ChestsChestMarker",-269994630,1,0
19,41,"[14,16,18,20,24,25,26,27,28,29]","Metadata/Chests/IncursionChests/ChestsChestMarker",-269994630,2,0
20,63,"[13,16,17,18,19,20,21,22,23,24,25,26,27,28,29]","Metadata/Chests/IncursionChests/ChestsChestMarker",-269994630,4,0
21,92,"[84,85,86,87,88,89,90,91,92]","Metadata/Chests/IncursionChests/StrongboxChestMarker",1585056399,14,0
22,93,"[87,88,89,90,91,92,93,94]","Metadata/Chests/IncursionChests/StrongboxChestMarker",1585056399,14,0
23,94,"[91,92,93,94,95,96,97,98,99,100,101,102,103,104]","Metadata/Chests/IncursionChests/StrongboxChestMarker",1585056399,14,0
24,76,[105],"Metadata/Chests/IncursionChests/BossMinionChestMarker",681934949,1,0
25,77,[106],"Metadata/Chests/IncursionChests/BossFireChestMarker",681289249,1,0
26,78,[107],"Metadata/Chests/IncursionChests/BossLightningChestMarker",-810707695,1,0
27,57,[108],"Metadata/Chests/IncursionChests/PoisonChestMarker",-359991825,1,0
28,60,[109],"Metadata/Chests/IncursionChests/TrapChestMarker",1832981499,1,0
29,75,[110],"Metadata/Chests/IncursionChests/HealingChestMarker",-1124975487,1,0
30,59,[111],"Metadata/Chests/IncursionChests/StormChestMarker",-513554431,0,0
31,21,[112],"Metadata/Chests/IncursionChests/ExplosivesChestMarker",-2140492573,0,0
32,43,[112],"Metadata/Chests/IncursionChests/ExplosivesChestMarker",-2140492573,0,0
33,65,[112],"Metadata/Chests/IncursionChests/ExplosivesChestMarker",-2140492573,0,0
34,47,[113],"Metadata/Chests/IncursionChests/BreachChestMarker",-1586981186,0,0
35,69,[113],"Metadata/Chests/IncursionChests/BreachChestMarker",-1586981186,0,0
