"rownum","Id","WorldAreasKeys","i32","i32","BossMonsterSpawnChance","BossMonsterCount","BossMonster_MonsterVarietiesKeys","bool","i32","[string]","TagsKeys","MinLevel","MaxLevel","WorldAreas2","i32","PackFormation","i32","bool"
0,"1_1_2a-cannibalfire",[7],1,3,0,0,[],"",0,[],[],0,100,[],0,"",0,""
1,"1_1_2a-bosspack",[7],4,7,0,0,[],"",0,[],[],0,100,[],0,"",0,""
2,"1_1_2-cannibalfire",[6],2,4,0,0,[],"",0,[],[],0,100,[],0,"",0,""
3,"1_1_2-bosspack",[6],6,8,0,0,[],"",0,[],[],0,100,[],0,"",0,""
4,"1_1_3a-bosspack",[9],6,8,0,0,[],"",0,[],[],0,100,[],0,"",0,""
5,"1_1_3-nestpack",[8],3,4,0,0,[],"",0,[],[],0,100,[],0,"",0,""
6,"1_1_3-bosspack",[8],3,6,0,0,[],"",0,[],[],0,100,[],0,"",0,""
7,"1_1_4_0-bosspack",[10],6,6,0,0,[],"",0,[],[],0,100,[],0,"",0,""
8,"1_1_5-bosspackmain",[12],2,4,0,0,[],"",0,[],[],0,100,[],0,"",0,""
9,"1_1_5-totembosspack",[12],2,5,100,1,"[1004,1005,1006,1007]","",0,[],[],0,100,[],0,"",0,""
10,"1_1_6-corpsewheels",[13],3,4,0,0,[],"",0,[],[],0,100,[],0,"",0,""
11,"1_1_6-bosspack",[13],5,6,0,0,[],"",0,[],[],0,100,[],0,"",0,""
12,"1_1_7_1-bosspack",[14],5,8,0,0,[],"",0,[],[],0,100,[],0,"",0,""
13,"1_1_7_2-bosspack",[15],5,8,0,0,[],"",0,[],[],0,100,[],0,"",0,""
14,"1_1_7_2-sawbonesskeletons",[15],6,8,0,0,[],"",0,[],[],0,100,[],0,"",0,""
15,"1_1_8-goatmanshamanbosspack",[16],4,4,100,1,[273],1,0,[],[],0,100,[],0,"",0,""
16,"1_1_8-houndbosspack",[16],3,6,100,1,[331],1,0,[],[],0,100,[],0,"",0,""
17,"1_1_11_1-bosspack",[19],4,6,0,0,[],"",0,[],[],0,100,[],0,"",0,""
18,"1_1_11_2-bosspack",[20],6,8,0,0,[],"",0,[],[],0,100,[],0,"",0,""
19,"1_1_11_2-merveilstatues",[20],1,1,0,0,[],"",0,[],[],0,100,[],0,"",0,""
20,"1_2_2a-bosspack",[24],8,14,0,0,[],"",0,[],[],0,100,[],0,"",0,""
21,"1_2_3-mossmonsteremerge",[25],1,1,0,0,[],"",0,[],[],0,100,[],0,"",0,""
22,"1_2_3-bosspack",[25],4,6,0,0,[],"",0,[],[],0,100,[],0,"",0,""
23,"1_2_3-bandits",[25],2,10,0,0,[],"",0,[],[],0,100,[],0,"",0,""
24,"1_2_3-beast",[25],1,3,0,0,[],"",0,[],[],0,100,[],0,"",0,""
25,"1_2_4-bandits",[30],2,8,0,0,[],"",0,[],[],0,100,[],0,"",0,""
26,"1_2_5_1-bosspack",[26],6,10,0,0,[],"",0,[],[],0,100,[],0,"",0,""
27,"1_2_6_1-bosspack",[28],6,10,0,0,[],"",0,[],[],0,100,[],0,"",0,""
28,"1_2_6_2-bosspack",[29],8,12,0,0,[],"",0,[],[],0,100,[],0,"",0,""
29,"1_2_8-bosspack",[32],3,5,0,0,[],"",0,[],[],0,100,[],0,"",0,""
30,"1_2_7-bandits",[31],2,10,0,0,[],"",0,[],[],0,100,[],0,"",0,""
