"rownum","rid","i32","Description","DDSFile","i32"
0,4354,1,"Orb of Transmutation","Art/2DItems/Currency/CurrencyUpgradeToMagic.dds",42
1,4354,2,"Orb of Augmentation","Art/2DItems/Currency/CurrencyAddModToMagic.dds",43
2,4354,3,"Orb of Alteration","Art/2DItems/Currency/CurrencyRerollMagic.dds",55
3,4354,4,"Orb of Chance","Art/2DItems/Currency/CurrencyUpgradeRandomly.dds",44
4,4354,5,"Orb of Alchemy","Art/2DItems/Currency/CurrencyUpgradeToRare.dds",45
5,4354,6,"Chaos Orb","Art/2DItems/Currency/CurrencyRerollRare.dds",46
6,4354,7,"Orb of Scouring","Art/2DItems/Currency/CurrencyConvertToNormal.dds",53
7,4354,8,"Orb of Regret","Art/2DItems/Currency/CurrencyPassiveSkillRefund.dds",48
8,4354,9,"Blessed Orb","Art/2DItems/Currency/CurrencyImplicitMod.dds",49
9,4354,10,"Vaal Orb","Art/2DItems/Currency/CurrencyVaal.dds",47
10,4354,11,"Orb of Annulment","Art/2DItems/Currency/AnnullOrb.dds",56
11,4354,12,"Exalted Orb","Art/2DItems/Currency/CurrencyAddModToRare.dds",51
12,4354,13,"Divine Orb","Art/2DItems/Currency/CurrencyModValues.dds",52
13,4354,14,"Mirror of Kalandra","Art/2DItems/Currency/CurrencyDuplicate.dds",54
