"rownum","Id","RecipeItems","WorldArea","MicrotransactionPortalVariation","AreaLevel","rid","i32","bool","bool","bool","OpenAchievemnts","bool"
0,"Disabled","[7335,7336,7337,7338]",0,"",0,"",1,"","","",[],""
1,"Atziri1","[7263,7264,7265,7266]",756,24,0,"",0,"","","",[],""
2,"Atziri2","[7268,7269,7270,7271]",757,24,0,"",0,"","","",[],""
3,"VaalFragment1_1",[7263],1504,"",72,"",0,"","","",[],1
4,"VaalFragment1_2",[7264],1504,"",70,"",0,"","","",[],1
5,"VaalFragment1_3",[7265],1504,"",71,"",0,"","","",[],1
6,"VaalFragment1_4",[7266],1504,"",69,"",0,"","","",[],1
7,"VaalFragment2_1",[7268],1504,"",74,"",0,"","","",[],1
8,"VaalFragment2_2",[7269],1504,"",76,"",0,"","","",[],1
9,"VaalFragment2_3",[7270],1504,"",75,"",0,"","","",[],1
10,"VaalFragment2_4",[7271],1504,"",73,"",0,"","","",[],1
11,"Disabled2","[7273,7274,7275,7276]",0,"",0,"",0,"","","",[],""
12,"ShapersRealm","[7278,7279,7280,7281]",1250,20,0,"",0,"",1,"",[],""
13,"EldersRealm","[7283,7284,7285,7286]",1283,108,0,"",0,"",1,"",[],""
14,"UberEldersRealm","[7288,7289,7290,7291]",1284,20,0,"",0,"",1,"",[],""
15,"BreachDomainFire",[7299],1063,"",0,"",0,"","","",[],""
16,"BreachDomainCold",[7300],1064,"",0,"",0,"","","",[],""
17,"BreachDomainLightning",[7301],1065,"",0,"",0,"","","",[],""
18,"BreachDomainPhysical",[7302],1061,"",0,"",0,"","","",[],""
19,"BreachDomainChaos",[7303],1062,"",0,"",0,"","","",[],""
20,"ClassicVault",[7339],278,27,0,"",0,"","","",[],""
21,"MaligaroMap",[5944],109,"",0,1282,0,"","","",[],""
22,"340Vault",[7340],279,27,0,"",0,"","","",[],""
23,"UberVenariusVault",[7342],281,27,0,"",0,"","","",[],""
24,"UberEaterOfWorldsVault",[7343],282,27,0,"",0,"","","",[],""
25,"UberMavenVault",[7344],283,27,0,"",0,"","","",[],""
26,"UberSearingExarchVault",[7345],284,27,0,"",0,"","","",[],""
27,"UberSirusVault",[7346],285,27,0,"",0,"","","",[],""
28,"UberShaperVault",[7347],286,27,0,"",0,"","","",[],""
29,"UberUberElderVault",[7348],287,27,0,"",0,"","","",[],""
30,"CelestialReliquaryVault",[7349],288,"",0,"",0,"","","",[],""
31,"CelestialReliquaryVaultTencent",[7350],288,"",0,"",0,"","","",[],""
32,"BreachDomainFire2",[7304],1068,"",0,"",0,"","","",[],""
33,"BreachDomainCold2",[7305],1069,"",0,"",0,"","","",[],""
