0,"KillOversoulWhileFortified",[148],[2511],"",[0],[],[],[]
1,"KillBurningManWhileBurning",[3937],[2513],"",[1],[],[],[]
2,"KillHybridWidowWhileCoveredInSpiders",[2492],[],"",[2],[],[],[]
3,"KillArmalaWhileWebbedX5",[5398],[],"",[3],[],[],[]
4,"KillArmalaWhileWebbed",[5398],[],"",[4],[],[],[]
5,"KillTheGoddessWhileBeamed",[4532],[],"",[5],[],[],[]
6,"KillPhoenixWhileFirebombed",[4878],[],"",[6],[],[],[]
7,"KillConstrictorWhileVined",[5960],[],"",[7],[],[],[]
8,"KillHallowedHuskInBloodRain",[1598],[],"",[8],[],[],[]
9,"KillDelveBossLevel81","[5955,6635,6636]",[9106],"",[],[],[],[]
10,"KillDelveBossLevel75NoFlares","[5955,6635,6636]",[],"",[],[],[],[]
11,"KillDelveBoss","[5955,6635,6636]",[8193],"",[],[],[],[]
12,"KillVisionOfJusticeWhileJudged",[4536],[],"",[10],[],[],[]
13,"KillDominusAsRanger",[1596],[993],"",[12],[],[],[]
14,"KillDominusAsTemplar",[1596],[994],"",[14],[],[],[]
15,"KillDominusAsWitch",[1596],[995],"",[11],[],[],[]
16,"KillDominusAsShadow",[1596],[996],"",[16],[],[],[]
17,"KillDominusAsDuelist",[1596],[997],"",[15],[],[],[]
18,"KillDominusAsMarauder",[1596],[998],"",[13],[],[],[]
19,"KillDominusAsScion",[1596],[999],"",[17],[],[],[]
20,"KillAnyHarbinger",[0],[],"",[],[4],[],[]
21,"KillAnyBreachMonsterWithRampageAndShrine",[0],[],"","[19,20]",[16],[],[]
22,"KillAnyRogueExileInKaomsStronghold",[0],[2512],"",[],[5],[],[]
23,"KillAnyRogueExileWithTalisman",[0],[],"",[],"[5,25]",[],[]
24,"KillAnyInvasionBoss",[0],[2598],"",[],[6],[],[]
25,"KillAnyMonsterTouchedByTormentSpirit",[0],[],"",[],[14],[],[]
26,"KillAnyMapBoss",[0],[],"",[],[7],[],[]
27,"KillAnyMapBossWhileAffectedByDivineShrine",[0],[7813],"",[44],[7],[],[]
28,"KillAnyOnslaughtMapBoss",[0],[],"",[],"[7,17]",[],[]
29,"KillAnyOnslaughtBeyondBoss",[0],[],"",[],"[15,17]",[],[]
30,"KillAnyPossessedOnslaughtInvasionBoss",[0],[],"",[],"[13,17,6]",[],[]
31,"KillAnyPossessedEssenceMonster",[0],[],"",[],"[13,21]",[],[]
32,"KillAnyTripleEssenceTalismanMonsterWithTempest",[0],[],"",[],"[22,25]",[],[]
33,"KillAnyQuintessenceMonsterLevel80",[0],[7160],"",[],[23],[],[]
34,"KillAnyOctessenceMonsterLevel83",[0],[9567],"",[],[24],[],[]
35,"KillDroughtMaddenedRhoaFullyEnraged",[2311],[],"",[],[8],[],[]
36,"KillWitchOfTheCauldronWithSoulEater",[2339],[],"",[],[9],[],[]
37,"KillElderInRedMaps","[5965,5967]",[],"",[],[],[],[]
38,"KillElderInYellowMaps","[5965,5967]",[],"",[],[],[],[]
39,"KillElderInWhiteMaps","[5965,5967]",[],"",[],[],[],[]
40,"KillAmalgamOfNightmaresWithEffluentX10",[5814],[],"",[18],[],[],[]
41,"KillPortentiaWithEffluentX10",[5205],[],"",[18],[],[],[]
42,"KillStoneOfCurrentsWithoutShield",[4230],[],"",[],[10],[],[]
43,"KillAulenWith4Totems",[2412],[],"",[],[11],[],[]
44,"KillUulNetolWithCorruptedBloodX5",[5114],[],"",[8],[],[],[]
45,"KillGnarWhileEnraged",[4033],[],"",[],[12],[],[]
46,"KillStonebeakWhileEnraged",[4046],[],"",[],[12],[],[]
47,"KillBelcerPossessedByTwoPirates",[2333],[],"",[],"[18,19]",[],[]
48,"KillLitaniusWhileBothCursed",[2292],[],"",[21],[20],[],[]
49,"KillBeastOfThePitsWhileIncapacitated",[2321],[],"",[],[26],[],[]
50,"KillTulWith4Totems",[5108],[],"",[],[],[0],[]
51,"KillFragmentOfWinterWith10Minions",[4169],[],"",[],[],[1],[]
52,"KillSanguineSirenWith3BloodRavens",[5656],[],"",[],[],[2],[]
53,"KillShockAndHorrorAfter2BeamsWhileInBeam",[2346],[],"",[24],[],[],[]
54,"KillRektarsMinibossesBeforeHeArrives","[234,235,236,237,238,239,240,241]",[],"",[],[],[],[]
55,"KillHephaestusWhileEnraged",[4459],[],"",[],[31],[],[]
56,"KillMegaeraWithFireSkelliesX10",[2318],[],"",[],[],[3],[]
57,"KillOmnitectAfterGuards",[4225],[],"",[],[],[],[]
58,"KillGuardianOfTheVaultAfterKillingTreasureGolems",[2925],[],"",[],[],[],[]
59,"KillDoedreDefilerWhileScreeching",[5784],[],"",[],[32],[],[]
60,"KillTitanTotemWith3Totems",[4931],[],"",[],[],[],[]
61,"KillXophWithHotdogsX10",[5105],[],"",[],[33],[],[]
62,"KillWoadWithNoUnmovedStatues",[5145],[],"",[],[],[4],[]
63,"KillCleansingLightWithNoUnmovedStatues",[5150],[],"",[],[],[5],[]
64,"KillSyntheteNightmareWithVoidPitsX12",[7132],[9709],"",[],[],[6],[]
65,"KillSyntheteNightmareWithPylonsX12",[7132],[9709],"",[],[],[7],[]
66,"KillSyntheteNightmareWithoutVoidPitsOrPylonsX7",[7132],[],"",[],[],"[8,9]",[]
67,"KillHeraldOfThunderWithHeraldOfAshOverHalfHealth",[2442],[],"",[],[],[10],[]
68,"KillVaalOmnitectAfterExperimentedHatchling",[6589],[],"",[],[],[],[]
69,"KillGuardianOfTheVaultAfterKillingTreasureGolemsCheck",[4491],[],"",[],[],[],[0]
70,"KillAhuatotliAllPyramidsActiveWithoutDamage",[6635],[],"",[],[],[],[1]
71,"KillKurgalWithoutDamageFromObelisks",[5955],[],"",[],[],[],[2]
72,"KillRigwaldLevel80",[4618],[],"",[],[],[],[]
73,"KillAbyssLichLevel83","[5953,5954]","[9705,9410]","",[],[],[],[]
74,"KillMapBreachBossLevel80","[5105,5108,5111,5114,5117]",[9576],"",[],[],[],[]
75,"KillArgusLevel75",[4458],[9462],"",[],[],[],[]
76,"KillHarbingerFinalBossLevel75",[5870],[],"",[],[],[],[]
77,"KillVaalOmnitectLevel81",[6290],[9106],"",[],[],[],[]
78,"KillIzaroLevel75","[4528,4529,4530]",[7671],"",[],[],[],[]
79,"KillVaalPyramidBossesInReverse1",[1396],[],"",[],[],[],[3]
80,"KillVaalPyramidBossesInReverse2",[1449],[],"",[],[],[],"[4,5]"
81,"KillVaalPyramidBossesInReverse3",[1433],[],"",[],[],[],[]
82,"KillPossessedBeyondBoss",[0],[],"",[],"[15,13]",[],[]
83,"KillVaalOmnitectWhileAffectedByTempestAndExposure",[6290],[9658],"","[25,26]",[],[],[]
84,"KillBartholTheCorruptorWhileAffectedByHereticalFlare",[1371],[],"",[27],[],[],[]
85,"KillShavronneTheSickeningWhileSheHasFullEnergyShield",[5793],[],"",[],[34],[],[]
86,"KillBazurWithoutTakingDamageFromLiantraAndAfterKilling8ThunderTomes",[5157],[],"",[],[],[],[7]
87,"KillBazurAfterKilling8TomesOfThunder",[5164],[],"",[],[],[],[]
88,"KillErythrophagiaWhileNotCursed",[4139],[],"",[22],[],[],[]
89,"KillSebbertCrescentsPointWhileAffectedByDarkVortex",[5321],[],"",[28],[],[],[]
90,"KillTheCleansingLightAtAwakeningLevel8",[5150],[],"",[],[],[],[]
91,"KillMephodTheEarthScorcherAtAwakeningLevel8",[5644],[],"",[],[],[],[]
92,"KillEaterOfSoulsAtAwakeningLevel8",[4158],[],"",[],[],[],[]
93,"KillPortentiaTheFoulAtAwakeningLevel8",[5205],[],"",[],[],[],[]
94,"KillBazurAtAwakeningLevel8",[5157],[],"",[],[],[],[]
95,"KillTheCursedKingAtAwakeningLevel8",[4619],[],"",[],[],[],[]
96,"KillBaronConditionally","[7725,7726]",[],"",[],[],[],"[8,9]"
97,"KillSirusWithoutBeingAffectedByDeatomizationStorm",[7860],[],"",[],[],[],[10]
98,"KillSirusWithoutBeingAffectedByDesolationOfTheAwakener",[7860],[],"",[],[],[],[11]
99,"KillSirusWithoutBeingHitByCorridorBlastOrInterruptSkill",[7860],[],"",[],[],[],"[12,13]"
100,"KillSirusWithoutBeingHitBySpinningNegationBeam",[7860],[9706],"",[],[],[],[14]
