0,"Explore","","","","[0,5]"
1,"Arena","","","","[1,5]"
2,"Lair","","","","[2,5]"
3,"Maze","","","",[5]
4,"Gauntlet","","","","[4,5]"
5,"Miniboss","","","","[3,5,9]"
6,"Vault","","","",[5]
7,"Puzzle","","","",[5]
8,"Boss","","","",[6]
9,"Merchant","","Art/2DArt/UIImages/InGame/Sanctum/MerchantIcon","Contains Merchant",[]
10,"Fountain","","Art/2DArt/UIImages/InGame/Sanctum/HealingFountainIcon","Contains Fountain",[]
11,"Deal","","Art/2DArt/UIImages/InGame/Sanctum/LyciaPactIcon","Contains Accursed Pact",[]
12,"Deferral",1,"Art/2DArt/UIImages/InGame/Sanctum/CurrencyRewardIcon","Offers Items on Completion",[]
13,"CurseFountain","","Art/2DArt/UIImages/InGame/Sanctum/CurseFountainIcon","Contains Afflicted Fountain",[]
14,"BoonFountain","","Art/2DArt/UIImages/InGame/Sanctum/BoonFountainIcon","Contains Benevolent Fountain",[]
15,"RainbowFountain","","Art/2DArt/UIImages/InGame/Sanctum/RainbowFountainIcon","Contains Radiant Fountain",[]
16,"Treasure","","Art/2DArt/UIImages/InGame/Sanctum/TreasureIcon","Contains Major Treasure Reward",[]
17,"TreasureMinor","","Art/2DArt/UIImages/InGame/Sanctum/MinorTreasureIcon","Contains Minor Treasure Reward",[]
18,"Final","","Art/2DArt/UIImages/InGame/Sanctum/GargoyleBossIcon","",[]
