"rownum","BaseItemTypesKey","SpawnWeight","Cost","MinDepth","IsEnabled"
0,279,100,300,0,1
1,280,100,750,0,1
2,281,100,3750,0,1
3,242,100,1000,0,""
4,243,100,1000,0,""
5,244,100,1000,0,""
6,245,100,1000,0,""
7,246,100,1000,0,""
8,247,100,1000,0,""
9,248,100,1000,0,""
10,249,40,10000,19,""
11,250,40,10000,19,""
12,251,40,10000,19,""
13,252,40,10000,19,""
14,253,40,10000,19,""
15,254,40,10000,19,""
16,255,40,10000,19,""
17,256,40,10000,19,""
18,257,40,10000,19,""
19,258,40,10000,19,""
20,259,10,1000000,75,""
21,260,10,1000000,75,""
22,261,10,1000000,75,""
23,262,10,1000000,75,""
24,263,10,1000000,75,""
25,264,10,1000000,75,""
26,265,10,100000,35,""
27,266,10,100000,35,""
28,275,100,300,0,1
29,276,100,750,0,1
30,277,100,3750,0,1
