"rownum","InfluencePack","MonsterPacks","rid","[rid]","i32","i32","i32"
0,0,"[1808,1809,1810,1811]","",[],0,0,17327
1,1,"[1808,1809,1810,1811]","",[],0,0,17327
2,2,"[1808,1809,1810,1811]","",[],0,0,17327
3,3,"[1812,1813,1814,1815,1816]","",[],0,0,17327
4,4,"[1812,1813,1814,1815,1816]","",[],0,0,17327
5,5,"[1812,1813,1814,1815,1816]","",[],0,0,17327
6,6,"[1817,1818,1819,1820,1821]","",[],0,0,17327
7,7,"[1817,1818,1819,1820,1821]","",[],0,0,17327
8,8,"[1817,1818,1819,1820,1821]","",[],0,0,17327
9,9,"[1822,1823,1824]","",[],0,0,17327
10,10,"[1822,1823,1824]","",[],0,0,17327
11,11,"[1822,1823,1824]","",[],0,0,17327
12,12,[1825],"",[],0,0,-16843010
13,13,[1826],"",[],0,0,-16843010
14,14,[1827],"",[],0,0,-16843010
15,15,[1828],"",[],0,0,-16843010
16,16,[],"",[10800],0,0,-16843010
17,17,[1829],"",[],0,0,-16843010
18,18,[1830],"",[],0,0,-16843010
19,19,[1831],"",[],0,0,-16843010
20,20,[],1446,[],5,0,-16843010
21,21,[],1447,[],7,0,-16843010
22,22,[],1448,[],4,0,-16843010
23,23,[],1449,[],5,0,-16843010
24,25,[],"",[],0,100,16136
25,26,[],"",[],0,100,16136
26,27,[],"",[],0,0,16136
27,28,[],"",[],0,0,16136
28,29,[],"",[],0,0,16136
29,30,[],"",[],0,0,16136
30,31,[],"",[],0,0,16136
31,32,[],"",[],0,0,16136
32,33,[],"",[],0,0,16136
33,34,[],"",[],0,0,16136
34,35,[],"",[],0,100,16137
35,36,[],"",[],0,100,16137
36,37,[],"",[],0,0,16137
37,38,[],"",[],0,0,16137
38,39,[],"",[],0,0,16137
39,40,[],"",[],0,0,16137
40,41,[],"",[],0,0,16137
41,42,[],"",[],0,0,16137
42,43,[],"",[],0,0,16137
43,44,[],"",[],0,0,16137
