"rownum","WorldAreas","i32","i32","i32","NPCTextAudioKey","string","string","i32"
0,14,263,151,275,1011,"R_top","L_top",2564
1,26,265,151,363,1013,"R_mid","L_mid",2565
2,29,264,151,451,1012,"R_btm","L_btm",2566
3,44,266,548,275,1014,"L_top","R_top",2567
4,46,268,548,363,1016,"L_mid","R_mid",2568
5,55,267,548,451,1015,"L_btm","R_btm",2569
6,92,269,151,275,1011,"R_top","L_top",2570
7,106,271,151,363,1013,"R_mid","L_mid",2571
8,108,270,151,451,1012,"R_btm","L_btm",2572
9,124,272,548,275,1014,"L_top","R_top",2573
10,142,273,548,363,1016,"L_mid","R_mid",2574
11,156,274,548,451,1015,"L_btm","R_btm",2575
12,753,281,151,275,1011,"R_top","L_top",2576
13,752,283,151,363,1013,"R_mid","L_mid",2577
14,750,282,151,451,1012,"R_btm","L_btm",2578
15,751,284,548,275,1014,"L_top","R_top",2579
16,755,286,548,363,1016,"L_mid","R_mid",2580
17,754,285,548,451,1015,"L_btm","R_btm",2581
