"rownum","string","string","string","string"
0,"DPadUp","D-pad Up","DPadUp","Up"
1,"DPadDown","D-pad Down","DPadDown","Down"
2,"DPadLeft","D-pad Left","DPadLeft","Left"
3,"DPadRight","D-pad Right","DPadRight","Right"
4,"Start","Menu","MenuButton","OPTIONS"
5,"Back","View","ViewButton","Touch Pad Button"
6,"LeftThumb","LS","LeftStickButton","L3"
7,"RightThumb","RS","RightStickButton","R3"
8,"LeftShoulder","LB","ShoulderButtonLeft","L1"
9,"RightShoulder","RB","ShoulderButtonRight","R1"
10,"A","A","Button4","Cross"
11,"B","B","Button3","Circle"
12,"X","X","Button1","Triangle"
13,"Y","Y","Button2","Square"
14,"LeftTrigger","LT","TriggerLeft","L2"
15,"RightTrigger","RT","TriggerRight","R2"
16,"L4","","BackButtonLeft1",""
17,"R4","","BackButtonRight1",""
18,"L5","","BackButtonLeft2",""
19,"R5","","BackButtonRight2",""
20,"Share","","ShareButton","Share"
