"rownum","i32"
0,8
1,76
2,300
3,466
4,616
5,754
6,902
7,1234
8,1694
9,2138
10,2218
11,2360
12,2496
13,3548
14,3706
15,3922
16,4062
17,4202
18,4298
19,4692
20,4912
21,5022
22,5110
23,5336
24,5468
25,5674
26,5690
27,5706
28,5722
29,5738
30,5794
31,5934
32,6098
33,6290
34,6848
35,6928
36,7434
37,7574
38,7958
39,8570
40,8992
41,9290
42,12942
43,13150
44,13558
45,14306
46,14636
47,14652
48,14882
49,15048
50,15064
51,15096
52,15112
53,15256
54,15462
55,15602
56,15830
57,16002
58,16152
59,16308
60,16448
61,16464
62,16480
63,16496
64,16512
65,16528
66,16544
67,16560
68,16576
69,16716
70,16900
71,17020
72,17270
73,17436
74,17554
75,19950
76,20038
77,20178
78,20322
79,20468
80,20546
81,20562
82,20938
83,21072
84,21348
85,21482
86,21746
87,22288
88,22450
89,22702
90,22804
91,22922
92,23116
93,23438
94,23558
95,23566
96,23718
97,23884
98,24034
99,24170
100,24350
101,24538
102,24702
103,24914
104,25042
105,25060
106,25246
107,25380
108,25570
109,25692
110,26108
111,26272
112,26432
113,26630
114,26974
115,27310
116,27416
117,27644
118,28318
119,28586
120,28898
121,29124
122,29876
123,30010
124,30398
125,30532
126,30700
127,31850
128,31860
129,32072
130,32268
131,32400
132,32572
133,32756
134,33162
135,33286
136,33576
137,33926
