"rownum","EPKFile1","i32","EPKFile2","i32","i32","i32","bool","AOFile","bool","string"
0,"Metadata/Effects/Microtransactions/Spells/double_strike/rainbow/double_strike_claw.epk",0,"Metadata/Effects/Microtransactions/Spells/double_strike/rainbow/double_strike_claw.epk",65,11,65,"","","",""
1,"Metadata/Effects/Microtransactions/Spells/double_strike/rainbow/double_strike_onehand.epk",0,"Metadata/Effects/Microtransactions/Spells/double_strike/rainbow/double_strike_onehand.epk",120,11,120,"","","",""
2,"Metadata/Effects/Microtransactions/Spells/double_strike/rainbow/double_strike_staffmain.epk",0,"Metadata/Effects/Microtransactions/Spells/double_strike/rainbow/double_strike_staffmain.epk",150,13,150,"","","",""
3,"Metadata/Effects/Microtransactions/Spells/double_strike/rainbow/double_strike_staffoff.epk",0,"Metadata/Effects/Microtransactions/Spells/double_strike/rainbow/double_strike_staffoff.epk",150,13,150,"","","",""
4,"Metadata/Effects/Microtransactions/Spells/double_strike/rainbow/double_strike_twohand.epk",0,"Metadata/Effects/Microtransactions/Spells/double_strike/rainbow/double_strike_twohand.epk",150,13,150,"","","",""
5,"Metadata/Effects/Microtransactions/Spells/smite/valhalla/weapon/smite_enchant_L_unarmed.epk",0,"Metadata/Effects/Microtransactions/Spells/smite/valhalla/weapon/smite_enchant_L_unarmed.epk",65,11,65,"","","",""
6,"Metadata/Effects/Microtransactions/Spells/smite/valhalla/weapon/smite_enchant_R_unarmed.epk",0,"Metadata/Effects/Microtransactions/Spells/smite/valhalla/weapon/smite_enchant_R_unarmed.epk",65,11,65,"","","",""
7,"Metadata/Effects/Microtransactions/Spells/smite/valhalla/weapon/smite_enchant_onehand_L.epk",0,"Metadata/Effects/Microtransactions/Spells/smite/valhalla/weapon/smite_enchant_onehand_L.epk",120,11,120,"","","",""
8,"Metadata/Effects/Microtransactions/Spells/smite/valhalla/weapon/smite_enchant_onehand_R.epk",0,"Metadata/Effects/Microtransactions/Spells/smite/valhalla/weapon/smite_enchant_onehand_R.epk",120,11,120,"","","",""
9,"Metadata/Effects/Microtransactions/Spells/smite/valhalla/weapon/smite_enchant_twohand.epk",0,"Metadata/Effects/Microtransactions/Spells/smite/valhalla/weapon/smite_enchant_twohand.epk",200,13,200,"","","",""
10,"Metadata/Effects/Spells/default_attack/claw_unarded.epk",0,"",65,11,65,"","Metadata/Effects/Spells/melee_trails/default_attack/default_CLAW.ao","",""
11,"Metadata/Effects/Spells/default_attack/claw_unarded_L.epk",0,"",65,11,65,"","Metadata/Effects/Spells/melee_trails/default_attack/default_CLAW.ao","",""
