"rownum","Id","i32","i32","bool","i32","i32","i32","i32","i32","i32"
0,"None",0,0,"",1677721600,0,0,335544320,0,0
1,"Act2Default",3,0,"",1627389952,16777216,0,771751936,0,0
2,"Act3Default",3,0,"",1627389952,16777216,0,1476395008,0,0
3,"Act4Default",3,0,"",1627389952,16777216,0,-2113929216,0,0
4,"Act5EarlyDefault",3,0,"",1627389952,16777216,0,-1241513984,0,0
5,"Act5LateDefault",4,0,"",1610612736,33554432,0,-402653184,0,0
6,"Act6Default",8,0,"",1543503872,83886080,0,570425344,1,0
7,"Act7Default",8,0,"",1543503872,83886080,0,-1946157056,1,0
8,"Act8Default",8,0,"",1543503872,83886080,0,-167772160,1,0
9,"Act9Default",8,0,"",1543503872,83886080,0,1610612736,2,0
10,"Act10Default",8,0,"",1543503872,83886080,0,-872415232,2,0
11,"Map",0,0,"",1677721600,0,0,637534208,3,16777216
12,"Tier1Map",20,3,1,1275068416,184549376,0,973078528,3,0
13,"Tier2Map",21,3,1,1258291200,184549376,0,-33554432,3,0
14,"Tier3Map",22,3,1,1241513984,184549376,0,-1040187392,4,0
15,"Tier4Map",23,3,1,1224736768,184549376,0,-2046820352,5,0
16,"Tier5Map",24,3,1,1207959552,184549376,0,1241513984,6,0
17,"Tier6Map",25,4,1,1174405120,184549376,0,234881024,7,0
18,"Tier7Map",26,4,1,1157627904,184549376,0,-771751936,7,0
19,"Tier8Map",27,4,1,1140850688,184549376,0,-1778384896,8,0
20,"Tier9Map",28,4,1,1124073472,184549376,0,1509949440,9,0
21,"Tier10Map",29,4,1,1107296256,184549376,0,536870912,10,0
22,"Tier11Map",30,5,1,1073741824,184549376,0,-436207616,10,0
23,"Tier12Map",31,5,1,1056964608,184549376,0,-1409286144,11,0
24,"Tier13Map",32,5,1,1040187392,184549376,0,1912602624,12,0
25,"Tier14Map",33,5,1,1023410176,184549376,0,939524096,13,0
26,"Tier15Map",34,5,1,1006632960,184549376,0,-33554432,13,0
27,"Tier16Map",35,5,1,989855744,184549376,0,-1006632960,14,0
