"rownum","QuestKey","i32","QuestStates","[i32]","Text","bool","Message","MapPinsKeys1","i32","MapPinsTexts","MapPinsKeys2","[rid]","bool","[i32]","[i32]","i32","SoundEffect"
0,0,0,[2],[],"Quest Complete - You have killed Hillock and received a reward from Tarkleigh.",1,"Quest Complete",[],0,[],[],[],"",[],[],10,""
1,0,1,"[0,0]",[],"You have killed Hillock, the zombie attacking the town. Talk to Tarkleigh for a reward.","","",[0],0,"[""Talk to Tarkleigh for your reward""]",[0],[],"",[],[],10,""
2,0,2,[0],"[280,0]","You have killed Hillock, the zombie attacking the town and levelled up. Open the Passive Skill Screen and spend a Passive Skill Point to upgrade your character.","","",[1],0,"[""Open the Passive Skill Screen\nSpend your Passive Skill Point""]",[1],[],"",[],[],10,""
3,0,3,[0],[],"You have killed Hillock, the zombie attacking the town. Enter through the gate for a reward.","","Enter town for your reward",[0],0,"[""Enter town for your reward""]",[1],[],"",[],[],10,""
4,0,4,[1],[],"A large zombie called Hillock is attacking the town. Kill him to gain access.","","Kill Hillock",[1],0,"[""Kill Hillock""]",[1],[],"",[],[],10,""
5,5,0,[6],[],"Quest Complete - You have slain Brutus and have received a reward from Tarkleigh.",1,"Quest Complete",[],0,[],[],[],"",[],[],10,""
6,5,1,"[5,0]",[],"You have killed Brutus and found a way through the Prison. Talk to Tarkleigh in town for a reward.","","Talk to Tarkleigh for your reward",[0],0,"[""Talk to Tarkleigh for your reward""]",[0],[],"",[],[],10,""
7,5,2,[5],[],"You have killed Brutus and unlocked the Prison's exit. Search for it in the Warden's Chambers in the Upper Prison.","","The Prison's exit is now open",[11],0,"[""Find the exit from the Prison""]",[10],[],"",[],[],10,""
8,5,3,[514],[],"You have found Brutus in the Warden's Chambers in the Upper Prison. Kill him to unlock the exit.","","Kill Brutus",[10],0,"[""Kill Brutus""]",[10],[],"",[],[],10,""
9,5,4,[130],[797],"You have found Axiom Prison, home to Brutus, the Warden. Return to town for help preparing for the coming battle.","","Return to town for assistance",[0],0,"[""Talk to Nessa""]",[0],[],"",[],[],10,""
10,5,5,[797],[4],"You have found Axiom Prison, home to Brutus, the Warden. Return to town for help preparing for the coming battle.","","",[0],0,"[""Talk to Tarkleigh""]",[0],[],"",[],[],10,""
11,5,6,[4],[],"The Warden, Brutus, has blockaded Axiom Prison. Kill him to get through.","","Kill Brutus",[10],0,"[""Explore the Prison and kill Brutus""]",[10],[],"",[],[],10,""
12,7,0,"[10,0]",[],"Quest Complete - You have slain Merveil. You are now able to travel to Act 2.",1,"Quest Complete",[],0,[],[],[],"",[],[],10,""
13,7,1,[10],[],"Quest Complete - You have slain Merveil and reached Act 2. Talk to Nessa for a reward.","","Talk to Nessa for your reward",[0],0,"[""Talk to Nessa for your reward""]",[0],[],"",[],[],10,""
14,7,2,"[9,0]",[],"You have killed Merveil, the Siren. Find the exit to her lair and enter the forest.","","The lair's exit is now unlocked",[15],0,"[""Find the exit to Act 2""]",[14],[],"",[],[],10,""
15,7,3,[9],[],"You have killed Merveil, the Siren. Find the exit to her lair and enter the forest. You can also talk to Nessa in town for a reward.","","The lair's exit is now unlocked",[15],0,"[""Find the exit to Act 2""]",[14],[],"",[],[],10,""
16,7,4,"[513,0]",[],"Kill Merveil, the Siren, in her lair.","","Kill Merveil",[14],0,"[""Kill Merveil""]",[14],[],"",[],[],10,""
17,7,5,[513],[],"Kill Merveil, the Siren, in her lair. You can also talk to Nessa in town for help with the battle.","","Kill Merveil",[14],0,"[""Kill Merveil""]",[14],[],"",[],[],10,""
18,7,6,[132],[72],"You have discovered the cavernous lair of Merveil, the Siren. Return to town for help preparing for the coming battle.","","Talk to Nessa",[0],0,"[""Talk to Nessa""]",[0],[],"",[],[],10,""
19,7,7,[8],[],"Merveil, the Siren, is luring sailors and exiles alike to their doom. Find her and kill her.","","Kill Merveil",[14],0,"[""Kill Merveil""]",[14],[],"",[],[],10,""
20,2,0,[36],[],"Quest Complete - You have opened the Submerged Passage. Tarkleigh has rewarded you.",1,"Quest Complete",[],0,[],[],[],"",[],[],10,""
21,2,1,[24],"[27,0,0,0,128]","The Submerged Passage is now open. Speak to Tarkleigh for a reward.","","The Submerged Passage is now open",[7],0,"[""Enter the Submerged Passage""]",[4],[],"",[],[],10,""
22,2,2,[24],[],"You have opened the Submerged Passage. Talk to Tarkleigh for a reward.","","",[0],0,"[""Talk to Tarkleigh for your reward""]",[],[],"",[],[],10,""
23,2,3,"[25,0,0,0]",[],"In order to unlock the cave entrance you must take the three glyphs to the glyph wall.","","Take the Glyphs to the Glyph Wall",[4],0,"[""Take the Glyphs to the Glyph Wall""]",[4],[],"",[],[],10,""
24,2,4,"[23,0]",[],"In order to unlock the cave entrance you must find all three glyphs. They can be found in Rhoa nests in the Mud Flats.","","Find the Glyphs in the Rhoa Nests",[4],0,"[""Find the Glyphs in the Rhoa Nests""]",[4],[],"",[],[],10,""
25,2,5,"[25,0]",[],"Look around the Mud flats for more clues about how to lower the water. Tarkleigh has suggested that there might be a clue in the Rhoa nests.","","Investigate the Rhoa Nests in the Mud Flats",[4],0,"[""Investigate the Rhoa Nests""]",[4],[],"",[],[],10,""
26,2,6,[25],[],"Look around the Mud Flats for more clues about how to lower the water. There is a strange wall that looks like it needs three objects. Tarkleigh may have more ideas.","","Investigate the Mud Flats for a way to lower the water","[0,4]",0,"[""Explore the Mud Flats""]",[4],[],"",[],[],10,""
27,2,7,[23],[],"Look around the Mud Flats for more clues as to the purpose of the strange glyph.","","Find a use for the strange glyph in the Mud Flats",[4],0,"[""Explore the Mud Flats""]",[4],[],"",[],[],10,""
28,2,8,[29],[],"Tarkleigh has suggested that Rhoas like to collect shiny objects. Investigate their nests in the Mud Flats.","","Investigate the Rhoa Nests in the Mud Flats",[4],0,"[""Investigate the Rhoa Nests""]",[4],[],"",[],[],10,""
29,1,0,[41],[],"Quest Complete - You have given the Medicine Chest to Nessa and have received a reward.",1,"Quest Complete",[],0,[],[],[],"",[],[],10,""
30,1,1,[42],[],"You have given the medicine chest to Nessa. Talk to her for a reward.","","",[0],0,[],[],[],"",[],[],10,""
31,1,2,[49],[],"You have found the medicine chest that Nessa wanted. Take it back to town for a reward.","","Take the Medicine Chest to Nessa",[0],0,"[""Talk to Nessa for your reward""]",[0],[],"",[],[],10,""
32,1,3,"[44,0]",[],"Bestel has informed you that his ship, beached on the Tidal Island, contained a medicine chest. Find it and take it back to Nessa in town.","","",[3],0,"[""Find the Medicine Chest""]",[3],[],"",[],[],10,""
33,1,4,[44],[],"Bestel has informed you that his ship, beached on the Tidal Island, contained a medicine chest. Find it and take it back to Nessa in town.","","Find the Medicine Chest on the Tidal Island",[3],0,"[""Travel to the Tidal Island\nFind the Medicine Chest""]",[],[],"",[],[],10,""
34,1,5,[39],[],"Nessa needs a medicine chest to heal the wounded in town. See if you can find one.","","Talk to Bestel",[0],0,"[""Talk to Bestel""]",[0],[],"",[],[],10,""
35,6,0,[46],[],"Quest Complete - You have slain Fairgraves. Bestel has rewarded you with {0}.",1,"Quest Complete",[],0,[],[],[],"",[],[],0,""
36,6,1,[498],[],"Quest Complete - You have slain Fairgraves. Bestel has rewarded you with a Skill Book. Use it to gain {0}.","","",[],0,[],[],[],"",[],[],0,""
37,6,2,[499],[],"You have killed Captain Fairgraves. Talk to Bestel in town for a reward.","","",[0],0,"[""Talk to Bestel for your reward""]",[],[],"",[],[],10,""
38,6,3,[47],[],"You have killed Captain Fairgraves. Talk to Bestel in town for a reward.","","Talk to Bestel for your reward",[0],0,"[""Talk to Bestel for your reward""]",[0],[],"",[],[],10,""
39,6,4,[74],[],"Captain Fairgraves needs your life force to kindle the Allflame and has attacked you. Kill him in the Ship Graveyard.","","Kill Fairgraves",[12],0,"[""Kill Fairgraves""]",[12],[],"",[],[],10,""
40,6,5,[63],[],"You have delivered the Allflame to Captain Fairgraves. Talk to him for a reward.","","",[12],0,"[""Talk to Fairgraves""]",[12],[],"",[],[],10,""
41,6,6,"[45,0]",[61],"Captain Fairgraves wants you to find the mythical lantern, the Allflame. It should be somewhere inside the Ship Graveyard Cave.","","Find the Allflame",[13],0,"[""Find the Allflame""]",[13],[],"",[],[],10,""
42,6,7,[45],[61],"Captain Fairgraves wants you to find the mythical lantern, the Allflame. It should be somewhere around the Ship Graveyard.","","Find the Allflame",[13],0,"[""Find the Allflame""]",[12],[],"",[],[],10,""
43,6,8,[61],[45],"Search the Ship Graveyard to find the purpose of the Allflame.","","Investigate the Allflame",[12],0,"[""Explore the Ship Graveyard""]",[12],[],"",[],[],10,""
44,6,9,"[45,0]",[],"Captain Fairgraves wants the mythical lantern, the Allflame. Bring it to him in the Ship Graveyard.","","Bring the Allflame to Fairgraves",[12],0,"[""Bring the Allflame to Fairgraves""]",[12],[],"",[],[],10,""
45,6,10,"[198,0]",[47],"Search the Ship Graveyard for Captain Fairgraves.","","",[12],0,"[""Find Fairgraves""]",[12],[],"",[],[],10,""
46,6,11,[198],[47],"Search the Ship Graveyard for Captain Fairgraves.","","",[12],0,"[""Find Fairgraves""]",[12],[],"",[],[],10,""
47,6,12,[199],[47],"Search the Ship Graveyard for Captain Fairgraves.","","",[12],0,"[""Find Fairgraves""]",[12],[],"",[],[],10,""
48,4,0,[116],[],"Quest Complete - You have slain The Dweller of the Deep. Tarkleigh has rewarded you with {0}.",1,"Quest Complete",[],0,[],[],[],"",[],[],0,""
49,4,1,[494],[],"Quest Complete - You have slain The Dweller of the Deep. Tarkleigh has rewarded you with a Skill Book. Use it to gain {0}.","","",[],0,[],[],[],"",[],[],0,""
50,4,2,[359],[],"You have killed the Dweller of the Deep. Talk to Tarkleigh for a reward.","","",[0],0,"[""Talk to Tarkleigh for your reward""]",[],[],"",[],[],10,""
51,4,3,[115],[],"You have killed the Dweller of the Deep. Talk to Tarkleigh for a reward.","","Talk to Tarkleigh for your reward",[0],0,"[""Talk to Tarkleigh for your reward""]",[0],[],"",[],[],10,""
52,4,4,[114],[],"Kill the Dweller of the Deep, a giant crab lurking in the Flooded Depths.","","Kill the Dweller of the Deep",[6],0,"[""Kill the Dweller of the Deep""]",[6],[],"",[],[],10,""
53,4,5,[113],[],"Tarkleigh has asked you to dispatch the Dweller of the Deep, a giant crab lurking in the depths below the Submerged Passage.","","Kill the Dweller of the Deep",[6],0,"[""Kill the Dweller of the Deep""]",[6],[],"",[],[],10,""
54,3,0,[228],[],"Quest Complete - You have cleared the Fetid Pool of the necromancer and his undead minions. Tarkleigh has rewarded you with two Passive Respec Points.",1,"Quest Complete",[],0,[],[],[],"",[],[],10,""
55,3,1,[507],[],"Quest Complete - You have cleared the Fetid Pool of the necromancer and his undead minions. Tarkleigh has rewarded you with a Skill Book. Use it to gain two Passive Respec Points.","","",[],0,[],[],[],"",[],[],10,""
56,3,2,[506],[],"You have cleared the Fetid Pool of the necromancer and his undead minions. Talk to Tarkleigh for a reward.","","",[0],0,"[""Talk to Tarkleigh for your reward""]",[],[],"",[],[],10,""
57,3,3,[227],[],"You have cleared the Fetid Pool of the necromancer and his undead minions. Talk to Tarkleigh for a reward.","","Talk to Tarkleigh for your reward",[0],0,"[""Talk to Tarkleigh for your reward""]",[0],[],"",[],[],10,""
58,3,4,[226],[],"Wipe out the remaining monsters in the Fetid Pool.","","Wipe out the remaining monsters",[5],0,"[""Kill all the monsters in the Fetid Pool""]",[5],[],"",[],[],10,""
59,3,5,[225],[],"Kill the Necromancer and all his minions in the Fetid Pool.","","Kill the Necromancer and his minions",[5],0,"[""Kill all the monsters in the Fetid Pool""]",[5],[],"",[],[],10,""
60,3,6,[127],[],"Tarkleigh wants you to clear the Fetid Pool of all undead and any other monsters.","","Clear the Fetid Pool",[5],0,"[""Kill all the monsters in the Fetid Pool""]",[5],[],"",[],[],10,""
61,3,7,"[224,0]",[],"Tarkleigh wants you to clear the Fetid Pool of all undead and any other monsters. Search the Mud Flats for the entrance to the Fetid Pool.","","Clear the Fetid Pool",[5],0,"[""Search the Mud Flats for the entrance to the Fetid Pool\nKill all monsters in the Fetid Pool""]",[],[],"",[],[],10,""
62,3,8,"[224,0]",[367],"Tarkleigh wants you to clear the Fetid Pool of all undead and any other monsters. Take the waypoint to the Coast and enter the Mud Flats, then search for the Fetid Pool.","","",[5],0,"[""Take the waypoint to the Coast and enter the Mud Flats\nEnter the Fetid Pool and kill all the monsters there""]",[],[4],"",[],[],10,""
63,3,9,"[224,0]",[367],"Tarkleigh wants you to clear the Fetid Pool of all undead and any other monsters. Travel up the Coast and enter the Mud Flats, then search for the Fetid Pool.","","",[5],0,"[""Travel up the Coast to the Mud Flats\nEnter the Fetid Pool and kill all the monsters there""]",[],[],"",[],[],10,""
64,3,10,[224],[],"Tarkleigh wants you to clear the Fetid Pool of all undead and any other monsters. Travel up the Coast and enter the Mud Flats, then search for the Fetid Pool.","","Clear the Fetid Pool",[5],0,"[""Travel up the Coast to the Mud Flats\nEnter the Fetid Pool and kill all the monsters there""]",[],[],"",[],[],10,""
65,8,0,[263],[],"Quest Complete - You have opened the blocked pass between the Western Forest and Prisoner's Gate. Bestel has rewarded you with {0}.",1,"Quest Complete",[],0,[],[],[],"",[],[],0,""
66,8,1,[500],[],"Quest Complete - You have opened the blocked pass between the Western Forest and Prisoner's Gate. Bestel has rewarded you with a Skill Book. Use it to gain {0}.","","",[],0,[],[],[],"",[],[],0,""
67,8,2,[268],[],"You have opened the blocked pass between the Western Forest and Prisoner's Gate. Talk to Bestel in town for a reward.","","",[0],0,"[""Talk to Bestel for your reward""]",[],[],"",[],[],10,""
68,8,3,[233],[],"You have opened the blocked pass between the Western Forest and Prisoner's Gate. Talk to Bestel in Lioneye's Watch for a reward.","","Talk to Bestel for your reward",[0],0,"[""Talk to Bestel for your reward""]",[0],[],"",[],[],10,""
69,8,4,"[230,0]",[232],"The Emperor's Road, which leads to the Western Forest, has been blocked by Piety. Find another way around.","","",[15],0,"[""Find another way to the forest""]",[15],[],"",[],[],10,""
70,8,5,[230],"[10,0]","The Emperor's Road, which leads to the Western Forest, has been blocked by Piety. Find another way around.","","Find another way to the forest",[15],3000,"[""Find another way to the forest""]",[],[],"",[],[],10,""
71,8,6,[229],"[10,0,0,0,232,0,0]","Tarkleigh wants you to find a path to the Emperor's Road and the inland forest it leads to. Search the Mud Flats for the entrance to the Submerged Passage to progress.","","Enter the Submerged Passage in the Mud Flats",[4],0,"[""Enter the Submerged Passage in the Mud Flats""]",[],[],"",[],[],10,""
72,8,7,[229],"[10,0]","Tarkleigh wants you to find a path to the Emperor's Road and the inland forest it leads to.","","Find the Emperor's Road",[16],0,"[""Follow the Emperor's Road""]",[11],[],"",[],[],10,""
73,9,0,[233],[263],"You have opened the blocked pass between the Western Forest and Prisoner's Gate. Talk to Bestel in Lioneye's Watch for a reward.","","",[0],0,"[""Talk to Bestel for your reward""]",[0],[],"",[],[],10,""
74,9,1,[121],[263],"Use the Thaumetic Emblem to trigger the Thaumetic Seal and open the blocked pass.","","Activate the Thaumetic Seal",[27],0,"[""Activate the Thaumetic Seal""]",[27],[],"",[],[],10,""
75,9,2,[512],[263],"Take the Thaumetic Emblem from Captain Arteri in the Western Forest.","","Take the Thaumetic Emblem",[27],0,"[""Take the Thaumetic Emblem""]",[27],[],"",[],[],10,""
76,9,3,[511],[263],"Kill the Blackguards guarding the blocked pass.","","Kill the Blackguards",[27],0,"[""Kill the Blackguards""]",[27],[],"",[],[],10,""
77,9,4,"[232,0]",[263],"Open the blocked pass back to Prisoner's Gate from the Western Forest.","","Open the blocked pass",[27],0,"[""Open the blocked pass""]",[27],[],"",[],[],10,""
78,9,5,"[133,0]",[263],"You have made your way to the forest. Find someone who knows where the other side of the blocked pass is.","","",[17],0,"[""Talk to Silk""]",[17],[],"",[],[],10,""
79,9,6,"[10,0,0]",[263],"You have made your way to the forest. Find someone who knows where the other side of the blocked pass is.","","",[17],0,"[""Talk to Silk""]",[17],[],"",[],[],10,""
80,9,7,"[10,0]",[263],"You have made your way to the forest. Find the encampment and look for someone who knows where the other side of the blocked pass is.","","Find the Forest Encampment",[17],0,"[""Find the Forest Encampment""]",[],[],"",[],[],10,""
81,9,8,[133],"[263,0]","Tarkleigh wants you to find a path to the Emperor's Road and the inland forest it leads to.","","Find the Emperor's Road",[27],0,"[""Find the Emperor's Road""]",[27],[],"",[],[],10,""
82,9,9,[10],[263],"You have made your way to the forest. Find the encampment.","","Find the Forest Encampment",[17],0,"[""Find the Forest Encampment""]",[],[],"",[],[],10,""
83,16,0,"[54,0]",[],"Quest Complete - You have slain Oak and Alira. Kraityn has rewarded you with {0}.",1,"",[],0,[],[],[],"",[],[],0,""
84,16,1,"[54,0]",[],"Quest Complete - You have slain Oak and Alira. Kraityn has rewarded you with {0}.",1,"",[],0,[],[],[],"",[],[],0,""
85,16,2,[54],[],"Quest Complete - You have slain Oak and Alira. Talk to Kraityn to get the Apex. He has rewarded you with {0}.",1,"",[24],0,"[""Talk to Kraityn""]",[24],[],"",[],[],0,""
