0,"FriendRequest","","Friend Request"
1,"FriendNowOnline","","Friend Now Online"
2,"FriendNowOffline","","Friend Now Offline"
3,"FriendAreaChanged","","Friend Area Changed"
4,"FriendLevelChanged","","Friend Level Changed"
5,"FriendStatusMessageChanged","","Friend Status Changed"
6,"PartyInvite","","Party Invite"
7,"PartyJoined","","Party Joined"
8,"PartyLeft","","Party Left"
9,"PartyMemberInvited","","Party Member Invited"
10,"PartyMemberJoined","","Party Member Joined"
11,"PartyMemberLeft","","Party Member Left"
12,"PartyMemberPromotedToLeader","","Party Member Promoted"
13,"PartyMemberNowOnline","","Party Member Now Online"
14,"PartyMemberNowOffline","","Party Member Now Offline"
15,"GuildInvite","","Guild Invite"
16,"GuildJoined","","Guild Joined"
17,"GuildLeft","","Guild Left"
18,"GuildRankChanged","","Guild Rank Changed"
19,"GuildMemberInvited","","Guild Member Invited"
20,"GuildMemberJoined","","Guild Member Joined"
21,"GuildMemberLeft","","Guild Member Left"
22,"GuildMemberRankChanged","","Guild Member Rank Changed"
23,"GiftReceived","","Gift Received"
24,"TradeRequest","","Trade Request"
25,"PlayerJoinedMyHideout","","Player Joined Your Hideout"
26,"JoinHideoutInvitation","","Join Hideout Invitation"
27,"AchievementComplete","","Achievement Complete"
28,"AchievementItemComplete","","Achievement Item Complete"
29,"AchievementItemFailed","","Tracked Achievement Item Failed"
30,"PVPDuelChallenge","","PvP Duel Challenge"
31,"PVPEvent","","PvP Event"
32,"LeagueEvent","","League Event"
33,"MarketNotifications","","Market Notifications"
34,"BestiaryRecipeNotification","","Bestiary Recipe"
35,"RewardNotifications","","Reward Notifications"
36,"LeagueInGame","","Harvest In-game Notifications"
37,"ConsoleServerMessages","","Server Messages"
38,"ConsolePlayerLevelUp","","Level Up"
39,"ConsoleGemLevelUp","","Skill Gem Level Up"
40,"ConsoleGemReadyToLevelUp","","Skill Gem Ready to Level Up"
