0,"EmptyNode","Tower Foundation","A powered base for one of Cassia's towers.","Art/2DArt/UIImages/InGame/Placeholder/temp_league_prototype_placeholder","[1,6,11,16,21,26]","","",0,"","",[],[]
1,"ChillingTower1","Chilling Tower Mk I","Damage: Low
Chills and Damages nearby enemies

Ineffective against Blighted Monsters of the same type","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconCold",[2],"","I",35,"",10422,"[10421,10423,10424,10425,12170,17543]","[24,3558,199,10425,12175,17542]"
2,"ChillingTower2","Chilling Tower Mk II","Increased Damage
Increased effect of Chill
Affects more Targets","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconCold",[3],"","II",35,"",10422,"[10421,10423,10424,10425,12170,17543]","[24,3558,199,10425,12175,17542]"
3,"ChillingTower3","Chilling Tower Mk III","Increased Damage
Increased effect of Chill
Affects more targets","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconCold","[4,5]","","III",35,"",10422,"[10421,10423,10424,10425,12170,17543]","[24,3558,199,10425,12175,17542]"
4,"FreezingTower","Freezebolt Tower","Damage: Very High
Shoots a Piercing projectile which Freezes enemies

Ineffective against Blighted Monsters of the same type","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconFreezing",[],"","IV",75,"",10427,"[10426,10428,10429,12159,12170,17543]","[24,10428,173,8664,12175,17542]"
5,"IcePrisonTower","Glacial Cage Tower","Deals no Damage
Imprisons Enemies

Ineffective against Blighted Monsters of the same type","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconIcePrison",[],"","IV",60,"",10431,"[10430,10432,10433,12160,12170,17543]","[215,10432,3336,434,12175,17542]"
6,"ShockingTower1","Shock Nova Tower Mk I","Damage: Low
Creates Shocked Ground
Casts Shock Nova

Ineffective against Blighted Monsters of the same type","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconLightning",[7],1,"I",20,"",10412,"[10413,10434,10435,10436,10437,12170,17543]","[24,10434,3559,10505,2272,12175,17542]"
7,"ShockingTower2","Shock Nova Tower Mk II","Increased Damage
Increased chance to Shock
Increased Area of Effect","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconLightning",[8],1,"II",25,"",10412,"[10413,10434,10435,10436,10437,12170,17543]","[24,10434,3559,10505,2272,12175,17542]"
8,"ShockingTower3","Shock Nova Tower Mk III","Increased Damage
Increased chance to Shock
Increased Area of Effect","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconLightning","[9,10]",1,"III",30,"",10412,"[10413,10434,10435,10436,10437,12170,17543]","[24,10434,3559,10505,2272,12175,17542]"
9,"LightningStormTower","Lightning Storm Tower","Damage: High
Lightning rapidly strikes around the Tower

Ineffective against Blighted Monsters of the same type","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconLightningStorm",[],1,"IV",45,"",10439,"[10438,10498,10441,12161,12170,17543]","[24,10440,212,12161,12175,17542]"
10,"ArcingTower","Arc Tower","Damage: Medium
Casts Arc

Ineffective against Blighted Monsters of the same type","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconArcing",[],"","IV",45,"",10443,"[10442,10444,10445,12162,12170,17543]","[24,2272,172,8665,12175,17542]"
