"rownum","RewardOffer","i32","Characters","Reward","RewardLevel","rid","i32","string","RewardStack","bool","bool","i32","i32","i32","rid","i32"
0,0,0,[1],6061,1,"",0,"",1,"","",1317,0,0,"",0
1,0,1,[1],6277,1,"",0,"",1,"","",1317,0,0,"",0
2,0,2,[1],6251,1,"",0,"",1,"","",1317,0,0,"",0
3,0,3,[1],6014,1,"",0,"",1,"","",1317,0,0,"",0
4,0,4,[1],6297,1,"",0,"",1,"","",1317,0,0,"",0
5,0,5,[1],6469,1,"",0,"",1,"","",1317,0,0,"",0
6,0,6,[6],6358,1,"",0,"",1,"","",1317,0,0,"",0
7,0,7,[6],6305,1,"",0,"",1,"","",1317,0,0,"",0
8,0,8,[6],6277,1,"",0,"",1,"","",1317,0,0,"",0
9,0,9,[6],6251,1,"",0,"",1,"","",1317,0,0,"",0
10,0,10,[6],6229,1,"",0,"",1,"","",1317,0,0,"",0
11,0,11,[6],6374,1,"",0,"",1,"","",1317,0,0,"",0
12,0,12,[0],6002,1,"",0,"",1,"","",1317,0,0,"",0
13,0,13,[0],6229,1,"",0,"",1,"","",1317,0,0,"",0
14,0,14,[0],6522,1,"",0,"",1,"","",1317,0,0,"",0
15,0,15,[4],6003,1,"",0,"",1,"","",1317,0,0,"",0
16,0,16,[4],6229,1,"",0,"",1,"","",1317,0,0,"",0
17,0,17,[4],6281,1,"",0,"",1,"","",1317,0,0,"",0
18,0,18,[4],6394,1,"",0,"",1,"","",1317,0,0,"",0
19,0,19,[4],6490,1,"",0,"",1,"","",1317,0,0,"",0
20,0,20,[3],6023,1,"",0,"",1,"","",1317,0,0,"",0
21,0,21,[3],6021,1,"",0,"",1,"","",1317,0,0,"",0
22,0,22,[3],6271,1,"",0,"",1,"","",1317,0,0,"",0
23,0,23,[3],6281,1,"",0,"",1,"","",1317,0,0,"",0
24,0,24,[3],6019,1,"",0,"",1,"","",1317,0,0,"",0
25,0,25,[5],6061,1,"",0,"",1,"","",1317,0,0,"",0
26,0,26,[5],6346,1,"",0,"",1,"","",1317,0,0,"",0
27,0,27,[5],6416,1,"",0,"",1,"","",1317,0,0,"",0
28,0,28,[5],6138,1,"",0,"",1,"","",1317,0,0,"",0
29,0,29,[5],6297,1,"",0,"",1,"","",1317,0,0,"",0
30,0,30,[5],6407,1,"",0,"",1,"","",1317,0,0,"",0
31,0,31,[2],6229,1,"",0,"",1,"","",1317,0,0,"",0
32,0,32,[2],6023,1,"",0,"",1,"","",1317,0,0,"",0
33,0,33,[2],6251,1,"",0,"",1,"","",1317,0,0,"",0
34,0,34,[2],6490,1,"",0,"",1,"","",1317,0,0,"",0
35,3,0,[1],6289,1,"",0,"",1,"","",1317,0,0,"",0
36,3,1,[1],6290,1,"",0,"",1,"","",1317,0,0,"",0
37,3,2,[1],6196,1,"",0,"",1,"","",1317,0,0,"",0
38,3,3,[1],6295,1,"",0,"",1,"","",1317,0,0,"",0
39,3,4,[1],6015,1,"",0,"",1,"","",1317,0,0,"",0
40,3,5,[1],6492,1,"",0,"",1,"","",1317,0,0,"",0
41,3,6,[6],6289,1,"",0,"",1,"","",1317,0,0,"",0
42,3,7,[6],6361,1,"",0,"",1,"","",1317,0,0,"",0
43,3,8,[6],6142,1,"",0,"",1,"","",1317,0,0,"",0
44,3,9,[6],6307,1,"",0,"",1,"","",1317,0,0,"",0
45,3,10,[6],6272,1,"",0,"",1,"","",1317,0,0,"",0
46,3,11,[6],6492,1,"",0,"",1,"","",1317,0,0,"",0
47,3,12,[0],6136,1,"",0,"",1,"","",1317,0,0,"",0
48,3,13,[0],6103,1,"",0,"",1,"","",1317,0,0,"",0
49,3,14,[0],6307,1,"",0,"",1,"","",1317,0,0,"",0
50,3,15,[0],6272,1,"",0,"",1,"","",1317,0,0,"",0
51,3,16,[4],6079,1,"",0,"",1,"","",1317,0,0,"",0
52,3,17,[4],6307,1,"",0,"",1,"","",1317,0,0,"",0
53,3,18,[4],6136,1,"",0,"",1,"","",1317,0,0,"",0
54,3,19,[4],6105,1,"",0,"",1,"","",1317,0,0,"",0
55,3,20,[4],6272,1,"",0,"",1,"","",1317,0,0,"",0
56,3,21,[4],6368,1,"",0,"",1,"","",1317,0,1,"",0
57,3,22,[4],6392,1,"",0,"",1,"","",1317,0,0,"",0
58,3,23,[3],6079,1,"",0,"",1,"","",1317,0,0,"",0
59,3,24,[3],6133,1,"",0,"",1,"","",1317,0,0,"",0
60,3,25,[3],6105,1,"",0,"",1,"","",1317,0,0,"",0
61,3,26,[3],6084,1,"",0,"",1,"","",1317,0,0,"",0
62,3,27,[3],6422,1,"",0,"",1,"","",1317,0,0,"",0
63,3,28,[5],6133,1,"",0,"",1,"","",1317,0,0,"",0
64,3,29,[5],6290,1,"",0,"",1,"","",1317,0,0,"",0
65,3,30,[5],6084,1,"",0,"",1,"","",1317,0,0,"",0
66,3,31,[5],6295,1,"",0,"",1,"","",1317,0,0,"",0
67,3,32,[5],6015,1,"",0,"",1,"","",1317,0,0,"",0
68,3,33,[2],6289,1,"",0,"",1,"","",1317,0,0,"",0
69,3,34,[2],6133,1,"",0,"",1,"","",1317,0,0,"",0
70,3,35,[2],6136,1,"",0,"",1,"","",1317,0,0,"",0
71,3,36,[2],6272,1,"",0,"",1,"","",1317,0,0,"",0
72,4,0,[1],6399,1,"",0,"",1,"","",1317,0,1,"",0
