"rownum","Id","TimeoutInSeconds","ChargesShared","Player_ShrineBuffsKey","i32","i32","Monster_ShrineBuffsKey","SummonMonster_MonsterVarietiesKey","SummonPlayer_MonsterVarietiesKey","i32","i32","ShrineSoundsKey","bool","AchievementItemsKeys","IsPVPOnly","bool","IsLesserShrine","Description","Name","bool"
0,"Acceleration",0,"",364,30,1,365,"","",50,45,3,"",[9325],"",1,"",6035,6034,""
1,"Lightning",0,"",376,80,4,"",2730,2731,0,45,2,"",[9325],"","","",6037,6036,""
2,"Cold",0,"",375,80,4,"",2732,2733,0,45,0,"",[9325],"","","",6039,6038,""
3,"Fire",0,"",374,0,10,"",2728,2729,0,45,1,"",[9325],"","","",6041,6040,""
4,"Arc",0,"",377,0,10,"",2736,2737,0,45,2,"","[516,9325]","","","",6043,6042,""
5,"Criticals",0,"",372,30,1,373,"","",50,45,7,"",[9325],"",1,"",6045,6044,""
6,"Brutal",0,"",368,30,1,369,"","",50,45,5,"",[9325],"",1,"",6047,6046,""
7,"Thorns",0,"",370,0,40,371,"","",50,45,6,"","[519,9325]","",1,"",6049,6048,""
8,"Regen",0,1,366,30,1,367,"","",50,45,4,"",[9325],"",1,"",6051,6050,""
9,"Massive",0,"",384,60,10,385,"","",50,45,4,"",[9325],"",1,"",6053,6052,""
10,"Defence",0,"",386,80,25,387,"","",50,45,6,"",[9325],"",1,"",6055,6054,""
11,"Resistance",0,"",388,80,40,389,"","",50,45,6,"",[9325],"",1,"",6057,6056,""
12,"GodMode",0,"",390,10,60,391,"","",50,45,6,"",[9325],"",1,"",6059,6058,""
13,"Multi",0,"",381,10,60,380,"","",50,45,7,"",[9325],"",1,"",6061,6060,""
14,"Curses",0,"",383,0,25,382,"",3014,50,45,5,"","[526,9325]","","","",6063,6062,""
15,"Skeletons",0,"",378,40,25,"",2738,2739,0,45,8,"",[9325],"","","",6065,6064,""
16,"Smoke",0,"",379,60,40,"",2734,2735,0,45,9,"",[9325],"","","",6067,6066,""
17,"PVPAcceleration",45,"",364,100,0,"","","",0,12,3,1,[],"","","",6069,6068,""
18,"PVPRegen",45,1,366,100,0,"","","",0,12,4,1,[],"","","",6071,6070,""
19,"PVPBrutal",45,"",368,100,0,"","","",0,20,5,1,[],"","","",6073,6072,""
20,"CTFBrutal",45,"",368,100,0,"","","",0,20,5,1,[],1,"","",6075,6074,""
21,"CTFRegen",45,1,366,100,0,"","","",0,20,4,1,[],1,"","",6077,6076,""
22,"CTFMassive",45,"",384,100,0,"","","",0,20,4,1,[],1,"","",6079,6078,""
23,"CTFDefence",45,"",386,100,0,"","","",0,20,6,1,[],1,"","",6081,6080,""
24,"AccelerationLesser",0,"",393,30,1,"","","",0,20,3,"",[],"",1,1,6035,6082,""
25,"BrutalLesser",0,"",394,30,1,"","","",0,20,5,"",[],"",1,1,6047,6083,""
26,"RegenLesser",0,"",395,30,1,"","","",0,20,4,"",[],"",1,1,6051,6084,""
27,"MassiveLesser",0,"",396,60,1,"","","",0,20,4,"",[],"",1,1,6053,6085,""
28,"ResistanceLesser",0,"",397,80,1,"","","",0,20,6,"",[],"",1,1,6057,6086,""
29,"DefenceLesser",0,"",398,80,1,"","","",0,20,6,"",[],"",1,1,6055,6087,""
30,"Resonating",0,"",399,0,2,400,"","",50,45,10,"",[9325],"",1,"",6089,6088,""
31,"Gloom",0,"",401,0,2,402,"","",50,45,11,"",[9325],"",1,"",6091,6090,""
32,"RoyaleShrineAccelerating",60,"",403,100,0,"","","",0,10,3,"",[],"","","",6035,6034,1
33,"RoyaleShrineBrutal",60,"",404,100,0,"","","",0,10,5,"",[],"","","",6047,6046,1
34,"RoyaleShrineBurning",60,"",405,0,0,"",2728,2729,0,10,1,"",[],"","","",6041,6040,1
35,"RoyaleShrineCharged",60,"",406,100,0,"","","",0,10,10,"",[],"","","",6089,6088,1
36,"RoyaleShrineDiamond",60,"",407,100,0,"","","",0,10,7,"",[],"","","",6045,6044,1
37,"RoyaleShrineEchoing",60,"",408,100,0,"","","",0,10,7,"",[],"","","",6061,6060,1
38,"RoyaleShrineFreezing",60,"",409,0,0,"",2732,2733,0,10,0,"",[],"","","",6039,6038,1
39,"RoyaleShrineGloom",60,"",410,0,0,"","","",0,10,11,"",[],"","","",6063,6090,1
40,"RoyaleShrineHexing",60,"",411,100,0,"","",3014,0,10,5,"",[],"","","",6063,6062,1
41,"RoyaleShrineImpenetrable",60,"",412,0,0,"","","",0,10,6,"",[],"","","",6055,6054,1
42,"RoyaleShrineLightning",60,"",413,0,0,"",2730,2731,0,10,2,"",[],"","","",6037,6036,1
43,"RoyaleShrineMassive",60,"",414,100,0,"","","",0,10,4,"",[],"","","",6053,6052,1
44,"RoyaleShrineReplenishing",60,"",415,100,0,"","","",0,10,4,"",[],"","","",6051,6050,1
45,"RoyaleShrineResistance",60,"",416,100,0,"","","",0,10,6,"",[],"","","",6057,6056,1
46,"RoyaleShrineShrouded",60,"",417,0,0,"",2734,2735,0,10,9,"",[],"","","",6067,6066,1
47,"RoyaleShrineStatic",60,"",418,0,0,"",2736,2737,0,10,2,"",[],"","","",6043,6042,1
48,"Greed",0,"",423,0,0,422,"","",50,45,12,"",[9325],"",1,"",6108,6107,""
49,"BrineKing",0,"",481,0,0,482,"","",50,45,0,"",[9325],"",1,"",6442,6438,""
50,"Lunaris",0,"",483,0,0,484,"","",50,45,0,"",[9325],"",1,"",6443,6439,""
51,"Solaris",0,"",485,0,0,486,"","",50,45,1,"",[9325],"",1,"",6444,6440,""
52,"Arakaali",0,"",487,0,0,488,"","",50,45,11,"",[9325],"",1,"",6445,6441,""
