"rownum","rid","i32","bool","i32","i32","Id","[string]","i32","string","string","i32","i32","bool","string","rid","bool","i32","i32","i32","i32","i32","i32","i32","i32","bool","bool","bool"
0,0,0,"",0,0,"BattlePassOneArchnemesisWatchersEye","[""琀氀攀倀愀猀猀䘀漀甀爀䴀攀氀搀椀渀最漀昀琀栀攀䘀氀攀猀栀""]",0,"","",375,399,"","","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
1,0,2,"",285212672,0,"BattlePassOneArchnemesisDyingSun","[""氀攀倀愀猀猀䘀漀甀爀䴀攀氀搀椀渀最漀昀琀栀攀䘀氀攀猀栀""]",0,"","",376,400,"","","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
2,0,4,"",553648128,0,"BattlePassOneArchnemesisAegisAurora","[""ttlePassFourMeldingoftheFlesh""]",0,"","",377,401,"","","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
3,0,6,"",838860800,0,"BattlePassOneArchnemesisHandsoftheHighTemplar","[""琀琀氀攀倀愀猀猀䘀漀甀爀䴀攀氀搀椀渀最漀昀琀栀攀䘀氀攀猀栀""]",0,"","",378,402,"","","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
4,0,8,"",1124073472,0,"BattlePassOneArchnemesisParadoxica","[""tlePassFourMeldingoftheFlesh""]",0,"","",379,403,"","","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
5,0,10,"",1409286144,0,"BattlePassOneArchnemesisMjolner","[""attlePassFourMeldingoftheFlesh""]",0,"","",380,404,"","","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
6,0,12,"",1677721600,0,"BattlePassOneArchnemesisBottledFaith","[""攀倀愀猀猀䘀漀甀爀䴀攀氀搀椀渀最漀昀琀栀攀䘀氀攀猀栀""]",0,"","",381,405,"","","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
7,0,14,"",1962934272,0,"BattlePassOneArchnemesisHeadhunter","[""lePassFourMeldingoftheFlesh""]",0,"","",382,406,"","","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
8,1,0,"",0,0,"BattlePassTwoRumisConcoction","[""Hateforge""]",0,"","",375,399,"","","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
9,1,2,"",285212672,0,"BattlePassTwoDeadReckoning","[""urHateforge""]",0,"","",376,400,"","","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
10,1,4,"",553648128,0,"BattlePassTwoHyrrisIre","[""䠀愀琀攀昀漀爀最攀""]",0,"","",377,401,"","","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
11,1,6,"",838860800,0,"BattlePassTwoDevouringDiadem","[""爀䠀愀琀攀昀漀爀最攀""]",0,"","",378,402,"","","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
12,1,9,"",1124073472,0,"BattlePassTwoVoidBattery","[""愀琀攀昀漀爀最攀""]",0,"","",379,403,"","","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
13,1,10,"",1409286144,0,"BattlePassTwoAshesoftheStars","[""甀爀䠀愀琀攀昀漀爀最攀""]",0,"","",380,404,"","","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
14,1,12,"",1677721600,0,"BattlePassTwoArakaalisFang","[""ourHateforge""]",0,"","",381,405,"","","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
15,1,14,"",1929379840,0,"BattlePassTwoMageblood","[""rHateforge""]",0,"","",382,406,"","","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
16,2,0,"",0,0,"BattlePassThreeDarknessEnthroned","[""rmonyBox""]",0,"","",375,399,"","","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
17,2,2,"",167772160,0,"BattlePassThreeColdIronPoint","[""onyBox""]",0,"","",376,400,"","","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
18,2,4,"",335544320,0,"BattlePassThreeKaruiTimelessJewel","[""礀䈀漀砀""]",0,"","",377,401,"","","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
19,2,6,"",503316480,0,"BattlePassThreeMagnaEclipsis","[""ox""]",0,"","",378,402,"","","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
20,2,8,"",671088640,0,"BattlePassThreeEternalTimelessJewel","[""䈀漀砀""]",0,"","",379,403,"","","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
21,2,10,"",838860800,0,"BattlePassThreeGravebind","[""漀砀""]",0,"","",380,404,"","","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
22,2,12,"",1006632960,0,"BattlePassThreeVaalTimelessJewel","[""nyBox""]",0,"","",381,405,"","","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
23,2,14,"",1174405120,0,"BattlePassThreeLegacyOfFury","[""Box""]",0,"","",382,406,"","","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
24,2,16,"",1342177280,0,"BattlePassThreeTemplarTimelessJewel","[""yBox""]",0,"","",1264,1268,"","","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
