0,"Metadata/NPC/Act1/Tarkleigh","Tarkleigh","Metadata/NPC/NPC",0,"","",[0],[1],"","","M"
1,"Metadata/NPC/Act1/Nessa","Nessa","Metadata/NPC/NPC",11,"","",[2],[3],"","","F"
2,"Metadata/NPC/Act1/Bestel","Bestel","Metadata/NPC/NPC",33,"","",[4],[],"","","M"
3,"Metadata/NPC/Act1/Doorman","Doorman","Metadata/NPC/NPC","","","",[],[],"","","M"
4,"Metadata/NPC/Act1/Fairgraves","Captain Fairgraves","Metadata/NPC/NPC","","","Fairgraves",[],[5],"","","M"
5,"Metadata/Monsters/Skeletons/SkeletonBossFairgraves","Captain Fairgraves","Metadata/Monsters/Skeletons/SkeletonBossEmerge","","","Fairgraves",[],[],"","","M"
6,"Metadata/NPC/Act1/WoundedExile","Dying Exile","Metadata/NPC/NPC","","","",[],[],"","","M"
7,"Metadata/NPC/Act1/Brutus","Brutus, the Warden","Metadata/NPC/NPC","","","Brutus",[],[],"","","M"
8,"Metadata/NPC/Act1/Merveil","Merveil","Metadata/NPC/NPC","","","",[],[],"","","F"
9,"Metadata/NPC/Act2/Eramir","Eramir","Metadata/NPC/NPC","","","",[6],[7],"","","M"
10,"Metadata/NPC/Act2/Yeena","Yeena","Metadata/NPC/NPC",12,"","",[8],[9],"","","F"
11,"Metadata/NPC/Act2/Greust","Greust","Metadata/NPC/NPC",1,"","",[10],[11],"","","M"
12,"Metadata/NPC/Act2/Silk","Silk","Metadata/NPC/NPC",34,"","",[12],[],"","","M"
13,"Metadata/Monsters/BanditLeaderInt/BanditLeaderAlira","Alira","Metadata/NPC/NPC","","","",[],[],"","","F"
14,"Metadata/Monsters/BanditLeaderDexInt/BanditLeaderKraityn","Kraityn","Metadata/NPC/NPC","","","",[],[],"","","M"
15,"Metadata/Monsters/BanditLeaderStrDex/BanditLeaderOak","Oak","Metadata/NPC/NPC","","","",[],[],"","","M"
16,"Metadata/NPC/Act3/Hargan","Hargan","Metadata/NPC/NPC",2,"","",[14],[15],"","","M"
17,"Metadata/NPC/Act3/Dialla","Lady Dialla","Metadata/NPC/NPC","","","Dialla",[16],[17],"","","F"
18,"Metadata/NPC/Act3/DiallaTower","Lady Dialla","Metadata/NPC/NPC","","","Dialla",[16],[],"","","F"
19,"Metadata/NPC/Act3/Maramoa","Maramoa","Metadata/NPC/NPC",35,"","",[18],[19],"","","F"
20,"Metadata/NPC/Act3/Grigor","Grigor","Metadata/NPC/NPC","","","",[20],[21],"","","M"
21,"Metadata/NPC/Act3/ClarissaTown","Clarissa","Metadata/NPC/NPC",13,"","",[22],[23],"","","F"
22,"Metadata/NPC/Act3/ClarissaSlums","Clarissa","Metadata/NPC/NPC","","","",[],[],"","","F"
23,"Metadata/NPC/Info/PrisonDiary","Shavronne's Journal","Metadata/NPC/Info/StoryGlyphBase","","","",[],[],"","",""
24,"Metadata/NPC/Act2/HelenaTown","Helena","Metadata/NPC/NPC","",3,"",[24],[25],"","","F"
25,"Metadata/NPC/Act2/HelenaSins","Helena","Metadata/NPC/NPC","",3,"",[],[],"","","F"
26,"Metadata/NPC/Act3/Siosa","Siosa","Metadata/NPC/NPC",31,"","",[26],[27],"","","M"
27,"Metadata/NPC/Act3/Fairgraves","Captain Fairgraves","Metadata/NPC/NPC","","","Fairgraves",[28],[],"","","M"
28,"Metadata/NPC/Piety","Piety","Metadata/NPC/NPC","","","",[],[],"","","F"
29,"Metadata/NPC/Gravicius","Gravicius","Metadata/NPC/NPC","","","",[],[],"","","M"
30,"Metadata/NPC/Dominus","Dominus","Metadata/NPC/NPC","","","",[],[],"","","M"
31,"Metadata/NPC/Act4/Kaom","King Kaom","Metadata/NPC/NPC","","","Kaom",[],[],"","","M"
32,"Metadata/NPC/Act4/Maligaro","Maligaro, the Inquisitor","Metadata/NPC/NPC","","","Maligaro",[],[],"","","M"
33,"Metadata/NPC/Act4/Shavronne","Shavronne","Metadata/NPC/NPC","","","",[],[],"","","F"
34,"Metadata/NPC/Act4/Malachai","Malachai","Metadata/NPC/NPC","","","",[],[],"","","M"
35,"Metadata/NPC/Act4/Daresso","Daresso","Metadata/NPC/NPC","","","",[],[],"","","M"
36,"Metadata/NPC/Oba","Oba","Metadata/NPC/NPC","","","",[],[],"","","M"
37,"Metadata/NPC/Info/ArteriLetter","Arteri's Letter","Metadata/NPC/Info/StoryGlyphBase","","","",[],[],"","",""
38,"Metadata/NPC/Info/BeachEncampmentNotes","Letters of Exile","Metadata/NPC/Info/StoryGlyphBase","","","",[],[],"","",""
