"rownum","Id","bool","bool","rid","[rid]","rid","rid","rid","[rid]","rid","rid","i32","bool","rid"
0,"Anarchy",1,1,16984,[1850],17025,13798,"","[2234,3256]",5451,"",10,"",1389
1,"Shrine",1,1,16985,[],17026,13795,"","[2455,9850,9849]",5612,"",10,"",""
2,"VaalSideArea",1,1,16986,[],13624,"",2313,[5826],"","",1,"",""
3,"Ambush",1,1,16987,[2521],17027,"","",[2454],5655,"",2,"",""
4,"Torment",1,1,16988,[2769],17028,13794,"","[2770,3257]",5578,"",10,"",""
5,"Essence",1,1,16989,[],17029,15511,"","[4869,5592]",5463,"",10,"",""
6,"Breach","",1,16150,[9277],13305,"",17058,"[5458,5591]",5457,"",3,"",""
7,"Abyss",1,"",16149,[9277],13740,"",17056,[6628],"","",10,"",""
8,"MasterMission",1,1,"",[2335],"","","",[4930],"","",1,"",""
9,"Bestiary",1,1,"",[2335],"","","",[],"","",1,"",""
10,"Incursion","",1,"",[2335],"","","",[],"","",1,"",""
11,"Delve","",1,"",[2335],"","","",[],"","",1,"",""
12,"Betrayal","",1,"",[2335],"","","",[],"","",1,"",""
13,"Legion","",1,16152,[],13517,"",17062,[9352],"","",1,"",""
14,"Blight","",1,16154,[],13654,15897,17057,[10051],"","",1,"",""
15,"Metamorph","",1,16153,[],13658,"",17063,[11456],"","",1,"",""
16,"Delirium","",1,16157,[],13646,"",17059,[12465],"","",1,"",""
17,"Harvest","",1,16148,[],13315,"",17061,[11790],"","",1,"",""
18,"Heist","",1,16156,[],13680,"",13619,"[13242,14148]","","",1,"",""
19,"Ritual","","",16155,[],14037,"",17064,[14036],"","",1,"",""
20,"Expedition","",1,16151,[],14730,"",17060,[14205],"","",1,"",""
21,"Sanctum","",1,"",[],"","","",[16978],"","",1,1,""
22,"Crucible","",1,"",[],"","","",[17706],"","",1,1,""
