"rownum","WorldAreasKey","ItemVisualIdentityKey","bool","MapsKey","FlavourTextKey","AtlasNodeKeys","Tier0","Tier1","Tier2","Tier3","Tier4","f32","f32","f32","f32","f32","DDSFile","bool","NotOnAtlas"
0,1141,7745,"",381,1989,"[35,103,32,1]",5,8,12,16,16,818.427,366.6,186,-28.27,-5.399,"","",""
1,1142,8888,"",381,1990,[0],5,8,12,16,16,796.203,374.098,44,11.112,-3.749,"Art/2DItems/Maps/Atlas2Maps/New/UniqueMaps/MaelstromOfChaos.dds","",""
2,1153,7734,"",390,2001,"[39,90,3]",1,4,8,12,16,555.605,423.461,109,9.678,-13.556,"",1,""
3,1154,9064,"",390,2002,[2],1,4,8,12,16,564.142,398.834,47,-4.268,12.314,"Art/2DItems/Maps/Atlas2Maps/New/UniqueMaps/OlmecsSanctum.dds","",""
4,1143,7742,"",382,1991,"[48,109,97,34,16,5]",4,7,11,15,16,644.077,373.445,209,1.693,9.749,"","",""
5,1144,11827,"",382,1992,[4],4,7,11,15,16,691.811,388.672,72,-23.867,-7.613,"Art/2DItems/Maps/Atlas2Maps/New/UniqueMaps/HallowedGround.dds","",""
6,1198,7750,"",426,2044,"[58,32,7]",7,10,14,16,16,798.298,285.225,112,-1.866,-1.929,"","",""
7,1199,8907,"",426,2045,[6],7,10,14,16,16,824.61,267.751,52,-13.156,8.737,"Art/2DItems/Maps/Atlas2Maps/New/UniqueMaps/TheCowardsTrial.dds","",""
8,1151,7714,"",389,1999,"[113,80,94,9]",2,5,9,13,16,375.885,442.036,185,-3.226,-10.737,"","",""
9,1152,12068,"",389,2000,[8],2,5,9,13,16,355.078,415.604,54,10.404,13.216,"Art/2DItems/Maps/Atlas2Maps/New/UniqueMaps/PillarsOfArun.dds","",""
10,1175,7828,"",406,2022,"[108,69,11]",4,7,11,15,16,210.445,413.85,173,1.81,-7.883,"","",""
11,1176,12066,"",406,2023,[10],4,7,11,15,16,172.416,380.973,72,19.015,16.439,"Art/2DItems/Maps/Atlas2Maps/New/UniqueMaps/TheTwilightTemple.dds","",""
12,1186,7751,"",415,2033,"[100,40,13]",12,15,16,16,16,775.822,155.17,115,-18.063,2.368,"","",""
13,1187,11826,"",415,2034,[12],12,15,16,16,16,802.291,168.784,50,-13.234,-6.807,"Art/2DItems/Maps/Atlas2Maps/New/UniqueMaps/ThePutridCloister.dds","",""
14,1222,7776,"",446,2067,"[63,56,79,77,15]",12,15,16,16,16,221.048,158.203,190,10.003,0.027,"","",""
15,1223,9218,"",446,2068,[14],12,15,16,16,16,176.947,162.79,67,22.252,-4.309,"Art/2DItems/Maps/Atlas2Maps/New/UniqueMaps/DeathAndTaxes.dds","",""
16,1215,7754,"",441,2060,"[39,72,17,4]",3,6,10,14,16,631.769,404.768,109,4.362,11.155,"","",""
17,1216,8950,"",441,2061,[16],3,6,10,14,16,656.698,425.594,53,-12.464,-10.413,"Art/2DItems/Maps/Atlas2Maps/New/UniqueMaps/ActonsNightmare.dds","",""
18,1170,7747,"",403,2018,"[83,71,68,75,19]",6,9,13,16,16,503.007,300.217,249,-11.451,-13.748,"","",""
19,1171,9000,"",403,2019,[18],6,9,13,16,16,515.197,275.206,48,-6.095,12.505,"Art/2DItems/Maps/Atlas2Maps/New/UniqueMaps/MaoKun.dds","",""
20,1113,7728,"",350,1961,"[52,66,103,21]",3,6,10,14,16,761.834,481.347,216,1.144,-29.671,"","",""
21,1114,9385,"",350,1962,[20],3,6,10,14,16,814.05,463.017,77,-26.108,9.165,"Art/2DItems/Maps/Atlas2Maps/New/UniqueMaps/WhakawairuaTuahu.dds","",""
22,1183,7757,"",413,2030,"[86,102,67,38,23]",14,16,16,16,16,463.093,111.757,349,-6.858,-5.605,"","",""
23,1184,8983,"",413,2031,[22],14,16,16,16,16,516.212,97.845,75,-25.552,7.561,"Art/2DItems/Maps/Atlas2Maps/New/UniqueMaps/PoorjoysAsylum.dds","",""
24,1145,7771,"",383,1993,"[63,61,59,43,25]",10,13,16,16,16,367.92,191.25,153,-3.542,-0.402,"","",""
25,1221,9004,"",383,2066,[24],10,13,16,16,16,365.957,171.756,40,0.982,9.747,"Art/2DItems/Maps/Atlas2Maps/New/UniqueMaps/ObasCursedTrove.dds","",""
26,1155,7764,"",391,2003,"[95,49,27]",15,16,16,16,16,768.255,96.76,104,-10.307,-6.522,"","",""
27,1156,11440,"",391,2004,[26],15,16,16,16,16,798.119,95.337,51,-14.932,0.712,"Art/2DItems/Maps/Atlas2Maps/New/UniqueMaps/CaerBlaiddWolfpacksDen.dds","",""
28,1163,7704,"",398,2011,"[113,33,96,94,29]",4,7,11,15,16,330.811,379.08,141,7.615,-6.371,"","",""
29,1164,7847,"",398,2012,[28],4,7,11,15,16,359.806,366.509,52,-14.497,6.285,"Art/2DItems/Maps/Atlas2Maps/New/UniqueMaps/VaultsOfAtziri.dds","",""
30,1167,7760,"",401,2015,"[52,35,103]",5,8,12,16,16,755.799,363.735,181,-2.988,8.615,"","",""
31,1125,7791,"",366,1973,"[46,86,100]",14,16,16,16,16,646.624,114.636,205,-5.805,-5.224,"","",""
32,1201,7755,"",428,2047,"[84,0,6]",6,9,13,16,16,801.605,324.315,143,-12.923,-8.308,"","",""
33,1119,7797,"",354,1967,"[88,65,89,28]",5,8,12,16,16,285.137,348.386,176,-8.556,2.751,"","",""
34,1159,7765,"",394,2007,"[50,42,4]",5,8,12,16,16,588.923,338.79,148,1.279,4.752,"","",""
35,1138,7729,"",378,1986,"[84,114,97,30,0]",6,9,13,16,16,722.361,318.505,221,6.238,11.332,"","",""
36,1259,7722,"",469,2092,"[78,94,112]",2,5,9,13,16,480.945,389.718,148,-23.313,1.105,"","",""
37,1185,7740,"",414,2032,"[39,72,66]",1,4,8,12,16,596.646,494.201,130,33.795,-28.874,"",1,""
38,1169,7738,"",402,2017,"[70,99,105,22]",15,16,16,16,16,341.336,96.483,300,31.092,2.54,"","",""
39,1220,7770,"",445,2065,"[37,48,2,16]",2,5,9,13,16,605.971,424.133,164,-12.895,0.434,"","",""
40,1207,7749,"",433,2053,"[51,104,101,12]",11,14,16,16,16,727.006,169.939,166,-8.631,2.244,"","",""
41,1124,7822,"",365,1972,"[51,58]",9,12,16,16,16,792.311,222.289,91,-18.817,1.624,"","",""
42,1235,7706,"",458,2080,"[83,71,114,97,34]",6,9,13,16,16,596.249,306.045,221,4.07,8.551,"","",""
43,1224,7724,"",447,2069,"[106,55,57,24]",9,12,16,16,16,312.204,228.411,200,12.792,-2.457,"","",""
44,1133,7823,"",373,1981,"[63,102,59,77]",12,15,16,16,16,360.173,144.944,172,-1.006,5.757,"","",""
45,1112,7837,"",349,1960,"[110,86,91]",12,15,16,16,16,560.946,144.777,155,8.323,1.749,"","",""
