0,"LegionMapDeviceAward","You have unlocked an additional item slot on the Map Device","Art/2DArt/UIImages/InGame/GenericRewardBackground",0,"Art/2DArt/UIImages/InGame/GenericRewardMapDevice5","Audio/Sound Effects/UI/Atlas/Upgrade.ogg"
1,"AtlasMissionKirac","Atlas Mission from Kirac Received","Art/2DArt/UIImages/InGame/AtlasMissionNotificationKirac",0,"","Audio/Sound Effects/UI/Atlas/Receive.ogg"
2,"AtlasMissionAlva","Atlas Mission from Alva Received","Art/2DArt/UIImages/InGame/AtlasMissionNotificationAlva",0,"","Audio/Sound Effects/UI/Atlas/Receive.ogg"
3,"AtlasMissionNiko","Atlas Mission from Niko Received","Art/2DArt/UIImages/InGame/AtlasMissionNotificationNiko",0,"","Audio/Sound Effects/UI/Atlas/Receive.ogg"
4,"AtlasMissionEinhar","Atlas Mission from Einhar Received","Art/2DArt/UIImages/InGame/AtlasMissionNotificationEinhar",0,"","Audio/Sound Effects/UI/Atlas/Receive.ogg"
5,"AtlasMissionJun","Atlas Mission from Jun Received","Art/2DArt/UIImages/InGame/AtlasMissionNotificationJun",0,"","Audio/Sound Effects/UI/Atlas/Receive.ogg"
6,"FavouredMapSlotUnlocked","Favoured Map Slot Unlocked","Art/2DArt/UIImages/InGame/UnlockedFavouredMapNotification",0,"Art/2DArt/UIImages/InGame/UnlockedFavouredMapHeader","Audio/Sound Effects/UI/Atlas/Citadel.ogg"
7,"HarvestCraftingBenchUnlocked","Horticrafting Station decoration now available in your Hideout","Art/2DArt/UIImages/InGame/GenericRewardBackground",0,"Art/2DArt/UIImages/InGame/HorticraftingDisplay","Audio/Sound Effects/UI/Atlas/Citadel.ogg"
8,"HarvestSeedStashUnlocked","Seed Stockpile decoration now available in your Hideout","Art/2DArt/UIImages/InGame/GenericRewardBackground",0,"Art/2DArt/UIImages/InGame/SeedStashDisplay","Audio/Sound Effects/UI/Atlas/Citadel.ogg"
9,"HeistStashUnlocked","Heist Locker decoration now available in your Hideout","Art/2DArt/UIImages/InGame/GenericRewardBackground",0,"Art/2DArt/UIImages/InGame/HeistStashDisplay","Audio/Sound Effects/UI/Atlas/Citadel.ogg"
10,"ExpeditionStashUnlocked","Expedition Locker decoration now available in your Hideout","Art/2DArt/UIImages/InGame/GenericRewardBackground",0,"Art/2DArt/UIImages/InGame/ExpeditionStashDisplay","Audio/Sound Effects/UI/Atlas/Citadel.ogg"
11,"FavouriteMapSlotUnlock1","Favoured Map Slot Unlocked","Art/2DArt/UIImages/InGame/UnlockedFavouredMapNotification",0,"Art/2DArt/UIImages/InGame/UnlockedFavouredMapHeader","Audio/Sound Effects/UI/Atlas/Citadel.ogg"
12,"FavouriteMapSlotUnlock2","Favoured Map Slot Unlocked","Art/2DArt/UIImages/InGame/UnlockedFavouredMapNotification",0,"Art/2DArt/UIImages/InGame/UnlockedFavouredMapHeader","Audio/Sound Effects/UI/Atlas/Citadel.ogg"
13,"FavouriteMapSlotUnlock3","Favoured Map Slot Unlocked","Art/2DArt/UIImages/InGame/UnlockedFavouredMapNotification",0,"Art/2DArt/UIImages/InGame/UnlockedFavouredMapHeader","Audio/Sound Effects/UI/Atlas/Citadel.ogg"
