"rownum","Id","i32","[rid]"
0,"absolution_blast",0,[5295]
1,"vaal_absolution_blast",0,[9160]
2,"flame_golem",-4,[8753]
3,"flame_golem",-3,[8720]
4,"flame_golem",-2,[7691]
5,"flame_golem",-1,[4192]
6,"flame_golem",0,[4191]
7,"flame_golem",1,[4193]
8,"flame_golem_monster",1,[4206]
9,"lightning_golem",-4,[8755]
10,"lightning_golem",-3,[8722]
11,"lightning_golem",-2,[7693]
12,"lightning_golem",-1,[4227]
13,"lightning_golem",0,[4222]
14,"lightning_golem",1,[4223]
15,"ice_golem_monster",1,[4181]
16,"ice_golem",-4,[8752]
17,"ice_golem",-3,[8719]
18,"ice_golem",-2,[7690]
19,"ice_golem",-1,[4179]
20,"ice_golem",0,[4177]
21,"ice_golem",1,[4178]
22,"stone_golem",-4,[8756]
23,"stone_golem",-3,[8723]
24,"stone_golem",-2,[7694]
25,"stone_golem",-1,[4473]
26,"stone_golem",0,[4472]
27,"chaos_golem_monster",1,[3975]
28,"chaos_golem",-4,[8754]
29,"chaos_golem",-3,[8721]
30,"chaos_golem",-2,[7692]
31,"chaos_golem",-1,[4220]
32,"chaos_golem",0,[4218]
33,"bone_golem",0,[7661]
34,"bone_golem",1,[8010]
35,"bone_golem",2,[8418]
36,"bone_golem",3,[8430]
37,"agony_crawler",0,[6737]
38,"agony_crawler",1,[6737]
39,"agony_crawler",2,[6737]
40,"agony_crawler",3,[6737]
41,"agony_crawler",4,[6737]
42,"agony_crawler",5,[6737]
43,"agony_crawler",6,[6737]
44,"agony_crawler",7,[6737]
45,"agony_crawler",8,[6737]
46,"agony_crawler",9,[6737]
47,"agony_crawler",10,[6905]
48,"agony_crawler",11,[6739]
49,"agony_crawler",12,[6738]
50,"agony_crawler",13,[7196]
51,"agony_crawler",14,[7350]
52,"agony_crawler",15,[7720]
53,"agony_crawler",16,[8008]
54,"agony_crawler",17,[8011]
55,"agony_crawler",18,[8230]
56,"agony_crawler",19,[8416]
57,"agony_crawler",20,[8462]
58,"purity_champion",0,[1311]
59,"purity_champion",1,[1311]
60,"purity_champion",2,[1311]
61,"purity_champion",3,[1311]
62,"purity_champion",4,[1311]
63,"purity_champion",5,[1311]
64,"purity_champion",6,[1311]
65,"purity_champion",7,[1311]
66,"purity_champion",8,[1311]
67,"purity_champion",9,[1311]
68,"purity_champion",10,[6906]
69,"purity_champion",11,[1313]
70,"purity_champion",12,[1314]
71,"purity_champion",13,[7197]
72,"purity_champion",14,[7351]
73,"purity_champion",15,[7721]
74,"purity_champion",16,[8009]
75,"purity_champion",17,[8012]
76,"purity_champion",18,[8231]
77,"purity_champion",19,[8417]
78,"purity_champion",20,[8463]
79,"tornado",0,[8803]
80,"tornado",1,[8996]
81,"triggered_summon_spider",0,[5287]
82,"triggered_summon_spider",1,[5288]
83,"raging_spirit",0,[3048]
84,"raging_spirit",1,[3049]
85,"raging_spirit",2,[3050]
86,"raging_spirit",3,[3051]
87,"raging_spirit",4,[3052]
88,"raging_spirit",5,[7670]
89,"raging_spirit",6,[3053]
90,"raging_spirit",7,[8634]
91,"raging_spirit",8,[8826]
92,"raging_spirit",9,[8827]
93,"raging_spirit",10,[9038]
94,"raging_spirit_monster",0,[3056]
95,"raging_spirit_monster",1,[3057]
96,"raging_spirit_monster",2,[3059]
97,"raging_spirit_monster",3,[3060]
98,"raging_spirit_monster",4,[3061]
99,"raging_spirit_monster",5,[7670]
100,"raging_spirit_monster",8,[8826]
101,"raging_spirit_monster",9,[8827]
102,"raging_spirit_monster",10,[9038]
103,"triggerbot",0,[7663]
104,"dominating_blow",0,[1310]
105,"dominating_blow",1,[8241]
106,"vaal_dominating_blow",0,[9161]
107,"vaal_dominating_blow",1,[9162]
108,"guardian_relic_fire",0,[6747]
109,"guardian_relic_cold",0,[6748]
110,"guardian_relic_lightning",0,[6749]
111,"radiant_sentinel",0,[1312]
