"rownum","Id","PosX","PosY","Order","SizeX","SizeY","bool","Tab","i32","IsDisabled","Subtab","FragmentItems","bool","string","i32"
0,"Metadata/Items/MapFragments/CurrencyVaalFragment1_1",220,74,0,1,1,"",0,70,"",0,[7263],"","",0
1,"Metadata/Items/MapFragments/CurrencyVaalFragment1_2",220,169,1,1,1,"",0,70,"",0,[7264],"","",0
2,"Metadata/Items/MapFragments/CurrencyVaalFragment1_3",122,169,2,1,1,"",0,70,"",0,[7265],"","",0
3,"Metadata/Items/MapFragments/CurrencyVaalFragment1_4",122,74,3,1,1,"",0,70,"",0,[7266],"","",0
4,"Metadata/Items/MapFragments/CurrencyVaalFragment2_1",744,74,4,1,1,"",0,70,"",0,[7268],"","",0
5,"Metadata/Items/MapFragments/CurrencyVaalFragment2_2",744,169,5,1,1,"",0,70,"",0,[7269],"","",0
6,"Metadata/Items/MapFragments/CurrencyVaalFragment2_3",647,169,6,1,1,"",0,70,"",0,[7270],"","",0
7,"Metadata/Items/MapFragments/CurrencyVaalFragment2_4",647,74,7,1,1,"",0,70,"",0,[7271],"","",0
8,"Metadata/Items/MapFragments/CurrencyProphecyFragment1",482,74,8,1,1,"",0,70,1,0,[7273],"","",0
9,"Metadata/Items/MapFragments/CurrencyProphecyFragment2",482,169,9,1,1,"",0,70,1,0,[7274],"","",0
10,"Metadata/Items/MapFragments/CurrencyProphecyFragment3",385,169,10,1,1,"",0,70,1,0,[7275],"","",0
11,"Metadata/Items/MapFragments/CurrencyProphecyFragment4",385,74,11,1,1,"",0,70,1,0,[7276],"","",0
12,"Metadata/Items/MapFragments/CurrencyShaperFragment1",482,697,12,1,1,"",0,70,"",0,[7278],"","",0
13,"Metadata/Items/MapFragments/CurrencyShaperFragment2",482,791,13,1,1,"",0,70,"",0,[7279],"","",0
14,"Metadata/Items/MapFragments/CurrencyShaperFragment3",385,791,14,1,1,"",0,70,"",0,[7280],"","",0
15,"Metadata/Items/MapFragments/CurrencyShaperFragment4",385,697,15,1,1,"",0,70,"",0,[7281],"","",0
16,"Metadata/Items/MapFragments/CurrencyFragmentPantheonFlask",122,584,16,1,1,"",0,70,"",0,[7298],"","",0
17,"Metadata/Items/MapFragments/CurrencyBreachFragmentFire",228,315,17,1,1,"",1,74,"",0,[7299],"","Art/2DArt/UIImages/InGame/MTX/FragmentTab/BreachFragmentsFireInvSlots",10
18,"Metadata/Items/MapFragments/CurrencyBreachFragmentCold",329,315,18,1,1,"",1,74,"",0,[7300],"","Art/2DArt/UIImages/InGame/MTX/FragmentTab/BreachFragmentsColdInvSlots",11
19,"Metadata/Items/MapFragments/CurrencyBreachFragmentLightning",430,315,19,1,1,"",1,74,"",0,[7301],"","Art/2DArt/UIImages/InGame/MTX/FragmentTab/BreachFragmentsLightningInvSlots",12
20,"Metadata/Items/MapFragments/CurrencyBreachFragmentPhysical",532,315,20,1,1,"",1,74,"",0,[7302],"","Art/2DArt/UIImages/InGame/MTX/FragmentTab/BreachFragmentsPhysicalInvSlots",13
21,"Metadata/Items/MapFragments/CurrencyBreachFragmentChaos",633,315,21,1,1,"",1,74,"",0,[7303],"","Art/2DArt/UIImages/InGame/MTX/FragmentTab/BreachFragmentsChaosInvSlots",14
22,"Metadata/Items/Currency/CurrencyBreachFireShard",228,197,22,1,1,1,1,74,"",0,[187],"","Art/2DArt/UIImages/InGame/MTX/FragmentTab/BreachShardFireInvSlots",5
23,"Metadata/Items/Currency/CurrencyBreachColdShard",329,197,23,1,1,1,1,74,"",0,[188],"","Art/2DArt/UIImages/InGame/MTX/FragmentTab/BreachShardColdInvSlots",6
24,"Metadata/Items/Currency/CurrencyBreachLightningShard",430,197,24,1,1,1,1,74,"",0,[189],"","Art/2DArt/UIImages/InGame/MTX/FragmentTab/BreachShardLightningInvSlots",7
25,"Metadata/Items/Currency/CurrencyBreachPhysicalShard",532,197,25,1,1,1,1,74,"",0,[190],"","Art/2DArt/UIImages/InGame/MTX/FragmentTab/BreachShardPhysicalInvSlots",8
26,"Metadata/Items/Currency/CurrencyBreachChaosShard",633,197,26,1,1,1,1,74,"",0,[191],"","Art/2DArt/UIImages/InGame/MTX/FragmentTab/BreachShardChaosInvSlots",9
27,"Metadata/Items/MapFragments/CurrencyOfferingToTheGoddess",247,584,27,1,1,"",0,70,"",0,[7335],"","",0
28,"Metadata/Items/Scarabs/ScarabBreach1",491,677,28,1,1,"",2,75,"",0,[9383],"","",0
29,"Metadata/Items/Scarabs/ScarabBreach2",592,677,29,1,1,"",2,75,"",0,[9384],"","",0
30,"Metadata/Items/Scarabs/ScarabBreach3",693,677,30,1,1,"",2,75,"",0,[9385],"","",0
31,"Metadata/Items/Scarabs/ScarabMaps1",491,287,31,1,1,"",2,75,"",0,[9387],"","",0
32,"Metadata/Items/Scarabs/ScarabMaps2",592,287,32,1,1,"",2,75,"",0,[9388],"","",0
33,"Metadata/Items/Scarabs/ScarabMaps3",693,287,33,1,1,"",2,75,"",0,[9389],"","",0
34,"Metadata/Items/Scarabs/ScarabUniques1",68,186,34,1,1,"",2,75,"",0,[9391],"","",0
35,"Metadata/Items/Scarabs/ScarabUniques2",169,186,35,1,1,"",2,75,"",0,[9392],"","",0
36,"Metadata/Items/Scarabs/ScarabUniques3",270,186,36,1,1,"",2,75,"",0,[9393],"","",0
37,"Metadata/Items/Scarabs/ScarabBeasts1",68,89,37,1,1,"",2,75,"",0,[9395],"","",0
38,"Metadata/Items/Scarabs/ScarabBeasts2",169,89,38,1,1,"",2,75,"",0,[9396],"","",0
39,"Metadata/Items/Scarabs/ScarabBeasts3",270,89,39,1,1,"",2,75,"",0,[9397],"","",0
40,"Metadata/Items/Scarabs/ScarabShaperRares1",491,89,40,1,1,"",2,75,"",0,[9403],"","",0
41,"Metadata/Items/Scarabs/ScarabShaperRares2",592,89,41,1,1,"",2,75,"",0,[9404],"","",0
42,"Metadata/Items/Scarabs/ScarabShaperRares3",693,89,42,1,1,"",2,75,"",0,[9405],"","",0
43,"Metadata/Items/Scarabs/ScarabElderRares1",491,482,43,1,1,"",2,75,"",0,[9407],"","",0
44,"Metadata/Items/Scarabs/ScarabElderRares2",592,482,44,1,1,"",2,75,"",0,[9408],"","",0
45,"Metadata/Items/Scarabs/ScarabElderRares3",693,482,45,1,1,"",2,75,"",0,[9409],"","",0
46,"Metadata/Items/Scarabs/ScarabSulphite1",68,382,46,1,1,"",2,75,"",0,[9411],"","",0
47,"Metadata/Items/Scarabs/ScarabSulphite2",169,382,47,1,1,"",2,75,"",0,[9412],"","",0
48,"Metadata/Items/Scarabs/ScarabSulphite3",270,382,48,1,1,"",2,75,"",0,[9413],"","",0
49,"Metadata/Items/Scarabs/ScarabDivinationCards1",491,579,49,1,1,"",2,75,"",0,[9415],"","",0
50,"Metadata/Items/Scarabs/ScarabDivinationCards2",592,579,50,1,1,"",2,75,"",0,[9416],"","",0
51,"Metadata/Items/Scarabs/ScarabDivinationCards3",693,579,51,1,1,"",2,75,"",0,[9417],"","",0
52,"Metadata/Items/Scarabs/ScarabTorment1",68,284,52,1,1,"",2,75,"",0,[9419],"","",0
53,"Metadata/Items/Scarabs/ScarabTorment2",169,284,53,1,1,"",2,75,"",0,[9420],"","",0
54,"Metadata/Items/Scarabs/ScarabTorment3",270,284,54,1,1,"",2,75,"",0,[9421],"","",0
55,"Metadata/Items/Scarabs/ScarabStrongbox1",68,675,55,1,1,"",2,75,"",0,[9423],"","",0
56,"Metadata/Items/Scarabs/ScarabStrongbox2",169,675,56,1,1,"",2,75,"",0,[9424],"","",0
57,"Metadata/Items/Scarabs/ScarabStrongbox3",270,675,57,1,1,"",2,75,"",0,[9425],"","",0
58,"Metadata/Items/Scarabs/ScarabHarbinger1",491,384,58,1,1,"",2,75,"",0,[9427],"","",0
59,"Metadata/Items/Scarabs/ScarabHarbinger2",592,384,59,1,1,"",2,75,"",0,[9428],"","",0
60,"Metadata/Items/Scarabs/ScarabHarbinger3",693,384,60,1,1,"",2,75,"",0,[9429],"","",0
61,"Metadata/Items/Scarabs/ScarabPerandus1",491,189,61,1,1,"",2,75,"",0,[9431],"","",0
62,"Metadata/Items/Scarabs/ScarabPerandus2",592,189,62,1,1,"",2,75,"",0,[9432],"","",0
63,"Metadata/Items/Scarabs/ScarabPerandus3",693,189,63,1,1,"",2,75,"",0,[9433],"","",0
64,"Metadata/Items/MapFragments/CurrencyLegionFragmentKarui",335,375,64,1,1,"",0,70,"",0,[7324],"","",0
65,"Metadata/Items/MapFragments/CurrencyLegionFragmentMaraketh",627,375,65,1,1,"",0,70,"",0,[7325],"","",0
66,"Metadata/Items/MapFragments/CurrencyLegionFragmentEternal",238,375,66,1,1,"",0,70,"",0,[7326],"","",0
67,"Metadata/Items/MapFragments/CurrencyLegionFragmentTemplar",530,375,67,1,1,"",0,70,"",0,[7327],"","",0
68,"Metadata/Items/MapFragments/CurrencyLegionFragmentVaal",433,375,68,1,1,"",0,70,"",0,[7328],"","",0
69,"Metadata/Items/Currency/CurrencyLegionKaruiShard",335,281,69,1,1,1,0,70,"",0,[197],"","",0
70,"Metadata/Items/Currency/CurrencyLegionMarakethShard",627,281,70,1,1,1,0,70,"",0,[198],"","",0
71,"Metadata/Items/Currency/CurrencyLegionEternalEmpireShard",238,281,71,1,1,1,0,70,"",0,[199],"","",0
72,"Metadata/Items/Currency/CurrencyLegionTemplarShard",530,281,72,1,1,1,0,70,"",0,[200],"","",0
73,"Metadata/Items/Currency/CurrencyLegionVaalShard",433,281,73,1,1,1,0,70,"",0,[201],"","",0
74,"Metadata/Items/Scarabs/ScarabLegion1",68,577,74,1,1,"",2,75,"",0,[9435],"","",0
75,"Metadata/Items/Scarabs/ScarabLegion2",169,577,75,1,1,"",2,75,"",0,[9436],"","",0
76,"Metadata/Items/Scarabs/ScarabLegion3",270,577,76,1,1,"",2,75,"",0,[9437],"","",0
77,"Metadata/Items/MapFragments/CurrencyElderFragment1",220,697,77,1,1,"",0,70,"",0,[7283],"","",0
78,"Metadata/Items/MapFragments/CurrencyElderFragment2",220,791,78,1,1,"",0,70,"",0,[7284],"","",0
79,"Metadata/Items/MapFragments/CurrencyElderFragment3",122,791,79,1,1,"",0,70,"",0,[7285],"","",0
80,"Metadata/Items/MapFragments/CurrencyElderFragment4",122,697,80,1,1,"",0,70,"",0,[7286],"","",0
81,"Metadata/Items/MapFragments/CurrencyUberElderFragment1",744,697,81,1,1,"",0,70,"",0,[7288],"","",0
82,"Metadata/Items/MapFragments/CurrencyUberElderFragment2",744,791,82,1,1,"",0,70,"",0,[7289],"","",0
83,"Metadata/Items/MapFragments/CurrencyUberElderFragment3",647,791,83,1,1,"",0,70,"",0,[7290],"","",0
84,"Metadata/Items/MapFragments/CurrencyUberElderFragment4",647,697,84,1,1,"",0,70,"",0,[7291],"","",0
85,"Metadata/Items/Scarabs/ScarabMetamorph1",68,479,85,1,1,"",2,75,"",0,[9439],"","",0
86,"Metadata/Items/Scarabs/ScarabMetamorph2",169,479,86,1,1,"",2,75,"",0,[9440],"","",0
87,"Metadata/Items/Scarabs/ScarabMetamorph3",270,479,87,1,1,"",2,75,"",0,[9441],"","",0
88,"Metadata/Items/MapFragments/CurrencyMavenKey",744,420,88,1,1,"",0,70,"",0,[9763],"","",0
89,"Metadata/Items/MapFragments/CurrencyMavenKeyFragment",744,326,89,1,1,"",0,70,"",0,[9764],"","",0
90,"Metadata/Items/MapFragments/CurrencyBreachFragmentFire2",228,433,90,1,1,"",1,74,"",0,[7304],1,"Art/2DArt/UIImages/InGame/MTX/FragmentTab/XophsChargedBreachstoneInvSlots",15
91,"Metadata/Items/MapFragments/CurrencyBreachFragmentFire3",228,551,91,1,1,"",1,74,"",0,[7309],1,"Art/2DArt/UIImages/InGame/MTX/FragmentTab/XophsEnrichedBreachstoneInvSlots",20
92,"Metadata/Items/MapFragments/CurrencyBreachFragmentFire4",228,668,92,1,1,"",1,74,"",0,[7314],1,"Art/2DArt/UIImages/InGame/MTX/FragmentTab/XophsPureBreachstoneInvSlots",25
93,"Metadata/Items/MapFragments/CurrencyBreachFragmentCold2",329,433,93,1,1,"",1,74,"",0,[7305],1,"Art/2DArt/UIImages/InGame/MTX/FragmentTab/TulsChargedBreachstoneInvSlots",16
94,"Metadata/Items/MapFragments/CurrencyBreachFragmentCold3",329,551,94,1,1,"",1,74,"",0,[7310],1,"Art/2DArt/UIImages/InGame/MTX/FragmentTab/TulsEnrichedBreachstoneInvSlots",21
95,"Metadata/Items/MapFragments/CurrencyBreachFragmentCold4",329,668,95,1,1,"",1,74,"",0,[7315],1,"Art/2DArt/UIImages/InGame/MTX/FragmentTab/TulsPureBreachstoneInvSlots",26
96,"Metadata/Items/MapFragments/CurrencyBreachFragmentLightning2",430,433,96,1,1,"",1,74,"",0,[7306],1,"Art/2DArt/UIImages/InGame/MTX/FragmentTab/EshsChargedBreachstoneInvSlots",17
97,"Metadata/Items/MapFragments/CurrencyBreachFragmentLightning3",430,551,97,1,1,"",1,74,"",0,[7311],1,"Art/2DArt/UIImages/InGame/MTX/FragmentTab/EshsEnrichedBreachstoneInvSlots",22
98,"Metadata/Items/MapFragments/CurrencyBreachFragmentLightning4",430,668,98,1,1,"",1,74,"",0,[7316],1,"Art/2DArt/UIImages/InGame/MTX/FragmentTab/EshsPureBreachstoneInvSlots",27
99,"Metadata/Items/MapFragments/CurrencyBreachFragmentPhysical2",532,433,99,1,1,"",1,74,"",0,[7307],1,"Art/2DArt/UIImages/InGame/MTX/FragmentTab/UulNetolsChargedBreachstoneInvSlots",18
100,"Metadata/Items/MapFragments/CurrencyBreachFragmentPhysical3",532,551,100,1,1,"",1,74,"",0,[7312],1,"Art/2DArt/UIImages/InGame/MTX/FragmentTab/UulNetolsEnrichedBreachstoneInvSlots",23
