"rownum","Id","PositionX","PositionY","Waypoint_WorldAreasKey","WorldAreasKeys","Name (English)","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","FlavourText (English)","FlavourText (French)","FlavourText (German)","FlavourText (Japanese)","FlavourText (Korean)","FlavourText (Portuguese)","FlavourText (Russian)","FlavourText (Spanish)","FlavourText (Thai)","FlavourText (Traditional Chinese)","[i32]","Act","string","[i32]","i32","i32","i32","i32","rid"
0,"1_town",264,405,4,[4],"Lioneye's Watch","Le Guet d'Œil de Lion","Löwenauges Wacht","ライオンアイの見張り場","라이온아이 초소","Vigília de Lioneye","Застава Львиного глаза","La Vigilancia de Lioneye","หอสังเกตการณ์ไลออนอาย","獅眼守望","Cold, dank and reeking of infection. That's how Hope fares in Wraeclast.","Froid, détrempé, et pestilentiel : tel est le sort de l'espoir à Wraeclast.","Kalt, feucht, nach Krankheit stinkend. So präsentiert sich Hoffnung in Wraeclast.","暗くて冷たくて、感染症の臭いがする。これがレイクラストにおける希望の在り方。","추위, 습기, 잦은 전염병. 레이클라스트에서 희망을 품은 대가입니다.","Frio, umidade e cheiro de infecção. É assim que a Esperança passa por Wraeclast.","Холод, сырость, вонь воспаленных ран.  Такова цена надежды на Рэкласте.","Fría, húmeda y apestando a infección. Así es como termina la Esperanza en Wraeclast.","หนาวเย็น เปียกชื้น เหม็นคลุ้ง​ไป​ด้วย​เชื้อโรค\r\nความหวัง​ก็​เป็น​เช่น​นี้​ใน​เวร์แคลส์ท","寒冷、潮濕和疾病的惡臭...這就是在\r\n 瓦爾克拉斯抱持希望的代價。",[123],1,"1_town",[124],-16843010,-16843010,-16843010,-16843010,""
1,"1_1",244,486,"",[5],"The Twilight Strand","Le Rivage du crépuscule","Die Zwielichtküste","黄昏の岸辺","황혼의 해안","Costa do Crepúsculo","Сумрачное взморье","El Litoral Crepuscular","ชายฝั่งสนธยา","絕望岩灘","Hope was drowned here.","C'est ici qu'a sombré l'espoir.","Die Hoffnung wurde hier ertränkt.","希望はここで溺れた。","희망이 물에 잠기고 말았습니다.","A Esperança morreu afogada aqui.","Берег утонувшей надежды.","Aquí se ahogó a la Esperanza.","ความหวัง​จม​หาย​ไป​ใน​ที่​แห่ง​นี้","希望...在這裡沉淪。",[],1,"1_1",[123],-16843010,-16843010,-16843010,-16843010,""
2,"1_2",285,346,6,[6],"The Coast","La Côte","Die Küste","海岸","해안 지대","A Costa","Побережье","La Costa","ชายหาดริมฝั่ง","暮光海灘","The cliffs echo the hungry madness.","Les falaises se font l'écho d'un délire famélique.","Von den Klippen hallt der hungernde Wahnsinn.","絶壁に飢えた狂気が響き渡る。","피에 굶주린 광기가 절벽에 울려 퍼집니다.","Os penhascos ecoam a loucura voraz.","Эхо вторит крикам голодных безумцев.","Las pendientes hacen eco de la hambrienta locura.","หน้าผา​สะท้อน​ความ​หิวโหย​อัน​บ้าคลั่ง","峭壁裏的回音，迴盪著飢餓的瘋狂。","[44,0]",1,"1_2",[125],-16843010,-16843010,-16843010,-16843010,""
3,"1_2a",325,375,"",[7],"The Tidal Island","La Presqu'île","Die Gezeiteninsel","陸続きの島","물결 섬","Ilha da Maré","Прибрежный остров","La Isla de la Marea","เกาะชายทะเล","海潮孤島","Despite the warming sun, the breeze here bites with fangs of ice.","Le soleil chaleureux ne suffit pas à museler la brise mordante.","Trotz wärmender Sonne beißt der Wind eisig ins Gesicht.","暖かい日差しにも関わらず、ここの風は氷の牙で噛みついてくる。","따스한 해가 떠 있지만, 이곳에는 쓰라린 냉기를 담은 바람이 몰아칩니다.","Apesar do calor do sol, a brisa aqui mordisca com presas de gelo.","Солнце не спасает от колючего, холодного ветра.","A pesar del cálido sol, la brisa aquí te cala hasta los huesos.","แม้ว่า​แสงอาทิตย์​จะ​อบอุ่น\r\nแต่​สายลม​ที่​นี่​เหน็บหนาว​ดั่ง​คมเขี้ยว​น้ำแข็ง","儘管陽光溫暖，凜冽的寒風\r\n 卻如同冰霜之牙一般撕咬著你的肌膚。","[44,0]",1,"1_2a",[126],-16843010,-16843010,-16843010,-16843010,""
4,"1_3",314,300,"",[8],"The Mud Flats","La Vasière","Die Morastebenen","ぬかるみの干潟","갯벌","O Lamaçal","Илистые низины","Las Marismas Embarradas","ที่ราบดินโคลน","炙熱鹽沼","Mud and air seethes with warped life.","La vase et l'atmosphère y bouillonnent d'une vie pervertie.","Luft und Schlamm sind erfüllt mit verderbtem Leben.","泥と空気が、歪んだ命で沸き立っている。","진흙밭과 하늘이 기괴한 생명체로 가득합니다.","A lama e o ar fervilham com a vida deformada.","Здешние лужи и воздух наполняет осквернённая жизнь.","El barro y el aire bullen de vida distorsionada.","โคลน​และ​อากาศ\r\nเต็ม​ไป​ด้วย​สิ่ง​มี​ชีวิต​บิดเบี้ยว","泥漿、空氣與扭曲的生命一起沸騰著。",[125],1,"1_3",[30],-16843010,-16843010,-16843010,-16843010,""
5,"1_3a",283,231,"",[9],"The Fetid Pool","L'Étang fétide","Der Fäulnistümpel","悪臭を放つ池","악취 나는 웅덩이","Lagoa Fétida","Смрадная заводь","La Charca Fétida","หนองน้ำเน่าเหม็น","惡水池","Sluggish waters simmering with decay.","Des eaux poisseuses bruissant de putréfaction.","Träges Wasser, schwelend vor Verwesung.","淀んだ水が腐敗で煮込まれている。","썩은 물이 서서히 흐르며 끓어오릅니다.","Águas vagarosas fervendo em podridão.","От стоячих вод поднимается вонь разложения.","Aguas perezosas fermentándose en putrefacción.","น้ำ​เอื่อยๆ แฝง​ไป​ด้วย​ของ​เน่า​เสีย","緩緩流動的池水醞釀著衰敗，看不見\r\n 但它依舊存在。","[224,0]",1,"1_3a",[127],-16843010,-16843010,-16843010,-16843010,""
6,"1_4_0",426,279,"",[10],"The Flooded Depths","Les Tréfonds inondés","Die überschwemmten Tiefen","冠水した淵","물에 잠긴 심연","Profundezas Inundadas","Залитый провал","Las Profundidades Inundadas","เบื้องลึกท่วมน้ำ","水聲之淵","Darkness chilled into stillness.","Des ténèbres figées par le froid.","Dunkelheit zu Stille gefroren.","闇が静寂に包まれた。","싸늘한 어둠 속에 정적이 흐릅니다.","A escuridão congelando à inanição.","Темнота обволакивает ледяные камни.","La oscuridad aterrada hasta la inmovilidad.","ความมืด​ที่​เหน็บหนาว​จน​แน่นิ่ง","黑暗凍成寂靜。","[113,0]",1,"1_4_0",[128],-16843010,-16843010,-16843010,-16843010,""
7,"1_4",371,247,11,[11],"The Submerged Passage","Le Souterrain submergé","Die Unterwasserpassage","海底通路","물에 잠긴 길","Passagem Submersa","Сырой проход","El Pasaje Sumergido","ทางเดินจมน้ำ​","海潮地穴","Slime, shadow, and sharp sharp teeth.","Vase, prénombre, et des dents plus qu'acérées.","Schleim, Schatten und messerscharfe Zähne.","粘液、影、鋭い鋭い牙。","점액, 그림자, 날카롭기 그지없는 이빨.","Lodo, sombras e dentes muito afiados.","Слизь, темень и много острых зубов.","Limo, sombras, y dientes muy, muy afilados.","น้ำเมือก เงามืด และ​เขี้ยว​คม​แสน​คม","煤泥、陰影和尖銳鋒利的牙齒。","[113,0,0]",1,"1_4",[27],-16843010,-16843010,-16843010,-16843010,""
8,"1_5",419,211,12,[12],"The Ledge","La Corniche","Der Felsvorsprung","岩棚","바위 턱","O Desfiladeiro","Утёс","El Saliente","เชิงผา","沉寂海崖","Dusty winds laden with the scent of bone, old and otherwise.","Des vents poussiéreux chargés des odeurs d'ossements ancestraux et présents.","Staubiger Wind, beladen mit dem Gestank von Alter, Knochen und anderem.","新古入り混じる骨の臭いを、埃っぽい風が運ぶ。","먼지바람에서 유골을 비롯한 오래된 물건의 냄새가 납니다.","Ventos empoeirados carregam o cheiro de ossos, velhos ou não.","Пыльный ветер несет запах старых и свежих костей.","Vientos llenos de polvo cargados con el olor de los huesos, viejos y algo más.","ลม​ฝุ่น​เคล้า​กลิ่น​เถ้า​กระดูก\r\nทั้ง​เก่า​และ​ใหม่","塵土飛揚挾帶著骨頭、衰老和一些神秘的氣味。","[27,0]",1,"1_5",[3],-16843010,-16843010,-16843010,-16843010,""
9,"1_6",324,161,13,[13],"The Climb","La Montée","Der Anstieg","険しい山道","고개","A Escalada","Склон","El Ascenso","ทางขึ้นผา","碎岩山坡","The cliffs glower down like judges in session.","Les falaises vous toisent tels des juges en séance.","Klippen, die wie gestrenge Richter finster in die Tiefe starren.","公判中の裁判官のように崖が睨みを利かせている。","절벽이 법정의 재판관처럼 아래를 노려봅니다.","Os penhascos olham ameaçadoramente como juízes num tribunal.","Вершины смотрят вниз как мрачные судьи.","Las pendientes se ciernen de forma amenazante como jueces en sesión.","หน้าผา​จ้องมองดั่ง​ผู้พิพากษา​ใน​ชั้น​ศาล","懸崖向下怒視宛如審判庭上的大法官。","[4,0,0]",1,"1_6",[129],-16843010,-16843010,-16843010,-16843010,""
10,"1_7",305,68,14,"[14,15]","The Prison","La Prison","Das Gefängnis","監獄","수용소","A Prisão","Тюрьма","La Prisión","เรือนจำ","禁靈之獄","The air is rich with despair and apparition.","L'atmosphère regorge de désespoir et d'apparitions.","Die Luft ist angereichert mit Verzweiflung \r\nund geisterhaften Erscheinungen.","空気が絶望と幻影に満たされている。","절망적인 분위기와 망령이 만연한 곳입니다.","O ar é rico em desesperos e aparições.","Спертый воздух отчаяния и безнадежности.","El aire está lleno de desesperación y espectros.","อากาศ​เต็ม​ไป​ด้วย​ความ​สิ้นหวัง​และ​ภูติ​ผี","空氣中充滿著絕望與幻象。","[4,0,0]",1,"1_7",[130],-16843010,-16843010,-16843010,-16843010,""
11,"1_8",385,68,16,[16],"Prisoner's Gate","La Porte du Prisonnier","Gefangenenpforte","囚人の門","죄수의 문","Portões da Prisão","Врата заключённых","La Puerta del Prisionero","ทางผ่านนักโทษ","監獄大門","The cliffs watch with goatish eyes.","Des yeux caprins observent le long des falaises.","Die Klippen starren mich mit lüsternen Augen an.","ヤギのような目で崖が見ている。","절벽이 염소 같은 눈으로 감시합니다.","Os penhascos observam com olhos caprinos.","Крутые склоны усеяны козлобородыми.","Las pendientes observan con ojos llenos de lujuria.","หน้าผา​จับจ้อง​ด้วย​ดวงตา​เปี่ยม​กิเลส","峭壁用它的死羊眼盯著你看，看到你\r\n 心裡發寒。","[130,0]",1,"1_8",[26],-16843010,-16843010,-16843010,-16843010,""
12,"1_9",480,158,17,[17],"The Ship Graveyard","Le Cimetière des navires","Der Schiffsfriedhof","船の墓場","배들의 묘지","Necrópole de Navios","Кладбище кораблей","El Cementerio de Barcos","สุสานเรือล่ม","魅影船墓","Whispered agonies of the marooned dead.","Les murmures d'agonie de carcasses échouées s'y font entendre.","Geflüsterte Seelenpein ausgesetzter Toter.","置き去りにされた死体の苦痛が囁かれている。","버려진 망자들이 속삭이는 괴로움.","Agonias sussurradas dos mortos ilhados.","Всюду слышен шепот умерших.","Agonías susurradas de los muertos abandonados.","แว่ว​เสียง​กระซิบ​ทรมาน​ของ​ศพ​ติด​เกาะ","呢喃低語著被放逐而死的辛酸。",[26],1,"1_9",[33],-16843010,-16843010,-16843010,-16843010,""
13,"1_9a",470,107,"",[18],"The Ship Graveyard Cave","La Grotte du cimetière des navires","Die Schiffsfriedhofshöhle","船の墓場の洞窟","배들의 묘지 동굴","Caverna da Necrópole de Navios","Грот погибших кораблей","La Cueva del Cementerio de Barcos","ถ้ำสุสานเรือล่ม","魅影船墓洞穴","A corpse's throat, exhaling death.","La gorge d'un cadavre dans son dernier soupir.","Die Kehle eines Leichnams, den Tod ausdünstend.","死を吐き出す、死体の喉。","죽음이 새어 나오는 시체의 목구멍.","A garganta de um cadáver exalando morte.","Этот каменный рот полон смерти.","La garganta de un cadáver exhalando muerte.","คอ​ของ​ศพ ปล่อย​ลม​หายใจ​เป็น​ความ​ตาย","從那屍體的咽喉，呼出了死亡氣息。",[33],1,"1_9a",[131],-16843010,-16843010,-16843010,-16843010,""
14,"1_11",626,117,19,"[19,20]","Merveil's Caverns","Les Cavernes de Merveil","Merveils Kavernen","マーヴェイルの洞窟","머베일의 암굴","Cavernas de Merveil","Пещеры Мервейл","Las Cavernas de Merveil","ถ้ำของเมอร์เวล","怨忿之窟","The air needles the skin with its frigid fury.","L'air cingle la peau de sa fureur glaciale.","Die Luft beißt mit eisigem Zorn in die Haut.","冷たく怒る空気が肌を刺す。","피부가 따가울 정도로 차가운 분노가 느껴집니다.","O ar alfineta a pele com sua fúria frígida.","Стылый ветер яростно грызет кожу.","El aire corta la piel con su frígida furia.","อากาศ​ทิ่มแทง​ผิว​ด้วย​ความ​หนาวเหน็บ","大氣中的霜寒之怒化為細針，不斷的\r\n 刺在皮膚上。","[8,0]",1,"1_11",[132],-16843010,-16843010,-16843010,-16843010,""
15,"1_fake_act2",580,-25,"",[],"Act 2","Acte 2","Akt 2","第2章","2장","Ato 2","Акт 2","Acto 2","Act 2","第二章","DEV NOTE: Off map pip for Way Forward quest","NOTE DÉVELOPPEURS : Off map pip for Way Forward quest","DEV NOTE: Off map pip for Way Forward quest","DEV NOTE: クエスト「先への道」用のオフマップの種","DEV NOTE: Off map pip for Way Forward quest","NOTA DO DESENVOLVEDOR: Caminho fora do mapa para a missão Caminho Adiante","ПРИМ. РАЗРАБОТЧИКА: метка вне карты для задания \""Путь вперед\""","DEV NOTE: Off map pip for Way Forward quest","DEV NOTE: Off map pip for Way Forward quest","DEV NOTE: Off map pip for Way Forward quest",[132],1,"",[71],-16843010,-16843010,-16843010,-16843010,""
16,"1_fake_road",365,-25,"",[],"Act 2","Acte 2","Akt 2","第2章","2장","Ato 2","Акт 2","Acto 2","Act 2","第二章","DEV NOTE: Off map pip for Way Forward quest","NOTE DÉVELOPPEURS : Off map pip for Way Forward quest","DEV NOTE: Off map pip for Way Forward quest","DEV NOTE: クエスト「先への道」用のオフマップの種","DEV NOTE: Off map pip for Way Forward quest","NOTA DO DESENVOLVEDOR: Caminho fora do mapa para a missão Caminho Adiante","ПРИМ. РАЗРАБОТЧИКА: метка вне карты для задания \""Путь вперед\""","DEV NOTE: Off map pip for Way Forward quest","DEV NOTE: Off map pip for Way Forward quest","DEV NOTE: Off map pip for Way Forward quest","[26,0]",1,"",[71],-16843010,-16843010,-16843010,-16843010,""
17,"2_town",528,313,21,[21],"The Forest Encampment","Le Campement de la forêt","Das Waldlager","森の野営地","숲 야영지","Acampamento da Floresta","Лесной лагерь","El Campamento Forestal","ค่ายพงไพร","森林營地","A remnant of civility in the wild.","Un vestige de civilisation au milieu de la nature sauvage.","Ein Rest Anstand in der Wildnis.","野生の中の礼節の名残。","야생에 남은 인간성의 발자취.","Um resquício de civilidade na selva.","Островок цивилизации в глуши.","Un remanente de civilización en medio de lo salvaje.","เศษเดน​​อารยธรรม​ใน​ป่ากว้าง","一個僅存的野外文明遺跡。",[10],2,"2_town",[133],-16843010,-16843010,-16843010,-16843010,""
18,"2_1",574,400,22,[22],"The Southern Forest","La Forêt méridionale","Der Südwald","南の森","남쪽 숲","A Floresta do Sul","Южный лес","El Bosque del Sur","ป่าใต้","南部森林","Lush and humid, sweating violence.","Moite, luxuriante, et exsudant la violence.","Üppig und feucht, Gewalt ausdünstend.","繁茂し高湿度、汗ばむ暴力。","우거지고 습한 장소. 폭력으로 얼룩지다.","Violência transpirante, úmida e luxuriante.","Обилие жизни, буйство красок и насилия.","Violencia exhuberante, húmeda y sudorosa.","เขียวขจี​และ​เปียก​ชื้น\r\nคาย​น้ำ​ออก​มา​เป็น​ความ​รุนแรง","既茂密又潮濕，滲出些許暴力的氣息。",[],2,"2_1",[10],-16843010,-16843010,-16843010,-16843010,""
19,"2_2",574,267,"",[23],"The Old Fields","Les Prés ancestraux","Die alten Felder","荒廃農地","버려진 경작지","Campos Antigos","Старые поля","Los Campos Viejos","ทุ่งเก่าแก่","前哨原野","Sick pastures, feverish to the touch.","Des pâturages maladifs, fébriles au toucher.","Brache Weideflächen, die sich der Hitze beugen.","病んだ牧草地、熱っぽい肌触り。","병자와 같이 축 늘어져, 펄펄 끓는 목초지.","Pastos doentes e febris.","Заброшенные пастбища поражены болезнью.","Pasturas enfermas, febriles al tacto.","ทุ่งหญ้า​ที่​เต็ม​ไป​ด้วย​ความ​เจ็บป่วย\r\nเพียง​สัมผัส​ก็​ร้อนรุ่ม","病懨懨的荒野，帶著灼熱的觸感。","[53,0,0,0,20,0]",2,"2_2",[134],-16843010,-16843010,-16843010,-16843010,""
20,"2_2a",530,218,"",[24],"The Den","La Tanière","Die Höhle","獣の巣","굴","A Gruta","Берлога","La Madriguera","ถ้ำสัตว์","獸穴","Hot and sour as the panting of a rabid bear.","Chaude et âcre, tel le souffle d'un ours enragé.","Heiß und säuerlich, gleich dem Schnaufen eines tollwütigen Bären.","荒熊の喘鳴のように熱くて酸っぱい。","난폭한 곰의 숨결같이 뜨겁고 시큼한 공기.","Quente e amargo como o arquejo do urso raivoso.","Воздух пышет жаром и гнилью, как из пасти бешеного медведя.","Caliente y amargo como el jadeo de un oso rabioso.","ร้อน​และ​เหม็น​เปรี้ยว\r\nเฉก​เช่น​ลมหายใจ​หอบ​ของ​หมี​คลั่ง","又熱又酸如同瘋熊的喘息一般。","[136,0]",2,"2_2a",[135],-16843010,-16843010,-16843010,-16843010,""
21,"2_3",615,196,25,[25],"The Crossroads","La Croisée des chemins","Die Wegkreuzung","十字路","갈림길","A Encruzilhada","Перекрёсток","La Encrucijada","ทางแพร่ง","危機叉路","Life struggles where once it bloomed.","La vie subsiste péniblement là où elle s'épanouissait jadis.","Das Leben müht sich, wo es einst erblühte.","かつて咲いた場所で、命がもがく。","한때 번영했던 곳. 삶에 허덕이는 모습만이 남았습니다.","A vida penúria onde já floresceu.","Перекрёсток полон суеты и борьбы за жизнь.","La vida lucha donde alguna vez floreció.","ชีวิต​ดิ้นรน​ใน​ถิ่นที่​เคย​เบ่ง​บาน","生命從綻放盛開的那刻起便開始無止\r\n 盡的掙扎。","[134,0,0,0,97,0]",2,"2_3",[136],-16843010,-16843010,-16843010,-16843010,""
22,"2_5",745,275,26,"[26,27]","The Crypt","La Crypte","Die Krypta","地下聖堂","지하실","A Cripta","Склеп","La Cripta","สุสาน","靜謐陵墓","Stones worn smooth by centuries of devotion.","Des pierres lissées par des siècles de dévotion.","Steine, abgenutzt von Jahrhunderten der Hingabe.","何世紀もの献身により石が滑らかに磨かれている。","세기에 걸친 치성으로 매끈해진 석재가 돋보입니다.","Pedras suavizadas por séculos de devoção.","За века служения камни были отполированы до блеска.","Las Piedras se han vuelto lisas luego de siglos de devoción.","หิน​สึก​จน​ราบเรียบ\r\nด้วย​ความเลื่อมใส​นาน​นับ​ศตวรรษ","數百年的獻祭將石頭磨的光滑。","[96,0]",2,"2_5",[138],-16843010,-16843010,-16843010,-16843010,""
23,"2_6",540,122,28,"[28,29]","The Chamber of Sins","La Chambre des péchés","Die Kammer der Sünden","罪の間","죄악의 방","Câmara dos Pecados","Обитель грехов","El Aposento de Pecados","โถงแห่งบาป","罪孽之殿","Phantom whispers of maniacal passion.","Les soupirs illusoires d'une passion hystérique.","Phantome flüstern in wahnsinniger Leidenschaft.","狂わしいほど情熱的に幻影が囁く。","어느 것에 목매여 있던 한 혼령의 속삭임이 들려옵니다.","Sussurros fantasmas de uma paixão maníaca.","В призрачном шепоте слышна маниакальная страсть.","Susurros fantasmales de maníaca pasión.","เสียง​กระซิบ​ลี้ลับ​ของ​ผู้​บ้าคลั่ง","幻影呢喃著狂亂的激情。","[97,0]",2,"2_6",[101],-16843010,-16843010,-16843010,-16843010,""
24,"2_4",641,121,30,[30],"The Broken Bridge","Le Pont brisé","Die zerstörte Brücke","壊れた橋","부서진 다리","Ponte Quebrada","Разрушенный мост","El Puente Destrozado","สะพานหัก","河畔斷橋","A pure, soothing river once red and clogged with the victims of war.","Une rivière pure et apaisante, jadis rouge et engorgée des victimes de la guerre.","Ein sauberer, säuselnder Fluss, einst rot und überquellend von Kriegsopfern.","かつて戦争の犠牲者たちで赤く染まった、清く心地よい川。","한때 전사자의 붉은 피로 물들었던 강. 지금은 맑고 쾌청한 상태입니다.","Um rio puro e plácido que já esteve vermelho e cheio com as vítimas de guerra.","Некогда чистая и полноводная, река окрашена кровью множества жертв войны.","Un puro y relajante río, que una vez estuvo rojo y cubierto con las víctimas de la guerra.","แม่น้ำ​อัน​เงียบสงบ​และ​บริสุทธิ์\r\nที่​ครั้งหนึ่ง​เคย​เป็น​สีแดง\r\nอุดตัน​ไป​ด้วย​เหยื่อ​สงคราม","一條看似平緩的河流，曾被戰爭犧牲者的屍體所堵塞染紅。","[53,0,0,0]",2,"2_4",[137],-16843010,-16843010,-16843010,-16843010,""
25,"2_7",411,340,31,[31],"The Riverways","Les Cours d'eau","Die Flussläufe","川沿いの道","강변길","Caminhos Fluviais","Пойма реки","Las Vías del Río","ทางแม่น้ำ","河道","Once tamed rivers now running free.","Des rivières autrefois domptées, désormais libres de s'écouler.","Einst gebändigte Flüsse können nun frei fließen.","かつて飼い慣らされたいた川が、今は自由に流れている。","물길을 들였던 강. 지금은 유유히 흐르고 있습니다.","Os rios que já foram domados hoje correm livres.","Некогда прирученная река вырвалась на волю.","Ríos que fueron domados pero ahora fluyen libres.","แม่น้ำ​ที่​ถูก​กำราบ​ใน​อดีต\r\nบัดนี้​ได้​หลั่งไหล​อย่าง​เสรี","曾被馴服的河流，現正自由的奔流著。","[53,0,0,0,19]",2,"2_7",[139],-16843010,-16843010,-16843010,-16843010,""
26,"2_8",259,183,32,[32],"The Northern Forest","La Forêt septentrionale","Der Nordwald","北の森","북쪽 숲","Floresta do Norte","Северный лес","El Bosque del Norte","ป่าเหนือ","北部密林","Daylight is the exile here.","Ici, c'est la lumière du jour qui s'est exilée.","Tageslicht ist hier der Verbannte.","ここでは陽の光が追放者となる。","이곳에서는 햇빛도 유배자 신세로군요.","A luz do dia é exilada aqui.","Свет дня изгнан из этого места.","La luz del día es la exiliada aquí.","ณ ที่​แห่ง​นี้ รุ่งอรุณ​เป็น​ผู้​ถูก​เนรเทศ","陽光已被驅逐流放，永無重見天日之時。",[143],2,"2_8",[140],-16843010,-16843010,-16843010,-16843010,""
27,"2_9",221,288,33,[33],"The Western Forest","La Forêt occidentale","Der Westwald","西の森","서쪽 숲","Floresta Ocidental","Западный лес","El Bosque del Oeste","ป่าตะวันตก","西部密林","Bathed in the cool light of obsession.","Baignée de la lumière froide de l'obsession.","Durchdrungen vom kühlen Licht der Besessenheit.","執着の冷たい光を浴びた。","서늘한 광채에 항시 둘러싸인 곳입니다.","Banhada na fria luz da obsessão.","В неприветливых сумерках леса таятся одержимые.","Bañado en la fría luz de la obsesión.","อาบ​แสง​แห่ง​ความ​หลงใหล​ที่​เย็นสบาย","沐浴在令人痴迷的冷光之下。","[53,0,0,0,19,0]",2,"2_9",[141],-16843010,-16843010,-16843010,-16843010,""
