"rownum","ItemExperienceType","ItemCurrentLevel","Experience"
0,0,1,0
1,0,2,70
2,0,3,378
3,0,4,1932
4,0,5,8599
5,0,6,34646
6,0,7,84371
7,0,8,180085
8,0,9,349680
9,0,10,633439
10,0,11,1087435
11,0,12,1790563
12,0,13,2851786
13,0,14,4917656
14,0,15,7424766
15,0,16,13223702
16,0,17,28307621
17,0,18,56100356
18,0,19,99970095
19,0,20,342051651
20,1,1,0
21,1,2,841
22,1,3,3940
23,1,4,11373
24,1,5,34268
25,1,6,83993
26,1,7,179707
27,1,8,349302
28,1,9,633061
29,1,10,1087057
30,1,11,1790185
31,1,12,2851408
32,1,13,4917278
33,1,14,7424388
34,1,15,9998119
35,1,16,17609470
36,1,17,31047378
37,1,18,56099525
38,1,19,99968961
39,1,20,342050139
40,2,1,0
41,2,2,3231
42,2,3,12800
43,2,4,40989
44,2,5,100135
45,2,6,211327
46,2,7,405127
47,2,8,725407
48,2,9,1233246
49,2,10,1787625
50,2,11,2542674
51,2,12,3559207
52,2,13,5457809
53,2,14,7421828
54,2,15,9995559
55,2,16,17606398
56,2,17,31043282
57,2,18,56093893
58,2,19,99961281
59,2,20,342039899
60,3,1,0
61,3,2,9569
62,3,3,37758
63,3,4,96904
64,3,5,208096
65,3,6,401896
66,3,7,722176
67,3,8,1081266
68,3,9,1579774
69,3,10,2261831
70,3,11,3183608
71,3,12,4911487
72,3,13,6703256
73,3,14,9056935
74,3,15,12127847
75,3,16,21223313
76,3,17,37263203
77,3,18,67080320
78,3,19,129975376
79,3,20,342026975
80,4,1,0
81,4,2,15249
82,4,3,56766
83,4,4,138749
84,4,5,286717
85,4,6,537274
86,4,7,942360
87,4,8,1390078
88,4,9,2005396
89,4,10,2840035
90,4,11,4410795
91,4,12,6044782
92,4,13,8195812
93,4,14,11008001
94,4,15,16107361
95,4,16,25508092
96,4,17,40781458
97,4,18,67068040
98,4,19,129958630
99,4,20,342004647
100,5,1,0
101,5,2,49725
102,5,3,145439
103,5,4,315034
104,5,5,514379
105,5,6,800194
106,5,7,1201538
107,5,8,1755917
108,5,9,2510966
109,5,10,3527499
110,5,11,5426101
111,5,12,7390120
112,5,13,9963851
113,5,14,14640290
114,5,15,17657617
115,5,16,25480618
116,5,17,40744826
117,5,18,67017671
118,5,19,129889945
119,5,20,341913067
120,6,1,0
121,6,2,69833
122,6,3,198382
123,6,4,352935
124,6,5,578309
125,6,6,898981
126,6,7,1346699
127,6,8,1962017
128,6,9,2796656
129,6,10,4367416
130,6,11,6001403
131,6,12,8152433
132,6,13,10964622
133,6,14,14619806
134,6,15,17637133
135,6,16,25456038
136,6,17,40712051
137,6,18,66972606
138,6,19,129828493
139,6,20,341831131
140,7,1,0
141,7,2,118383
142,7,3,294199
143,7,4,548260
144,7,5,907350
145,7,6,1405858
146,7,7,2087915
147,7,8,3009692
148,7,9,4737571
149,7,10,5876448
150,7,11,7244681
151,7,12,8883019
152,7,13,10839667
153,7,14,14494851
154,7,15,17512178
155,7,16,25306092
156,7,17,40512123
157,7,18,66697705
158,7,19,129453628
159,7,20,341331311
160,8,1,0
161,8,2,199345
162,8,3,485160
163,8,4,886504
164,8,5,1440883
165,8,6,1918320
166,8,7,2502106
167,8,8,3212465
168,8,9,4567976
169,8,10,5706853
170,8,11,7075086
171,8,12,8713424
172,8,13,10670072
173,8,14,14325256
174,8,15,17342583
175,8,16,25102578
176,8,17,40240771
177,8,18,66324596
178,8,19,128944843
179,8,20,340652931
180,9,1,0
181,9,2,285815
182,9,3,538410
183,9,4,852804
184,9,5,1241538
185,9,6,1718975
186,9,7,2302761
187,9,8,3013120
188,9,9,4368631
189,9,10,5507508
190,9,11,6875741
191,9,12,8514079
192,9,13,10470727
193,9,14,14125911
194,9,15,17143238
195,9,16,24863364
196,9,17,39921819
197,9,18,65886037
198,9,19,128346808
199,9,20,339855551
200,10,1,0
201,10,2,252595
202,10,3,566989
203,10,4,955723
204,10,5,1433160
205,10,6,2016946
206,10,7,2727305
207,10,8,4082816
208,10,9,5221693
209,10,10,6589926
210,10,11,8228264
211,10,12,10184912
212,10,13,13840096
213,10,14,16857423
214,10,15,20433655
215,10,16,29598386
216,10,17,47459814
217,10,18,93492200
218,10,19,180740239
219,10,20,338712291
220,11,1,0
221,11,2,388734
222,11,3,866171
223,11,4,1449957
224,11,5,2160316
225,11,6,3515827
226,11,7,4654704
227,11,8,6022937
228,11,9,7661275
229,11,10,9617923
230,11,11,13273107
231,11,12,16290434
232,11,13,19866666
233,11,14,24098333
234,11,15,26493411
235,11,16,34914474
236,11,17,51074457
237,11,18,92244824
238,11,19,179039272
239,11,20,336444335
240,12,1,0
241,13,1,0
242,13,2,226854909
243,13,3,1666045137
244,14,1,0
245,14,2,514379
246,14,3,2510966
247,14,4,9963851
248,14,5,40744826
249,14,6,341913067
250,15,1,0
251,15,2,16154
252,15,3,647270
253,15,4,6361711
254,15,5,39949255
255,15,6,529166003
256,16,1,0
257,16,2,413882498
258,16,3,869153245
259,16,4,1369951067
260,16,5,1920828672
261,17,1,0
262,17,2,413880668
263,17,3,869149403
264,17,4,1369945012
265,17,5,1920820181
266,18,1,0
267,18,2,407097645
268,18,3,854905055
269,18,4,1347493206
270,18,5,1889340172
271,19,1,0
272,19,2,411225217
273,19,3,863572955
274,19,4,1361155467
275,19,5,1908496231
276,20,1,0
277,20,2,341831131
278,20,3,683662262
279,20,4,1025493393
280,20,5,1367324524
281,21,1,0
282,21,2,413615669
283,21,3,868592904
284,21,4,1369067863
285,21,5,1919590318
286,22,1,0
287,22,2,413868278
288,22,3,869123383
289,22,4,1369903999
290,22,5,1920762677
291,23,1,0
292,23,2,226854909
293,23,3,1666045137
294,23,4,2086927923
295,24,1,0
296,24,2,70
297,24,3,378
298,24,4,1932
299,24,5,8599
300,24,6,34646
301,24,7,84371
302,24,8,180085
303,24,9,349680
304,24,10,633439
305,25,1,0
306,25,2,841
307,25,3,3940
308,25,4,11373
309,25,5,34268
310,25,6,83993
311,25,7,179707
312,25,8,349302
313,25,9,633061
314,25,10,1087057
315,26,1,0
316,26,2,10
317,26,3,20
318,26,4,30
319,26,5,40
320,26,6,50
