"rownum","UniqueBase","i32"
0,4872,1
1,4873,2
2,4874,3
3,4876,4
4,4877,5
5,4880,6
6,4883,7
7,4886,8
8,4889,9
9,4899,10
10,4901,11
11,4902,12
12,4907,13
13,4910,14
14,4912,15
15,4913,16
16,4916,17
17,4917,18
18,4918,19
19,4919,20
20,4920,21
21,4921,22
22,4929,23
23,4931,24
24,4934,25
25,4936,26
26,4938,27
27,4941,28
28,4947,29
29,4948,30
30,4950,31
31,4951,32
32,4952,33
33,4958,34
34,4960,35
35,4963,36
36,4967,37
37,4975,38
38,4978,39
39,4979,40
40,4980,41
41,4987,42
42,4989,43
43,4991,44
44,4993,45
45,4994,46
46,5000,47
47,5002,48
48,5005,49
49,5006,50
50,5007,51
51,5008,52
52,5009,53
53,5010,54
54,5016,55
55,5018,56
56,5019,57
57,5020,58
58,5026,59
59,5037,60
60,5042,61
61,5044,62
62,5047,63
63,5051,64
64,5054,65
65,5059,66
66,5062,67
67,5070,68
68,5074,69
69,5075,70
70,5077,71
71,5079,72
72,5082,73
73,5085,74
74,5086,75
75,5087,76
76,5088,77
77,5089,78
78,5090,79
79,5091,80
80,5096,81
81,5097,82
82,5098,83
83,5100,84
84,5102,85
85,5103,86
86,5111,87
87,5115,88
88,5116,89
89,5117,90
90,5118,91
91,5119,92
92,5125,93
93,5128,94
94,5130,95
95,5131,96
96,5135,97
97,5136,98
98,5137,99
99,5140,100
100,5141,101
101,5142,102
102,5143,103
103,5144,104
104,5145,105
105,5155,106
106,5156,107
107,5159,108
108,5161,109
109,5163,110
110,5166,111
111,5168,112
112,5170,113
113,5171,114
114,5172,115
115,5173,116
116,5180,117
117,5182,118
118,5183,119
119,5188,120
120,5190,121
121,5194,122
122,5195,123
123,5197,124
124,5198,125
125,5206,126
126,5207,127
127,5208,128
128,5212,129
129,5213,130
130,5216,131
131,5218,132
132,5221,133
133,5222,134
134,5223,135
135,5228,136
136,5338,137
137,5339,138
138,5341,139
139,5349,140
140,5351,141
141,5352,142
142,5357,143
143,5358,144
144,5360,145
145,5364,146
146,5368,147
147,5369,148
148,5378,149
149,5379,150
150,5380,151
151,5383,152
152,5384,153
153,5386,154
154,5389,155
155,5390,156
156,5394,157
157,5396,158
158,5402,159
159,5403,160
160,5406,161
161,5407,162
162,5413,163
163,5414,164
164,5416,165
165,5417,166
166,5418,167
167,5419,168
168,5426,169
169,5427,170
170,5431,171
171,5432,172
