"rownum","Id","InventoryIdKey","InventoryTypeKey","bool","bool","i32","bool"
0,"MainInventory1",0,12,"","",5,""
1,"BodyArmour1",1,2,1,1,3,""
2,"Weapon1",2,2,1,1,4,""
3,"Offhand1",3,2,1,1,4,""
4,"Helm1",4,2,1,1,2,""
5,"Amulet1",5,1,1,1,1,""
6,"Ring1",6,1,1,1,1,""
7,"Ring2",6,1,1,1,1,""
8,"Gloves1",7,2,1,1,2,""
9,"Boots1",8,2,1,1,2,""
10,"Belt1",9,2,1,1,1,""
11,"Flask1",10,5,"",1,2,""
12,"Cursor1",11,4,1,"",4,""
13,"Map1",12,3,"","",2,""
14,"Weapon2",2,2,1,"",4,""
15,"Offhand2",3,2,1,"",4,""
16,"StrMasterCrafting",15,2,1,"",4,""
17,"StrDexMasterCrafting",15,2,1,"",4,""
18,"DexMasterCrafting",15,2,1,"",4,""
19,"DexIntMasterCrafting",15,2,1,"",4,""
20,"IntMasterCrafting",15,2,1,"",4,""
21,"StrIntMasterCrafting",15,2,1,"",4,""
22,"PVPMasterCrafting",15,2,1,"",4,""
23,"PassiveJewels1",13,57,"","",1,""
24,"AnimatedArmour1",14,10,"","",4,""
25,"GuildTag1",12,6,"","",1,""
26,"StashInventoryId",17,1,"","",1,""
27,"DivinationCardTrade",15,4,1,"",8,""
28,"Darkshrine",15,2,1,"",4,""
29,"TalismanTrade",15,5,"","",1,""
30,"Leaguestone1",16,3,"","",1,""
31,"BestiaryCrafting",15,2,1,"",4,""
32,"IncursionSacrifice",15,2,"","",5,""
33,"BetrayalUnveiling",15,2,1,"",4,""
34,"ItemSynthesisInput",15,6,"","",4,""
35,"ItemSynthesisOutput",15,2,1,"",4,""
36,"BlightCraftingInput",15,4,"","",1,""
37,"BlightCraftingItem",15,2,1,"",4,""
38,"MetamorphosisGenomeInput",15,5,"","",1,""
39,"AtlasUpgrades1",28,4,"","",1,1
40,"AtlasUpgradesStorage",28,4,"","",1,1
41,"ExpeditionMapMission",15,1,1,"",1,""
42,"ExpeditionDeal1",15,2,1,"",4,""
43,"HarvestCraftingItem",15,2,1,"",4,""
44,"HeistContractMission",15,1,1,"",1,""
45,"HeistNpcEquipment1",34,7,"","",2,1
46,"HeistNpcEquipment2",34,7,"","",2,1
47,"HeistNpcEquipment3",34,7,"","",2,1
48,"HeistNpcEquipment4",34,7,"","",2,1
49,"HeistNpcEquipment5",34,7,"","",2,1
50,"HeistNpcEquipment6",34,7,"","",2,1
51,"HeistNpcEquipment7",34,7,"","",2,1
52,"HeistNpcEquipment8",34,7,"","",2,1
53,"HeistNpcEquipment9",34,7,"","",2,1
54,"Trinket1",35,1,1,1,1,""
55,"HeistBlueprintMission",15,1,1,"",1,""
56,"HeistStorage1",36,107,"","",12,1
57,"RitualSavedRewards1",37,100,"","",4,""
58,"DONOTUSE1",12,3,"","",2,1
59,"DONOTUSE2",12,3,"","",2,1
60,"DONOTUSE3",12,3,"","",2,1
61,"DONOTUSE4",12,3,"","",2,1
62,"RESERVED1",41,11,"","",6,""
63,"RESERVED2",42,5,"","",5,""
64,"RESERVED3",43,3,"","",1,""
65,"RESERVED4",12,64,"","",5,""
66,"UltimatumCraftingItem",44,2,1,"",4,""
67,"RESERVED5",41,1,1,"",1,""
68,"RESERVED6",41,5,"","",5,""
69,"ExpeditionStorage1",29,14,"","",9,1
70,"HellscapeModificationInventory1",45,6,"","",5,""
71,"LabyrinthCraftingInput",15,1,1,"",1,""
72,"SentinelDroneInventory1",48,6,"","",2,""
73,"SentinelStorage1",49,37,"","",10,1
74,"LakeTabletInventory1",50,1,1,"",1,""
75,"MemoryLineMaps",12,5,"","",1,1
76,"Relics1",52,5,"","",4,""
77,"RelicStorage1",53,12,"","",12,1
78,"SanctumSpecialRelic1",54,1,1,1,2,""
79,"RESERVED7",41,2,"","",4,""
80,"RESERVED8",41,2,"","",4,""
81,"RESERVED9",41,1,1,"",1,""
82,"CurrentSanctumRun1",55,1,1,"",1,""
83,"CraftPredictionScratch",15,6,"","",4,""
