"rownum","Id","rid","[f32]","[rid]","[string]"
0,"FireSurgeMultiSpeed",4502,"[1,2,3]","[4502,4502,4502]","[""slow"",""medium"",""fast""]"
1,"ColdSurgeMultiSpeed",4919,"[1,2,3]","[4919,4919,4919]","[""slow"",""medium"",""fast""]"
2,"LightningSurgeMultiSpeed",4918,"[1,2,3]","[4918,4918,4918]","[""slow"",""medium"",""fast""]"
3,"FlameSurge3",2384,[],[],[]
4,"ColdSurge1",2397,[],[],[]
5,"GemlingColdSurge",2442,[],[],[]
6,"LightningSurge1",2398,[],[],[]
7,"ChaosSurge1",2399,[],[],[]
8,"HolySurge1",2408,[],[],[]
9,"PoisonSurge1",2409,[],[],[]
10,"AuraSurgeRed1",2403,[],[],[]
11,"AuraSurgePurple1",2405,[],[],[]
12,"AuraSurgeGreen1",2401,[],[],[]
13,"AuraSurgeLightGreen1",2402,[],[],[]
14,"AuraSurgeGolden1",2406,[],[],[]
15,"AuraSurgeBlue1",2404,[],[],[]
16,"FocusSurge",2488,[],[],[]
17,"VortexSurge",2604,[],[],[]
18,"HuntsmanAuraStart",2878,[],[],[]
19,"MadcapPhaseRunStart",2836,[],[],[]
20,"MoltenShellCast",3092,[],[],[]
21,"StygianMoltenShellCast",3982,[],[],[]
22,"MoltenShellCastViper",4939,[],[],[]
23,"VaalMoltenShellCast",3093,[],[],[]
24,"StygianVaalMoltenShellCast",3992,[],[],[]
25,"AuraSurgeOrange1",2407,[],[],[]
26,"MinionFocusFireSurge",3366,[],[],[]
27,"PolarisBlackAuraStart",3534,[],[],[]
28,"PolarisWhiteAuraStart",3535,[],[],[]
29,"FrenzyArrowBaseSurge",3597,[],[],[]
30,"ArrowBaseSurgeFire",3714,[],[],[]
31,"ArrowBaseSurgeIce",3715,[],[],[]
32,"ArrowBaseSurgeLightning",3716,[],[],[]
33,"ArrowBaseSurgePhys",3717,[],[],[]
34,"ArrowBaseSurgePhysRed",3718,[],[],[]
35,"ArrowBaseSurgeChaos",3719,[],[],[]
36,"BladeBurstSurge",3835,[],[],[]
37,"IllusionistBladeBlastSurgeEffect",3936,[],[],[]
38,"SawbladeBladeBlastSurgeEffect",3946,[],[],[]
39,"AuraSurgeScientist",3919,[],[],[]
40,"StygianSurgeNew",5166,[],[],[]
41,"DarkSurge",4008,[],[],[]
42,"AngelicAuraEffect",4013,[],[],[]
43,"DemonicAuraEffect",4014,[],[],[]
