"rownum","Id","HASH16","RewardText (English)","RewardText (French)","RewardText (German)","RewardText (Japanese)","RewardText (Korean)","RewardText (Portuguese)","RewardText (Russian)","RewardText (Spanish)","RewardText (Thai)","RewardText (Traditional Chinese)","ItemVisualIdentityKey","RewardType","SacrificeItem","SacrificeAmount","SacrificeText (English)","SacrificeText (French)","SacrificeText (German)","SacrificeText (Japanese)","SacrificeText (Korean)","SacrificeText (Portuguese)","SacrificeText (Russian)","SacrificeText (Spanish)","SacrificeText (Thai)","SacrificeText (Traditional Chinese)","bool","TrialMods"
0,"DoubleDivinationCards1",20652,"Doubles sacrificed Divination Cards","Double les Cartes divinatoires sacrifiées","Verdoppelt geopferte Weissagungskarten","捧げた占いカードを倍加","소모되는 점술 카드 2배","Dobra Cartas de Adivinhação sacrificadas","Удваивает принесенные в жертву гадальные карты","Duplica las cartas de adivinación sacrificadas","เพิ่ม ไพ่พยากรณ์ ที่สังเวยเป็น สองเท่า","翻倍獻祭的命運卡","",2,"",0,"","","","","","","","","","",1,"[24869,24874]"
1,"DoubleDivinationCards2",54378,"Doubles sacrificed Divination Cards","Double les Cartes divinatoires sacrifiées","Verdoppelt geopferte Weissagungskarten","捧げた占いカードを倍加","소모되는 점술 카드 2배","Dobra Cartas de Adivinhação sacrificadas","Удваивает принесенные в жертву гадальные карты","Duplica las cartas de adivinación sacrificadas","เพิ่ม ไพ่พยากรณ์ ที่สังเวยเป็น สองเท่า","翻倍獻祭的命運卡","",2,"",0,"","","","","","","","","","",1,"[24870,24875]"
2,"DoubleDivinationCards3",13401,"Doubles sacrificed Divination Cards","Double les Cartes divinatoires sacrifiées","Verdoppelt geopferte Weissagungskarten","捧げた占いカードを倍加","소모되는 점술 카드 2배","Dobra Cartas de Adivinhação sacrificadas","Удваивает принесенные в жертву гадальные карты","Duplica las cartas de adivinación sacrificadas","เพิ่ม ไพ่พยากรณ์ ที่สังเวยเป็น สองเท่า","翻倍獻祭的命運卡","",2,"",0,"","","","","","","","","","",1,"[24871,24876]"
3,"DoubleDivinationCards4",39568,"Doubles sacrificed Divination Cards","Double les Cartes divinatoires sacrifiées","Verdoppelt geopferte Weissagungskarten","捧げた占いカードを倍加","소모되는 점술 카드 2배","Dobra Cartas de Adivinhação sacrificadas","Удваивает принесенные в жертву гадальные карты","Duplica las cartas de adivinación sacrificadas","เพิ่ม ไพ่พยากรณ์ ที่สังเวยเป็น สองเท่า","翻倍獻祭的命運卡","",2,"",0,"","","","","","","","","","",1,"[24872,24877]"
4,"DoubleDivinationCards5",25975,"Doubles sacrificed Divination Cards","Double les Cartes divinatoires sacrifiées","Verdoppelt geopferte Weissagungskarten","捧げた占いカードを倍加","소모되는 점술 카드 2배","Dobra Cartas de Adivinhação sacrificadas","Удваивает принесенные в жертву гадальные карты","Duplica las cartas de adivinación sacrificadas","เพิ่ม ไพ่พยากรณ์ ที่สังเวยเป็น สองเท่า","翻倍獻祭的命運卡","",2,"",0,"","","","","","","","","","",1,"[24873,24878]"
5,"MirrorRare1",49959,"Item and Mirrored Copy","Un Objet et sa Copie reflétée","Gegenstand und gespiegelte Kopie","アイテムおよびそのミラー化コピー","아이템과 복제본","Item e Cópia Espelhada","Предмет и его зеркальная копия","Objeto y copia reflejada","ไอเทม และ สำเนาไอเทมที่ถูกสะท้อน","物品和複製品","",3,"",0,"Mirrorable, Rare Item","Un Objet rare et reflétable","Spiegelbarer seltener Gegenstand","ミラー化可能レアアイテム","복제 가능, 희귀 아이템","Espelhável, Item Raro","Редкий предмет с возможностью сделать его копию","Reflejable, objeto raro","ไอเทมแรร์ ที่สามารถทำภาพสะท้อนได้","可鏡像、稀有物品","","[24873,24878]"
6,"Unique1",24507,"","","","","","","","","","","",4,"",0,"","","","","","","","","","","","[24869,24874]"
7,"Unique2",31270,"","","","","","","","","","","",4,"",0,"","","","","","","","","","","","[24871,24876]"
8,"Unique3",62141,"","","","","","","","","","","",4,"",0,"","","","","","","","","","","","[24872,24877]"
9,"Unique4",49320,"","","","","","","","","","","",4,"",0,"","","","","","","","","","","","[24870,24875]"
10,"Unique5",18654,"","","","","","","","","","","",4,"",0,"","","","","","","","","","","","[24871,24876]"
11,"Unique6",7505,"","","","","","","","","","","",4,"",0,"","","","","","","","","","","","[24872,24877]"
12,"Unique7",6641,"","","","","","","","","","","",4,"",0,"","","","","","","","","","","","[24873,24878]"
13,"Unique8",5026,"","","","","","","","","","","",4,"",0,"","","","","","","","","","","","[24873,24878]"
14,"Unique9",17340,"","","","","","","","","","","",4,"",0,"","","","","","","","","","","","[24871,24876]"
15,"Unique10",31328,"","","","","","","","","","","",4,"",0,"","","","","","","","","","","","[24872,24877]"
16,"CurrencyChaos5",10698,"Doubles sacrificed Currency","Double les Objets monétaires sacrifiés","Verdoppelt geopferte Währung","捧げたカレンシーを倍加","소모되는 화폐 2배","Dobra os Itens Monetários sacrificados","Удваивает принесенную в жертву валюту","Duplica los objetos monetarios sacrificados","เพิ่ม เงินตรา ที่สังเวยเป็น สองเท่า","翻倍獻祭的通貨","",1,2,5,"","","","","","","","","","",1,"[24869,24874]"
