"rownum","HeistJobsKey","Tier","Experience","MinLevel","AchievementItemsKey"
0,0,1,0,0,[]
1,0,2,160,60,[]
2,0,3,800,75,[]
3,0,4,2800,80,[]
4,0,5,8000,83,"[7350,8296,8934]"
5,1,1,0,0,[]
6,1,2,160,60,[]
7,1,3,800,75,[]
8,1,4,2800,80,[]
9,1,5,8000,83,"[7351,8296,8934]"
10,2,1,0,55,[]
11,2,2,160,68,[]
12,2,3,800,75,[]
13,2,4,2800,80,[]
14,2,5,8000,83,"[7352,8296,8934]"
15,3,1,0,50,[]
16,3,2,160,65,[]
17,3,3,800,75,[]
18,3,4,2800,80,[]
19,3,5,8000,83,"[7353,8296,8934]"
20,4,1,0,60,[]
21,4,2,160,70,[]
22,4,3,800,75,[]
23,4,4,2800,80,[]
24,4,5,8000,83,"[7354,8296,8934]"
25,5,1,0,50,[]
26,5,2,160,65,[]
27,5,3,800,75,[]
28,5,4,2800,80,[]
29,5,5,8000,83,"[7355,8296,8934]"
30,6,1,0,50,[]
31,6,2,160,65,[]
32,6,3,800,75,[]
33,6,4,2800,80,[]
34,6,5,8000,83,"[7356,8296,8934]"
35,7,1,0,60,[]
36,7,2,160,70,[]
37,7,3,800,75,[]
38,7,4,2800,80,[]
39,7,5,8000,83,"[7357,8296,8934]"
40,8,1,0,0,[]
41,8,2,160,60,[]
42,8,3,800,75,[]
43,8,4,2800,80,[]
44,8,5,8000,83,"[7358,8296,8934]"
