"rownum","Id","[rid]","[i32]","rid","rid","i32","bool","i32","bool"
0,"CultistSpiritWeapon",[16760],[1],179,40,1,1,16777216,1
1,"MercenarySpiritWeapon",[16761],[1],180,40,1,1,16777216,1
2,"PyromaniacSpiritWeapon",[16762],[1],181,40,1,1,16777216,1
3,"TemplarZealotSpiritWeapon",[16763],[1],182,40,1,1,16777216,1
4,"PredatoryFarrulsFurApparition",[16828],[1],183,0,3,1,16777216,""
5,"OshabisHeaddressStrApparition",[16836],[1],184,3,3,1,16777216,""
6,"OshabisHeaddressDexApparition",[16837],[1],185,3,3,1,16777216,""
7,"OshabisHeaddressIntApparition",[16838],[1],186,3,3,1,16777216,""
8,"HateforgeAtziriApparition",[17294],[1],194,4,2,1,0,""
9,"VentorsGambleBoxCars",[17354],[1],195,3,2,1,16777216,1
10,"VentorsGambleSnakeEyes",[17354],[1],196,3,2,1,16777216,1
