"rownum","Contract_BaseItemTypesKey","Level","Cost","CostHardmode"
0,0,1,0,""
1,2,1,1,""
2,4,1,2,""
3,5,1,3,""
4,6,1,4,""
5,7,1,5,""
6,8,1,6,""
7,10,1,7,37
8,11,1,8,""
9,12,1,9,""
10,13,1,10,""
11,14,1,11,""
12,15,1,12,""
13,16,1,13,""
14,17,1,14,""
15,18,1,15,""
16,19,1,16,""
17,20,1,17,""
18,21,1,18,""
19,22,1,19,""
20,23,1,20,""
21,24,1,21,""
22,42,1,22,""
23,44,1,23,""
24,179,1,24,""
25,180,1,25,""
26,181,1,26,""
27,9,1,27,121
28,222,1,28,""
29,223,1,29,""
30,224,1,30,""
31,225,1,31,""
32,226,1,32,""
33,227,1,33,""
34,228,1,34,""
35,229,1,35,""
36,230,1,36,""
37,4872,1,38,114
38,4873,1,39,114
39,4874,1,40,114
40,4875,1,41,114
41,4876,1,42,114
42,4877,1,42,114
43,4879,1,42,114
44,4880,1,42,114
45,4881,1,43,115
46,4882,1,43,115
47,4883,1,43,115
48,4885,1,43,115
49,4886,1,43,115
50,4887,1,44,116
51,4888,1,44,116
52,4889,1,44,116
53,4897,1,38,""
54,4894,1,40,114
55,4895,1,42,115
56,4896,1,44,116
57,4898,1,38,114
58,4899,1,39,114
59,4900,1,40,114
60,4901,1,41,114
61,4902,1,42,114
62,4903,1,42,114
63,4904,1,42,114
64,4905,1,42,114
65,4907,1,42,114
66,4908,1,42,114
67,4909,1,42,114
68,4910,1,43,115
69,4911,1,43,115
70,4912,1,43,115
71,4913,1,43,115
72,4915,1,43,115
73,4916,1,43,115
74,4917,1,44,116
75,4918,1,44,116
76,4919,1,44,116
77,4920,1,44,116
78,4921,1,44,116
79,4929,1,38,114
80,4930,1,45,114
81,4931,1,40,114
82,4932,1,41,114
83,4933,1,42,114
84,4934,1,42,114
85,4935,1,42,114
86,4936,1,42,114
87,4938,1,42,114
88,4939,1,42,114
89,4940,1,43,115
90,4941,1,43,115
91,4942,1,43,115
92,4943,1,43,115
93,4944,1,43,115
94,4946,1,43,115
95,4947,1,44,116
96,4948,1,44,116
97,4949,1,44,116
98,4950,1,44,116
99,4951,1,44,116
100,4952,1,44,116
101,4957,1,38,114
102,4958,1,39,114
103,4959,1,40,114
104,4960,1,41,114
105,4961,1,42,114
106,4962,1,42,114
107,4963,1,42,114
108,4964,1,42,114
109,4966,1,42,114
110,4967,1,42,114
111,4968,1,42,114
112,4969,1,43,115
113,4970,1,43,115
114,4971,1,43,115
115,4972,1,43,115
116,4974,1,43,115
117,4975,1,43,115
118,4976,1,44,116
119,4977,1,44,116
120,4978,1,44,116
121,4979,1,44,116
122,4980,1,44,116
123,4987,1,38,114
124,4988,1,39,114
125,4989,1,40,114
126,4990,1,41,114
127,4991,1,42,114
128,4992,1,42,114
129,4993,1,42,114
130,4994,1,42,114
131,4996,1,42,114
132,4997,1,42,114
133,4998,1,42,114
134,4999,1,43,115
135,5000,1,43,115
136,5001,1,43,115
137,5002,1,43,115
138,5004,1,43,115
139,5005,1,43,115
140,5006,1,44,116
141,5007,1,44,116
142,5008,1,44,116
143,5009,1,44,116
144,5010,1,44,116
145,5015,1,38,114
146,5016,1,45,114
147,5017,1,40,114
