"rownum","Id","MonsterVarieties","i32","bool","i32","i32","bool","bool","bool"
0,"FireMeteor",[8440],999,"",4000,4000,"","",1
1,"FireMeteorUber",[8441],999,"",4000,4000,"","",1
2,"ColdRotatingBeam",[8442],1,"",800,0,1,"",""
3,"ColdRotatingBeamUber",[8443],1,"",800,0,1,"",""
4,"ChaosSoulrendPortal",[8444],999,"",6000,6000,"","",1
5,"ChaosSoulrendPortalUber",[8445],999,"",6000,6000,"","",1
6,"LightningPylon",[8446],16,"",50,0,"",1,""
7,"LightningPylonUber",[8447],16,"",50,0,"",1,""
8,"Necromantic1","[3629,3630,3631,3632,3633,3634,3635,3636,3637,3638,3639,3640,3643,3644,3645,3646,3647,3648,3649,3650]",4,1,6000,0,"","",1
9,"Necromantic2","[3629,3630,3631,3632,3633,3634,3635,3636,3637,3638,3639,3640,3643,3644,3645,3646,3647,3648,3649,3650]",5,1,5000,0,"","",1
10,"Necromantic3","[3629,3630,3631,3632,3633,3634,3635,3636,3637,3638,3639,3640,3642,3643,3644,3645,3646,3647,3648,3649,3650]",6,1,4000,0,"","",1
11,"Necromantic4","[3629,3630,3631,3632,3633,3634,3635,3636,3637,3638,3639,3640,3642,3643,3644,3645,3646,3647,3648,3649,3650]",7,1,3000,0,"","",1
12,"Vaal",[8448],1,"",800,0,1,"",""
13,"Golden",[8449],999,"",4000,0,"","",1
14,"PhysicalBleed",[8451],999,"",8000,0,"","",1
15,"PhysicalBleedUber",[8452],4,"",5000,0,"",1,1
16,"ChaosGreenVines",[8458],1,"",800,0,1,"",""
17,"GenericLifeQuicksand",[8455],999,"",2000,2000,"","",1
18,"GenericCharges",[8453],1,"",300,0,1,"",""
19,"GenericMassive",[8454],1,"",300,0,1,"",""
20,"GenericSpeed",[8450],1,"",300,0,1,"",""
21,"GenericFortify",[8456],999,"",5000,0,"","",1
22,"GenericEnergyShield",[8457],1,"",300,0,1,"",""
23,"UltimatumChaosCloud1",[8610],1,"",1000,0,"","",""
24,"UltimatumChaosCloud2",[8611],1,"",1000,0,"","",""
25,"UltimatumChaosCloud3",[8612],1,"",1000,0,"","",""
26,"UltimatumLightningRune1",[8613],5,"",50,0,"",1,1
27,"UltimatumLightningRune2",[8614],5,"",50,0,"",1,1
28,"UltimatumLightningRune3",[8614],9,"",50,0,"",1,1
29,"UltimatumLightningRune1Trial",[8613],3,"",50,0,"","",""
30,"UltimatumLightningRune2Trial",[8614],3,"",50,0,"","",""
31,"UltimatumFlameSpitter1",[8637],2,"",50,0,"",1,1
32,"UltimatumFlameSpitter2",[8637],4,"",50,0,"",1,1
33,"UltimatumFlameSpitter3",[8638],4,"",50,0,"",1,1
34,"UltimatumFlameSpitter1Trial",[8637],1,"",0,0,"",1,1
35,"UltimatumFlameSpitter2Trial",[8637],2,"",50,0,"",1,1
36,"UltimatumFlameSpitter3Trial",[8638],2,"",50,0,"",1,1
37,"UltimatumFrostInfection1",[8621],1,"",0,0,1,"",""
38,"UltimatumFrostInfection2",[8622],1,"",0,0,1,"",""
39,"UltimatumFrostInfection3",[8623],1,"",0,0,1,"",""
40,"UltimatumGraveyard1",[8635],2,"",50,0,"",1,1
41,"UltimatumGraveyard2",[8635],4,"",50,0,"",1,1
42,"UltimatumGraveyard3",[8636],4,"",50,0,"",1,1
43,"UltimatumGraveyard1Trial",[8635],1,"",0,0,"",1,1
44,"UltimatumGraveyard2Trial",[8635],2,"",50,0,"",1,1
45,"UltimatumGraveyard3Trial",[8636],2,"",50,0,"",1,1
46,"UltimatumRevenant1",[8626],1,"",0,0,"",1,1
47,"UltimatumRevenant2",[8627],1,"",0,0,"",1,1
48,"UltimatumRevenant3",[8628],1,"",0,0,"",1,1
49,"UltimatumSawblade1",[8629],1,"",0,0,1,"",""
50,"UltimatumSawblade2",[8630],1,"",0,0,1,"",""
51,"UltimatumSawblade3",[8631],1,"",0,0,1,"",""
52,"UltimatumTotemPhys",[8640],1,"",0,0,"",1,1
53,"UltimatumTotemEle",[8641],1,"",0,0,"",1,1
