"rownum","Id","RewardText (English)","RewardText (French)","RewardText (German)","RewardText (Japanese)","RewardText (Korean)","RewardText (Portuguese)","RewardText (Russian)","RewardText (Spanish)","RewardText (Thai)","RewardText (Traditional Chinese)","RewardGroup","ScriptArgument","MinLevel","MaxLevel"
0,"AdditionalRewards1","All Reward Types have an additional reward","Ajoute une Récompense à tous les types de Récompenses.","Alle Belohnungstypen haben eine zusätzliche Belohnung","全ての報酬が追加の報酬を持つ","모든 보상 유형에 추가 보상 있음","Todos os Tipos de Recompensa possuem uma recompensa adicional","Дополнительная награда ко всем видам наград","Todos los tipos de recompensas tienen una recompensa adicional","ของ​รางวัล ทุก​ชนิด มี ของ​รางวัล เพิ่มเติม 1 ชิ้น","全部獎勵類型有 1 個額外獎勵",0,"1",1,100
1,"RewardsMultiplier2","Rewards are doubled","Double les Récompenses.","Belohnungen sind verdoppelt","報酬が2倍となる","보상 2배로 증가","Recompensas são Dobradas","Награды удваиваются","Las recompensas están duplicadas","ของ​รางวัล ดรอป ​เพิ่มเป็นสอง​เท่า","獎勵 2 倍",1,"2",1,100
2,"RewardTypeOverrideDivination","All Reward Types are Divination Cards","Transforme tous les types de Récompenses en Cartes divinatoires.","Alle Belohnungstypen sind Weissagungskarten","全ての報酬タイプが占いカード","모든 보상 유형이 점술 카드","Todos os Tipos de Recompensa são Cartas de Adivinhação","Все награды являются гадальными картами","Todos los tipos de recompensas son cartas de adivinación","ของ​รางวัล ทุก​ชนิด เป็น ไพ่​พยากรณ์","全部獎勵類型為命運卡",2,"DivinationCards",46,100
3,"RewardTypeOverrideUniques","All Reward Types are Uniques","Transforme tous les types de Récompenses en Objets uniques.","Alle Belohnungstypen sind einzigartige Gegenstände","全ての報酬がユニーク","모든 보상 유형이 고유 아이템","Todos os Tipos de Recompensa são Únicos","Все награды являются уникальными предметами","Todos los tipos de recompensas son objetos únicos","ของ​รางวัล ทุก​ชนิด เป็น ไอเทม​ยูนิค","全部獎勵類型為傳奇",2,"Uniques",1,100
4,"RewardTypeOverrideCurrency","All Reward Types are Currency","Transforme tous les types de Récompenses en Objets monétaires.","Alle Belohnungstypen sind Währung","全ての報酬がカレンシー","모든 보상 유형이 화폐","Todos os Tipos de Recompensa são Itens Monetários","Все награды являются валютой","Todos los tipos de recompensas son objetos monetarios","ของ​รางวัล ทุก​ชนิด เป็น เงินตรา","全部獎勵類型為通貨",2,"Currency",1,100
5,"MinionsHaveRewards","Monster's Minions drop a randomly-chosen Reward Type","Les Serviteurs du Monstre cèdent un type de Récompense choisi au hasard.","Kreaturen von Monstern lassen einen zufälligen Belohnungstypen fallen","モンスターのミニオンがランダムに選ばれた最もレアな報酬タイプをドロップする","몬스터의 소환수가 무작위로 선택된 보상 유형을 떨어뜨림","Lacaios dos Monstros derrubam um Tipo de Recompensa escolhida aleatoriamente","Из приспешников монстра выпадает награда случайного типа","Los esbirros de los monstruos arrojan un tipo de recompensa elegido al azar","มิเนียน​ของ​มอนสเตอร์ ดรอป ของ​รางวัลแบบสุ่ม 1 ชนิด","怪物的召喚物掉落 1 個隨機選擇的獎勵類型",3,"",1,100
6,"BetterRewards1","Rewards are rolled 1 additional time, choosing the rarest result","Tire au hasard les Récompenses 1 fois supplémentaire, et conserve le résultat le plus rare.","Belohnungen werden 1 zusätzliches Mal neu gewürfelt und das seltenste Ergebnis beibehalten","報酬は追加で1回ロールされ最もレアな結果が選ばれる","보상 지급 시 주사위를 1번 추가로 굴려 가장 희귀한 결과를 선택","Recompensas são roladas 1 vez adicional, escolhendo o resultado mais raro","Награды генерируются 2 раза, и выбирается редчайший результат","Las recompensas se aleatorizan 1 vez adicional y se elige el resultado más raro","ของ​รางวัล ถูก​สุ่ม เพิ่ม​เติม 1 ครั้ง โดย​เลือก​ผล​การ​สุ่ม​ที่​พบ​ได้​ยาก​ที่​สุด","獎勵重骰 1 次，並選擇最稀有的結果",4,"1",1,100
7,"BetterRewards2","Rewards are rolled 2 additional times, choosing the rarest result","Tire au hasard les Récompenses 2 fois supplémentaires, et conserve le résultat le plus rare.","Belohnungen werden 2 zusätzliche Male neu gewürfelt und das seltenste Ergebnis beibehalten","報酬は追加で2回ロールされ最もレアな結果が選ばれる","보상 지급 시 주사위를 2번 추가로 굴려 가장 희귀한 결과를 선택","Recompensas são roladas 2 vez adicional, escolhendo o resultado mais raro","Награды генерируются 3 раза, и выбирается редчайший результат","Las recompensas se aleatorizan 2 veces adicionales y se elige el resultado más raro","ของ​รางวัล ถูก​สุ่ม เพิ่ม​เติม 2 ครั้ง โดย​เลือก​ผล​การ​สุ่ม​ที่​พบ​ได้​ยาก​ที่​สุด","獎勵重骰 2 次，並選擇最稀有的結果",4,"2",1,100
8,"BetterRewards4","Rewards are rolled 4 additional times, choosing the rarest result","Tire au hasard les Récompenses 4 fois supplémentaires, et conserve le résultat le plus rare.","Belohnungen werden 4 zusätzliche Male neu gewürfelt und das seltenste Ergebnis beibehalten","報酬は追加で4回ロールされ最もレアな結果が選ばれる","보상 지급 시 주사위를 4번 추가로 굴려 가장 희귀한 결과를 선택","Recompensas são roladas 4 vez adicional, escolhendo o resultado mais raro","Награды генерируются 5 раз, и выбирается редчайший результат","Las recompensas se aleatorizan 4 veces adicionales y se elige el resultado más raro","ของ​รางวัล ถูก​สุ่ม เพิ่ม​เติม 4 ครั้ง โดย​เลือก​ผล​การ​สุ่ม​ที่​พบ​ได้​ยาก​ที่​สุด","獎勵重骰 4 次，並選擇最稀有的結果",4,"4",1,100
9,"BetterRewards8","Rewards are rolled 6 additional times, choosing the rarest result","Tire au hasard les Récompenses 6 fois supplémentaires, et conserve le résultat le plus rare.","Belohnungen werden 6 zusätzliche Male neu gewürfelt und das seltenste Ergebnis beibehalten","報酬は追加で6回ロールされ最もレアな結果が選ばれる","보상 지급 시 주사위를 6번 추가로 굴려 가장 희귀한 결과를 선택","Recompensas são roladas 6 vez adicional, escolhendo o resultado mais raro","Награды генерируются 6 раз, и выбирается редчайший результат","Las recompensas se aleatorizan 6 veces adicionales y se elige el resultado más raro","ของ​รางวัล ถูก​สุ่ม เพิ่ม​เติม 6 ครั้ง โดย​เลือก​ผล​การ​สุ่ม​ที่​พบ​ได้​ยาก​ที่​สุด","獎勵重骰 6 次，並選擇最稀有的結果",4,"6",1,100
10,"CorruptedRewards","Items dropped from the Monster and its Minions are Corrupted","Le Monstre et ses Serviteurs cèdent des Objets corrompus.","Vom Monster und seinen Kreaturen fallen gelassene Gegenstände sind verderbt","モンスターおよびそのミニオンがドロップするアイテムはコラプト状態となる","몬스터와 몬스터의 소환수가 떨어뜨리는 아이템이 타락함","Itens derrubados dos Monstros e seus Lacaios são Corrompidos","Выпадающие из монстра и его приспешников предметы осквернены","Los objetos arrojados por el monstruo y sus esbirros están corruptos","ไอเทม​ที่​ดรอป​จาก มอนสเตอร์และมิเนียน​ของ​มัน มี​มลทิน","怪物和它的召喚物掉落的物品為已汙染",5,"",1,100
