"rownum","Id","i32","[i32]","UnlockType (English)","UnlockType (French)","UnlockType (German)","UnlockType (Japanese)","UnlockType (Korean)","UnlockType (Portuguese)","UnlockType (Russian)","UnlockType (Spanish)","UnlockType (Thai)","UnlockType (Traditional Chinese)","CraftingItemClassCategories","ObtainingDescription (English)","ObtainingDescription (French)","ObtainingDescription (German)","ObtainingDescription (Japanese)","ObtainingDescription (Korean)","ObtainingDescription (Portuguese)","ObtainingDescription (Russian)","ObtainingDescription (Spanish)","ObtainingDescription (Thai)","ObtainingDescription (Traditional Chinese)"
0,"JunAddedColdAndLightningDamage",1,"[1,1,1]","Added Cold and Lightning Damage - Rank","Dégâts de froid et de foudre supplémentaires - Rang","Hinzugefügter Kälte- und Blitzschaden - Rang","追加の冷気および雷ダメージ - ランク","냉기 및 번개 피해 추가 - 단계","Dano de Gelo e Raio Adicional - Rank","Добавленный урон от холода и молнии - уровень","Daño de hielo y rayo agregado - Nivel","เสริมความเสียหาย น้ำแข็งและสายฟ้า - อันดับ","附加冰冷和閃電傷害－階級","[4,9,13]","Unveiling shields, rings or quivers","Décryptez des boucliers, des carquois, des bagues ou des anneaux","Enthüllen: Schilde, Ringe oder Köcher","アンヴェール: 盾、指輪または矢筒","방패, 반지, 화살통 장막 해제","Revelando escudos, anéis ou aljavas","Нераскрытое свойство щитов, колец и колчанов","Desencriptando escudos, anillos o carcajes","เปิดผนึก โล่, แหวน หรือ ซองธนู","揭露盾牌、戒指或箭袋"
1,"JunAddedFireAndColdDamage",1,"[1,1,1]","Added Fire and Cold Damage - Rank","Dégâts de feu et de froid supplémentaires - Rang","Hinzugefügter Feuer- und Kälteschaden - Rang","追加の火および冷気ダメージ - ランク","화염 및 냉기 피해 추가 - 단계","Dano de Fogo e Gelo Adicional - Rank","Добавленный урон от огня и холода - уровень","Daño de fuego y hielo agregado - Nivel","เสริมความเสียหาย ไฟและน้ำแข็ง - อันดับ","附加火焰和冰冷傷害－階級","[4,9,13]","Unveiling shields, rings or quivers","Décryptez des boucliers, des carquois, des bagues ou des anneaux","Enthüllen: Schilde, Ringe oder Köcher","アンヴェール: 盾、指輪または矢筒","방패, 반지, 화살통 장막 해제","Revelando escudos, anéis ou aljavas","Нераскрытое свойство щитов, колец и колчанов","Desencriptando escudos, anillos o carcajes","เปิดผนึก โล่, แหวน หรือ ซองธนู","揭露盾牌、戒指或箭袋"
2,"JunAddedFireAndLightningDamage",1,"[1,1,1]","Added Fire and Lightning Damage - Rank","Dégâts de feu et de foudre supplémentaires - Rang","Hinzugefügter Feuer- und Blitzschaden - Rang","追加の火および雷ダメージ - ランク","화염 및 번개 피해 추가 - 단계","Dano de Fogo e Raio Adicional - Rank","Добавленный урон от огня и молнии - уровень","Daño de fuego y rayo agregado - Nivel","เสริมความเสียหาย ไฟและสายฟ้า - อันดับ","附加火焰和閃電傷害－階級","[4,9,13]","Unveiling shields, rings or quivers","Décryptez des boucliers, des carquois, des bagues ou des anneaux","Enthüllen: Schilde, Ringe oder Köcher","アンヴェール: 盾、指輪または矢筒","방패, 반지, 화살통 장막 해제","Revelando escudos, anéis ou aljavas","Нераскрытое свойство щитов, колец и колчанов","Desencriptando escudos, anillos o carcajes","เปิดผนึก โล่, แหวน หรือ ซองธนู","揭露盾牌、戒指或箭袋"
3,"JunAllDamage",1,"[1,1]","Damage - Rank","Dégâts - Rang","Schaden - Rang","ダメージ - ランク","피해 - 단계","Dano - Rank","Урон - уровень","Daño - Nivel","เพิ่มความเสียหาย - อันดับ","傷害－階級","[9,11]","Unveiling certain rings or belts from Leo","Décryptez certaines ceintures, ou certaines bagues ou anneaux de Léo","Enthüllen: bestimmte Ringe oder Gürtel von Leo","アンヴェール: リオから得られる特定の指輪またはベルト","레오의 특정 반지, 허리띠 장막 해제","Revelando certos aneis ou cintos do Leo","Нераскрытое свойство отдельных колец и поясов Лео","Desencriptando anillos o cinturones de Leo","เปิดผนึก แหวนหรือเข็มขัด ที่ได้จาก ลีโอ ที่กำหนด","揭露里歐的特定戒指或腰袋"
4,"JunAlwaysHits",1,[1],"Hits can't be Evaded","Ignore l'Évasion des cibles","Treffern kann nicht ausgewichen werden - Rang","ヒットは回避されない","무조건 명중","Acertos não podem ser Evadidos","От ударов нельзя уклониться","No se pueden evadir los golpes","การปะทะไม่สามารถหลบหลีกได้","擊中無法被閃避","[0,1]","Unveiling certain melee weapons from Vagan","Décryptez certaines armes de mêlée de Vagan","Enthüllen: bestimmte Nahkampfwaffen von Vagan","アンヴェール: ヴェイガンから得られる特定の近接武器","베이건의 특정 근접 무기 장막 해제","Revelando certas armas corpo a corpo do Vagan","Нераскрытое свойство отдельных видов оружия ближнего боя Вагана","Desencriptando ciertas armas cuerpo a cuerpo de Vagan","เปิดผนึก อาวุธประชิด ที่ได้จาก เวแกน ที่กำหนด","揭露瓦甘的特定近戰武器"
5,"JunArmourAndEnergyShield",1,"[1,1,1]","Armour and Energy Shield - Rank","Armure et Bouclier d'énergie - Rang","Rüstung und Energieschild - Rang","アーマーおよびエナジーシールド - ランク","방어도 및 에너지 보호막 - 단계","Armadura e Escudo de Energia - Rank","Броня и энергетический щит - уровень","Armadura y escudo de energía - Nivel","ค่าเกราะและโล่พลังงาน - อันดับ","護甲和能量護盾－階級",[11],"Unveiling belts","Décryptez des ceintures","Enthüllen: Gürtel","アンヴェール: ベルト","허리띠 장막 해제","Revelando cintos","Нераскрытое свойство поясов","Desencriptando cinturones","เปิดผนึก เข็มขัด","揭露腰帶"
6,"JunArmourAndEvasionRating",1,"[1,1,1]","Armour and Evasion Rating - Rank","Armure et Évasion - Rang","Rüstung und Ausweichwert - Rang","アーマーおよび回避力 - ランク","방어도 및 회피 - 단계","Armadura e Evasão - Rank","Броня и уклонение - уровень","Armadura y evasión - Nivel","ค่าเกราะและอัตราการหลบหลีก - อันดับ","護甲和閃避值－階級","[11,13]","Unveiling belts or quivers","Décryptez des ceintures ou des carquois","Enthüllen: Gürtel oder Köcher","アンヴェール: ベルトまたは矢筒","허리띠, 화살통 장막 해제","Revelando cintos ou aljavas","Нераскрытое свойство поясов и колчанов","Desencriptando cinturones o carcajes","เปิดผนึก เข็มขัดหรือซองธนู","揭露腰帶或箭袋"
7,"JunAttackAndCastSpeed",1,"[1,1,1]","Attack and Cast Speed - Rank","Vitesse d'attaque et d'incantation - Rang","Angriffs- und Zaubergeschwindigkeit - Rang","アタックおよびキャストスピード - ランク","공격 및 시전 속도 - 단계","Velocidade de Ataque e Conjuração - Rank","Скорость атаки и сотворения чар - уровень","Velocidad de ataque y de lanzamiento de hechizos - Nivel","ความเร็วในการโจมตีและร่าย - อันดับ","攻擊和施放速度－階級","[10,13]","Unveiling amulets or quivers","Décryptez des amulettes ou des carquois","Enthüllen: Amulette oder Köcher","アンヴェール: アミュレットまたは矢筒","목걸이, 화살통 장막 해제","Revelando amuletos ou aljavas","Нераскрытое свойство амулетов и колчанов","Desencriptando amuletos o carcajes","เปิดผนึก สร้อยหรือซองธนู","揭露項鍊或箭袋"
8,"JunAttackAndCastSpeedWhileFocused",1,"[1,1,1]","Attack and Cast Speed while Focused - Rank","Vitesse d'attaque et d'incantation pendant la Focalisation - Rang","Angriffs- und Zaubergeschwindigkeit, während Ihr fokussiert seid - Rang","フォーカス中のアタックおよびキャストスピード - ランク","집중하는 동안 공격 및 시전 속도 - 단계","Velocidade de Ataque e Conjuração enquanto Concentrado - Rank","Скорость атаки и сотворения чар, пока вы сфокусированы - уровень","Velocidad de ataque y de lanzamiento de hechizos mientras estás Concentrado - Nivel","ความเร็วในการโจมตีและร่าย ขณะที่มีสถานะ ตั้งสมาธิ - อันดับ","專注時攻擊和施放速度－階級",[7],"Unveiling gloves","Décryptez des gants","Enthüllen: Handschuhe","アンヴェール: 手袋","장갑 장막 해제","Revelando luvas","Нераскрытое свойство перчаток","Desencriptando guantes","เปิดผนึก ถุงมือ","揭露手套"
9,"JunAttackSpeedPercentIfRareOrUniqueEnemyNearby",1,"[1,1,1]","Attack Speed while a Rare or Unique Enemy is Nearby - Rank","Vitesse d'attaque tant qu'un Ennemi Rare ou Unique est à proximité - Rang","Angriffsgeschwindigkeit, während sich ein seltener oder einzigartiger Gegner im Umkreis befindet","レアまたはユニークの敵の周囲でのアタックスピード - ランク","주변에 희귀 또는 고유 적이 있을 시 공격 속도 - 단계","Velocidade de Ataque enquanto um Inimigo Raro ou Único estiver Próximo - Rank","Скорость атаки, пока поблизости есть редкий или уникальный враг - уровень","Velocidad de ataque mientras haya un enemigo raro o único cerca - Nivel","ความเร็วในการโจมตี ขณะมี ศัตรูแรร์หรือยูนิค อยู่ใกล้ - อันดับ","當附近有稀有或傳奇敵人攻擊速度－階級","[0,1,2,3]","Unveiling weapons","Décryptez des armes","Enthüllen: Waffen","アンヴェール: 武器","무기 장막 해제","Revelando armas","Нераскрытое свойство оружия","Desencriptando armas","เปิดผนึก อาวุธ","揭露武器"
