"rownum","Id"
0,"Talisman"
1,"Bloodlines"
2,"Tempest"
3,"Labyrinth"
4,"Perandus"
5,"Atziri"
6,"Beyond"
7,"PVP"
8,"Doedre"
9,"Whakawairua"
10,"Vorici"
11,"Tora"
12,"Elreon"
13,"Vagan"
14,"Haku"
15,"Catarina"
16,"Torment"
17,"ObasTrial"
18,"UndeadSiege"
19,"Malachai"
20,"Hideout"
21,"Kaom"
22,"Prophecy"
23,"PaleCourt"
24,"Town"
25,"Monolith"
26,"HallowedGround"
27,"ZanaQuest"
28,"Breach"
29,"Doedre2"
30,"SolarisAndLunaris"
31,"BrineKing"
32,"Abberath"
33,"Yugul"
34,"Phoenix"
35,"Doedre3"
36,"Harbinger"
37,"Abyss"
38,"ElderGuardian"
39,"Shaper"
40,"Bestiary"
41,"Incursion"
42,"Delve"
43,"Betrayal"
44,"MapRoom"
45,"BetrayalCatarina"
46,"Synthesis"
47,"Legion"
48,"Dominus"
49,"Blight"
50,"Affliction"
51,"Harvest"
52,"Heist"
53,"Ritual"
54,"Maven"
55,"Ultimatum"
56,"Expedition"
57,"Hellscape"
58,"Archnemesis"
59,"PrimordialInfluence"
60,"Sentinel"
61,"Lake"
62,"Sanctum"
63,"DominationPantheon"
64,"GallowsLoginScene"
65,"EndgameMap"
66,"VoodooKingFight"
