"rownum","Id","i32","f32","rid","rid","rid"
0,"IgnitedGround",4,24,3451,182,""
1,"ChilledGround",4,0,5873,184,""
2,"CausticCloud",8,5,4424,481,""
3,"Tar",4,0,4760,185,""
4,"Smoke",8,0,11709,1411,""
5,"Desecration",4,24,2127,222,""
6,"Consecration",10,0,8224,223,1176
7,"ShockedGround",4,0,9655,246,""
8,"Vortex",4,4,4653,639,""
9,"Haste",4,0,"",724,""
10,"Sandstorm",0,24,"",813,""
11,"Blizzard",4,0,"",743,184
12,"Spores",4,24,6888,464,""
13,"DevouringDarkness",4,24,"",782,""
14,"Quicksand",0,24,7503,862,""
15,"Blood",0,24,14009,1052,""
16,"TemporalAnomaly",10,0,9525,941,1325
17,"OrionMeteor",0,0,"",1355,246
18,"CrownOfThorns",4,24,3451,1487,""
19,"VaalCloud",4,24,"",317,""
20,"Profane",10,0,"",1459,""
21,"ChaosOfferingOfJudgement",6,24,"",506,522
22,"FireOfferingOfJudgement",6,24,"",505,522
23,"DespairBearGeyser",0,24,"",806,""
24,"Fungal",0,0,"",1315,1317
25,"BestiarySpiderWeb",0,24,20762,971,""
26,"Unused",0,0,"",184,""
27,"Oil",4,24,15226,1540,182
28,"ScorchedGround",4,0,"",1627,""
29,"GravityWell",0,24,"",1666,""
30,"LightningVortex",4,4,13258,1696,""
31,"BrittleGround",4,0,"",1943,""
32,"SappedGround",4,0,"",1944,""
33,"Sludge",4,0,17610,1952,""
34,"Sanctum",4,0,16862,2042,""
35,"SanctumFire",4,0,3451,183,""
36,"SanctumChaos",8,5,4424,482,""
37,"LivingBlood",4,0,"",1347,1348
38,"FungalArtillery",4,24,"",1351,""
39,"ChimeraCorrupted",4,0,16412,2157,""
40,"Jagged",0,0,"",2165,""
41,"Sulphite",0,0,17562,2174,""
42,"PhysFireLifeRecover",4,24,19011,2366,""
43,"PoisonCloud",0,0,"",2565,""
44,"SpiderWeb",4,0,20762,2568,""
