"rownum","Id","Text","XBoxText","XBoxText2","HASH32","PlaystationText","string"
0,"GameName","Path of Exile 2","","",1004783882,"",""
1,"Error","Error","","",3680250093,"",""
2,"FatalError","Fatal Error","","",4070060945,"",""
3,"Exception","Exception","","",4223784949,"",""
4,"PassiveInfoTotal","{0} total Passive Skill Points ({1} allocated)","","",3130869321,"",""
5,"PassiveInfoLevel","{0} Passive Skill Points from character level","","",1723688930,"",""
6,"PassiveInfoQuest","({1} from {0})","","",2220568469,"",""
7,"PassiveInfoQuestTotal","{0} Passive Skill Points from quests:","","",2304735434,"",""
8,"PassiveInfoAscendancy","{0} total Ascendancy Skill Points ({1} allocated)","","",3843288122,"",""
9,"PassiveInfoAscendancySkills","{0} Passive Skill Points from Ascendancy Passive Skills","","",2414678837,"",""
10,"AtlasPassiveInfoTotal","{0} total Atlas Passive Skill points ({1} allocated)","","",2829851326,"",""
11,"AtlasPassiveInfoBonus","{0}/{1} points from Atlas Bonus Objectives","","",1208954878,"",""
12,"AtlasPassiveInfoQuest","({1}/{2} from {0})","","",2042252757,"",""
13,"AtlasPassiveInfoQuestTotal","{0}/{1} points from quests:","","",3726340315,"",""
14,"BugReportInstructions","Bug report submitted and reference added to your clipboard. Please post any relevant information to the Bug Reports forum along with the reference ID.","","Please post your bug report number and a short description of the bug you're encountering in the \""Console Bug Reports\"" section of the Path of Exile forums at pathofexile.com.",178533524,"Please post your bug report number and a short description of the bug you're encountering in the \""Console Bug Reports\"" section of the Path of Exile forums at pathofexile.com.",""
15,"NoLocalPlayer","Player not found in this area.","","",2038616933,"",""
16,"PvPTeam1","Red","","",1296032131,"",""
17,"PvPTeam2","Blue","","",460309644,"",""
18,"PvPTeam3","Green","","",3315845158,"",""
19,"PvPGainPoint","{0} Team gains a point","","",2586663663,"",""
20,"PvPWinMatch","{0} Team has won the match","","",545507044,"",""
21,"PvPRoundDraw","Draw","","",2192364509,"",""
22,"PvPMatchDraw","Match ended in a draw","","",3406377088,"",""
23,"PvPMatchPointChange","Point Change: <valuedefault>{{{0}}}","","",255069204,"",""
24,"PvPMatchRatingChange","Rating Change: <valuedefault>{{{0}}}","","",2786428946,"",""
25,"PvPMatchLeoReputationGained","Leo Reputation Gained: <valuedefault>{{{0}}}","","",150416678,"",""
26,"PvPTimeLeft","Time Left: <valuedefault>{{{0}}}","","",1753808341,"",""
