"rownum","rid","rid","rid","rid"
0,31,6867,805,8336
1,31,16015,1878,8336
2,30,15687,1829,8337
3,30,6867,806,8337
4,30,11385,1340,8337
5,30,16015,1880,8337
6,32,15597,1826,8338
7,32,6867,804,8338
8,32,3114,483,8338
9,32,16015,1879,8338
10,32,16455,1914,8338
11,31,16457,1913,8336
12,30,16456,1915,8337
13,31,17513,1965,8336
14,32,17514,1966,8338
15,30,17515,1967,8337
16,30,17516,1968,8337
17,32,20106,2208,""
18,30,20107,2209,""
19,31,20108,2210,""
20,32,20310,2232,""
21,30,20309,2231,""
22,31,20308,2230,""
