"rownum","Id","InventoryIdKey","InventoryTypeKey","bool","bool","i32","bool","i32"
0,"MainInventory1",0,12,"","",5,"",24
1,"BodyArmour1",1,2,1,1,3,"",6
2,"Weapon1",2,2,1,1,4,"",0
3,"Offhand1",3,2,1,1,4,"",1
4,"Helm1",4,2,1,1,2,"",8
5,"Amulet1",5,1,1,1,1,"",15
6,"Ring1",6,1,1,1,1,"",12
7,"Ring2",6,1,1,1,1,"",13
8,"Gloves1",7,2,1,1,2,"",9
9,"Boots1",8,2,1,1,2,"",10
10,"Belt1",9,2,1,1,1,"",14
11,"Flask1",10,5,"",1,2,"",24
12,"Cursor1",11,4,1,"",4,"",24
13,"Map1",12,2,"","",2,"",24
14,"Weapon2",2,2,1,1,4,"",2
15,"Offhand2",3,2,1,1,4,"",3
16,"StrMasterCrafting",15,2,1,"",4,"",24
17,"StrDexMasterCrafting",15,2,1,"",4,"",24
18,"DexMasterCrafting",15,2,1,"",4,"",24
19,"DexIntMasterCrafting",15,2,1,"",4,"",24
20,"IntMasterCrafting",15,2,1,"",4,"",24
21,"StrIntMasterCrafting",15,2,1,"",4,"",24
22,"PVPMasterCrafting",15,2,1,"",4,"",24
23,"PassiveJewels1",13,57,"","",1,"",24
24,"AnimatedArmour1",14,10,"","",4,"",24
25,"GuildTag1",12,6,"","",1,"",24
26,"StashInventoryId",17,1,"","",1,"",24
27,"DivinationCardTrade",15,4,1,"",8,"",24
28,"Darkshrine",15,2,1,"",4,"",24
29,"TalismanTrade",15,5,"","",1,"",24
30,"Leaguestone1",16,3,"","",1,"",24
31,"BestiaryCrafting",15,2,1,"",4,"",24
32,"IncursionSacrifice",15,2,"","",5,"",24
33,"BetrayalUnveiling",15,2,1,"",4,"",24
34,"ItemSynthesisInput",15,6,"","",4,"",24
35,"ItemSynthesisOutput",15,2,1,"",4,"",24
36,"BlightCraftingInput",15,4,"","",1,"",24
37,"BlightCraftingItem",15,2,1,"",4,"",24
38,"DONOTUSE5",15,5,"","",1,"",24
39,"AtlasUpgrades1",28,4,"","",1,1,24
40,"AtlasUpgradesStorage",28,4,"","",1,1,24
41,"ExpeditionMapMission",15,1,1,"",1,"",24
42,"ExpeditionDeal1",15,2,1,"",4,"",24
43,"HarvestCraftingItem",15,2,1,"",4,"",24
44,"HeistContractMission",15,1,1,"",1,"",24
45,"HeistNpcEquipment1",34,7,"","",2,1,24
46,"HeistNpcEquipment2",34,7,"","",2,1,24
47,"HeistNpcEquipment3",34,7,"","",2,1,24
48,"HeistNpcEquipment4",34,7,"","",2,1,24
49,"HeistNpcEquipment5",34,7,"","",2,1,24
50,"HeistNpcEquipment6",34,7,"","",2,1,24
51,"HeistNpcEquipment7",34,7,"","",2,1,24
52,"HeistNpcEquipment8",34,7,"","",2,1,24
53,"HeistNpcEquipment9",34,7,"","",2,1,24
54,"Trinket1",35,1,1,1,1,"",24
55,"HeistBlueprintMission",15,1,1,"",1,"",24
56,"HeistStorage1",36,107,"","",12,1,24
57,"RitualSavedRewards1",37,100,"","",4,"",24
58,"DONOTUSE1",12,3,"","",2,1,24
59,"DONOTUSE2",12,3,"","",2,1,24
60,"DONOTUSE3",12,3,"","",2,1,24
61,"DONOTUSE4",12,3,"","",2,1,24
62,"SkillSlots1",41,14,"","",1,"",24
63,"Currency1",42,5,"","",5,"",24
64,"MapCurrency1",43,3,"","",1,"",24
65,"MobileMapInventory1",12,64,"","",5,"",24
66,"UltimatumCraftingItem",44,2,1,"",4,"",24
67,"DelveCraftingItem",15,1,1,"",1,"",24
68,"MobileHeldMapsInventory1",12,5,"","",5,"",24
69,"DONOTUSE7",29,14,"","",9,1,24
70,"HellscapeModificationInventory1",45,6,"","",5,"",24
71,"DONOTUSE6",15,1,1,"",1,"",24
72,"SentinelDroneInventory1",48,6,"","",2,"",24
73,"SentinelStorage1",49,37,"","",10,1,24
74,"LakeTabletInventory1",50,1,1,"",1,"",24
75,"MemoryLineMaps",12,5,"","",1,1,24
76,"Relics1",52,5,"","",4,"",24
77,"RelicStorage1",53,12,"","",12,1,24
78,"SanctumSpecialRelic1",54,1,1,1,2,"",24
79,"Weapon3",2,2,1,1,4,"",4
80,"Offhand3",3,2,1,1,4,"",5
81,"MobileSkillGemCrafting1",15,1,1,"",1,"",24
82,"CurrentSanctumRun1",55,1,1,"",1,"",24
83,"MercenaryCompanionBodyArmour1",1,2,1,"",3,"",24
84,"MercenaryCompanionHelm1",4,2,1,"",2,"",24
85,"MercenaryCompanionGloves1",7,2,1,"",2,"",24
86,"MercenaryCompanionBoots1",8,2,1,"",2,"",24
87,"MercenaryCompanionWeapon1",2,2,1,"",4,"",24
88,"MercenaryCompanionOffhand1",3,2,1,"",4,"",24
89,"ThreeToOneOutput",15,2,1,"",4,"",24
90,"UNUSED1",17,2,1,"",2,"",24
91,"ThreeToOneInput",15,6,"","",4,"",24
92,"UNUSED2",17,2,1,"",2,"",24
93,"UltimatumKey1",56,1,1,"",1,"",24
94,"DefaultAttackSkills1",57,3,"","",1,"",24
95,"AscendancySkills1",57,3,"","",1,"",24
96,"Tower1",58,1,1,"",1,"",24
97,"ExpandedInventory1",0,4,"","",5,"",24
98,"ExpeditionDeal2",15,2,1,"",4,"",24
99,"ExpeditionDeal3",15,2,1,"",4,"",24
100,"UltimatumKeySacrifice1",59,1,1,"",1,"",24
