"rownum","TaggedStat","rid","[rid]","rid","rid"
0,15471,24,[],"",""
1,15472,8542,[],"",""
2,15571,"",[476],"",""
3,15578,"",[479],"",""
4,15590,"",[],1,""
5,15591,"",[],2,""
6,15592,"",[],4,""
7,15593,"",[],12,""
8,15594,"",[],9,""
9,15595,"",[],10,""
10,15596,"",[],24,""
11,15653,11,[],"",""
12,15654,10,[],"",""
13,15655,15588,[],"",""
14,15656,1710,[],"",""
15,15657,7222,[],"",""
16,15577,"",[],"",1
17,15583,"",[],"",8
18,15584,"",[],"",2
19,15620,"",[],"",3
20,15621,"",[],"",4
21,15622,"",[],"",5
22,15623,"",[],"",6
23,15624,"",[],"",7
24,15625,"",[],"",9
25,15626,"",[],"",10
26,15627,"",[],"",12
27,15628,"",[],"",13
28,15629,"",[],"",14
29,15630,"",[],"",15
30,15631,"",[],"",16
31,15632,"",[],"",17
32,15633,"",[],"",18
33,15634,"",[],"",19
34,15635,"",[],"",20
35,15636,"",[],"",21
36,15637,"",[],"",22
37,15638,"",[],"",23
38,15639,"",[],"",24
39,15740,2324,[],"",""
