"rownum","Id","TextAudioT1","TextAudioT2","TextAudioT3","TextAudioT4","TextAudioT5","bool","TextAudioT6"
0,"EnvoyGreeting",4383,4391,4398,4408,4413,1,""
1,"MavenBossFightEncounter",4438,4875,5242,5584,5871,"",""
2,"MavenBossVictory",4464,4906,5270,5599,5922,"",""
3,"MavenInvitationToFight",4476,4927,5291,5622,5980,"",""
4,"MavenPassivesWon",4485,4942,5308,5637,5998,"",""
5,"MavenPostfightPrompt",4492,4949,5322,5650,6013,"",""
6,"MavenFirstOffAtlassBossEncounter",4500,4963,5345,5665,6028,"",""
7,"MavenOffAtlasBossEncounter",4503,4969,5348,5669,6031,"",""
8,"MavenFirstOffAtlasBossVictory",4512,4977,5359,5677,6054,"",""
9,"MavenOffAtlasBossVictory",4515,4985,5362,5680,6059,"",""
10,"MavenOffAtlasInvitation",4524,4992,5378,5690,6080,"",""
11,"MavenKitavaComment",4527,5000,5390,5699,6089,"",""
12,"MavenElderComment",4529,5003,5393,5701,6092,"",""
13,"MavenShaperComment",4531,5007,5396,5703,6094,"",""
14,"MavenSirusComment",4534,5010,5399,5705,6097,"",""
15,"MavenGroupBossFightComment",4537,5013,5402,5708,6100,"",""
16,"MavenTrioFightComment",4539,5019,5404,5710,6103,"",""
17,"MavenMerveilFightComment",4542,5025,5407,5713,6106,"",""
18,"MavenWitnessPhaseTransition",4544,5028,5410,5716,6109,"",""
19,"MavenObservingCombatGasp",4552,5040,5040,5728,6118,"",""
20,"MavenIntroMultiBossArena",4555,5067,5422,5740,6130,"",""
21,"MavenOutroMultiBossArena",4565,5082,5436,5749,6145,"",""
22,"MavenReleaseBossIntoArena",4580,5097,5448,5757,6160,"",""
23,"MavenHealSkill",4598,5125,5469,5774,6204,"",""
24,"MavenGuardSkill",4604,5138,5483,5784,6211,"",""
25,"MavenSpaceVines",4610,5145,5489,5790,6215,"",""
26,"MavenSpaceInfuseWeapons",4615,5151,5495,5796,6225,"",""
27,"MavenDamageReductionOrbs",4620,5157,5501,5801,6233,"",""
28,"MavenSpaceFlameWall",4626,5165,5507,5807,6240,"",""
29,"MavenChasingOrb",4631,5172,5514,5813,6246,"",""
30,"MavenSpeedZones",4637,5178,5520,5819,6252,"",""
31,"MavenBossClone",4643,5185,5525,5824,6258,"",""
32,"MavenSpaceCharges",4657,5200,5536,5834,6169,"",""
33,"MavenVoidZones",4657,5200,5536,5834,6169,"",""
34,"MavenAoE",4668,5204,5551,5842,6181,"",""
35,"MavenProjectiles",4678,5218,5559,5848,6190,"",""
36,"MavenTangleInfluenceIntro",8196,8198,8200,8202,8204,"",""
37,"MavenTangleLure",8206,8208,8210,8212,8214,"",""
38,"MavenCleansingFireInfluenceIntro",8216,8218,8220,8222,8224,"",""
39,"MavenCleansingFireLure",8226,8228,8230,8232,8234,"",""
40,"MavenInfiniteHungerEncounter",8236,8238,8240,8242,8244,"",8246
41,"MavenInfiniteHungerDefeated",8248,8250,8252,8254,8256,"",8262
42,"MavenBlackStarEncounter",8268,8271,8273,8275,8277,"",8279
43,"MavenBlackStarDefeated",8281,8283,8285,8287,8289,"",8295
44,"MavenEaterOfWorldsEncounter",8301,8303,8305,8307,8309,"",8315
45,"MavenEaterOfWorldsDefeated",8321,8323,8325,8327,8329,"",8335
46,"MavenSearingExarchEncounter",8341,8343,8345,8347,8349,"",8355
47,"MavenSearingExarchDefeated",8361,8363,8365,8367,8369,"",8375
48,"MavenEldritchLanguageEncounter",8381,8383,8385,8387,8389,"",8391
49,"MavenInteractionWithSearingExarch",8393,8395,"","","","",""
50,"MavenInteractionWithEaterOfWorlds",8396,8400,8402,"","","",""
51,"MavenAllPlayersDead",8404,8406,"","","","",""
52,"MavenAllBossesDead",8408,8410,8412,"","","",""
