"rownum","rid","rid","rid"
0,1634,17018,13668
1,1631,17018,13668
2,1630,17018,13668
3,1635,17018,13668
4,1629,17018,13668
5,1633,17018,13668
6,1632,17018,13668
7,1593,17018,13667
8,1595,17018,13667
9,1598,17018,13667
10,1600,17018,13667
11,1601,17018,13666
12,1597,17018,13667
13,1596,17018,13666
14,1594,17018,13666
15,1599,17018,13666
16,811,17018,13668
17,812,17018,13668
18,813,17018,13669
19,814,17018,13668
20,815,17018,13667
21,816,17018,13667
22,817,17018,13667
23,818,17018,13666
24,819,17018,13666
25,820,17018,13666
26,0,17018,13665
27,33,17018,13665
28,103,17018,13666
29,7,17018,13666
30,11,17018,13665
31,8,17018,13665
32,15,17018,13666
33,1058,17018,13668
34,107,17018,13667
35,106,17018,13666
36,35,17018,13669
37,108,17018,13668
38,50,17018,13669
39,22,17018,13665
40,21,17018,13665
41,20,17018,13665
42,49,17018,13669
43,4,17018,13668
44,3,17018,13667
45,104,17018,13666
46,12,17018,13665
47,27,17018,13666
48,28,17018,13669
49,102,17018,13668
50,1145,17018,13668
51,17,17018,13665
52,9,17018,13665
53,26,17018,13669
54,29,17018,13665
55,183,17018,13668
56,184,17018,13668
57,185,17018,13668
58,186,17018,13667
59,187,17018,13667
60,188,17018,13667
61,189,17018,13667
62,190,17018,13666
63,191,17018,13666
64,192,17018,13666
65,193,17018,13666
66,194,17018,13666
67,1144,17018,13667
68,133,17018,13667
69,135,17018,13667
70,138,17018,13667
71,136,17018,13667
72,134,17018,13667
73,137,17018,13667
74,140,17018,13669
75,139,17018,13668
76,141,17018,13667
77,689,17018,13668
78,659,17018,13668
79,673,17018,13668
80,643,17018,13668
81,675,17018,13668
82,645,17018,13668
83,687,17018,13668
84,657,17018,13669
85,690,17018,13668
86,660,17018,13668
87,683,17018,13668
88,653,17018,13668
89,678,17018,13668
90,648,17018,13668
91,681,17018,13668
92,651,17018,13668
93,699,17018,13668
94,669,17018,13668
95,674,17018,13668
96,644,17018,13668
97,691,17018,13668
98,661,17018,13668
99,684,17018,13668
100,654,17018,13668
101,693,17018,13668
102,663,17018,13668
103,695,17018,13668
104,665,17018,13668
105,694,17018,13668
106,696,17018,13668
107,666,17018,13668
108,664,17018,13668
109,677,17018,13668
110,647,17018,13668
111,680,17018,13668
112,650,17018,13668
113,671,17018,13668
114,679,17018,13668
115,649,17018,13668
116,641,17018,13668
117,682,17018,13668
118,652,17018,13668
119,700,17018,13668
120,670,17018,13668
121,672,17018,13668
122,686,17018,13668
123,656,17018,13668
124,642,17018,13668
125,692,17018,13668
126,662,17018,13668
127,698,17018,13668
128,668,17018,13668
129,697,17018,13668
130,667,17018,13668
131,688,17018,13668
132,658,17018,13668
133,685,17018,13668
134,655,17018,13668
135,676,17018,13668
136,646,17018,13668
137,2,17018,13665
138,1157,17018,13668
139,1155,17018,13668
140,1158,17018,13669
141,1152,17018,13667
142,1151,17018,13667
143,1150,17018,13667
144,1153,17018,13668
145,1156,17018,13667
146,1154,17018,13668
147,51,17018,13669
148,52,17018,13669
149,198,17018,13668
150,199,17018,13668
151,200,17018,13668
152,196,17018,13668
153,197,17018,13668
154,195,17018,13669
155,19,17018,13667
156,120,17018,13669
157,109,17018,13669
158,18,17018,13665
159,1602,17018,13667
160,1143,17018,13666
161,1581,17018,13668
162,1583,17018,13668
163,211,17018,13669
164,210,17018,13668
165,209,17018,13667
166,208,17018,13666
167,207,17018,13669
168,206,17018,13668
169,205,17018,13667
170,204,17018,13666
171,1582,17018,13668
172,117,17018,13669
173,6,17018,13669
174,160,17018,13667
175,154,17018,13667
176,158,17018,13667
177,166,17018,13668
178,164,17018,13667
179,156,17018,13668
180,145,17018,13667
181,162,17018,13669
182,155,17018,13668
183,153,17018,13667
184,165,17018,13668
185,144,17018,13667
186,147,17018,13667
187,159,17018,13669
188,142,17018,13667
189,157,17018,13667
190,150,17018,13667
191,148,17018,13667
192,163,17018,13667
193,143,17018,13667
194,146,17018,13667
195,151,17018,13667
196,149,17018,13667
197,152,17018,13667
198,161,17018,13667
199,38,17018,13667
200,13,17018,13666
201,212,17018,13669
202,94,17018,13667
203,93,17018,13667
204,91,17018,13667
205,92,17018,13668
206,95,17018,13669
207,10,17018,13667
208,5,17018,13666
209,14,17018,13668
210,16,17018,13665
211,201,17018,13669
212,862,17018,13669
213,861,17018,13669
214,859,17018,13669
215,860,17018,13669
216,858,17018,13669
217,1650,17018,13668
218,1651,17018,13669
219,1652,17018,13668
220,1653,17018,13669
