"rownum","GrantedEffect","Stats","StatsValuesPermille","AddTypes","AddMinionTypes","[i32]"
0,5221,[20071],[1000],[],[],[]
1,33,[18426],[200],[],[],[]
2,281,[19080],[300],[],[],[]
3,46,[18779],[500],[],[],[]
4,200,[19058],[200],[],[],[]
5,274,[1193],[200],[],[],[]
6,276,[6425],[2000],[],[],[]
7,277,[6425],[2000],[],[],[]
8,163,[392],[1500],[],[],[]
9,188,[1878],[500],[],[],[]
10,177,[581],[1000],[],[],[]
11,278,[209],[1000],[],[],[]
12,158,[1878],[750],[],[],[]
13,32,[18779],[1000],[],[],[]
14,27,[20010],[1000],[],[],[]
15,101,[7380],[1000],[],[],[]
16,74,[166],[150],[],[],[]
17,5219,[18646],[-15000],[],[],[]
18,53,[7484],[250],[],[],[]
19,5222,[1174],[1000],[],[],[]
20,72,[20009],[200],[],[],[]
21,43,[3417],[500],[],[],[]
22,73,[19760],[1000],[],[],[]
23,62,[1174],[500],[],[],[]
24,55,[1348],[500],[],[],[]
25,56,[1348],[500],[],[],[]
26,57,[1348],[500],[],[],[]
27,39,[1348],[500],[],[],[]
28,199,[20011],[50000],[],[],[]
29,37,[3219],[1000],[],[],[]
30,5220,[19477],[500],[],[],"[0,2]"
31,120,[19697],[1000],[],[],[]
32,189,[555],[10000],[],[],[]
33,45,[17750],[100],[],[],[]
34,58,[17750],[200],[],[],[]
35,76,[18961],[5000],[],[],[]
36,83,[13319],[-500],[],[],[]
37,287,[349],[200000],[],[],[]
38,40,[1348],[500],[],[],[]
39,78,[349],[50000],[],[],[]
40,80,[2036],[750],[],[],[]
41,5205,[19016],[200],[],[],[]
42,286,[18176],[2500],[],[],[]
43,31,[1060],[1000],[],[],[]
44,268,[17750],[1200],[],[],[]
45,285,[1174],[500],[],[],[]
46,30,[17750],[200],[],[],[]
47,42,[1348],[500],[],[],[]
48,36,[13319],[-250],[],[],[]
49,312,[19020],[1000],[],[],[]
50,89,[17750],[100],[],[],[]
51,81,[20066],[1000],[],[],[]
52,314,[9241],[2500],[],[],[]
53,64,[621],[2000],[],[],[]
54,85,[9433],[1000],[],[],[]
55,103,[626],[1000],[],[],[]
56,82,[634],[1000],[],[],[]
57,87,[634],[1500],[],[],[]
58,313,[349],[50000],[],[],[]
59,48,[768],[50],[],[],[]
60,160,[18454],[4000],[],[],[]
61,288,[9614],[1000],[],[],[]
62,291,[17750],[200],[],[],[]
63,289,[194],[1500],[],[],[]
64,96,[95],[2500],[],[],[]
65,300,[18756],[500],[],[],[]
66,63,[20527],[-750],[],[],[]
67,5213,[18426],[150],[],[],[]
68,294,[349],[300000],[],[],[]
69,41,[11726],[750],[],[],[]
70,292,[17750],[200],[],[],[]
71,91,[18426],[500],[],[],[]
72,5212,[18637],[100],[],[],[]
73,321,[625],[1000],[],[],[]
74,75,[20574],[100],[],[],[0]
75,115,[1878],[1000],[],[],[]
76,157,[19825],[2500],[],[],"[1,2]"
