"rownum","rid","rid","i32","bool","bool","bool","bool","bool"
0,15601,29,1,"",1,"",1,""
1,15605,30,1,"",1,"",1,""
2,15606,30,1,"",1,"",1,""
3,16205,35,0,1,1,1,1,""
4,17053,38,0,1,"","","",""
5,17250,37,0,1,"","","",""
6,17323,39,0,"","","","",""
7,17815,48,0,1,"","","",""
8,17863,50,0,"",1,"",1,""
9,18910,83,2,"","","",1,""
10,19371,93,0,"","","","",""
11,19778,96,0,"",1,"",1,""
12,19790,97,0,"",1,"",1,""
13,20110,99,0,"","","","",""
14,20132,100,0,1,"",1,"",""
15,20291,87,0,"",1,"",1,""
16,20970,113,0,1,1,1,"",""
17,21058,114,0,1,1,1,"",""
18,20352,109,0,"","","","",""
