"rownum","QuestFlag","CompletionString","Boss","bool"
0,185,5004,"Atziri",""
1,978,5005,"UberAtziri",""
2,979,5006,"Shaper",""
3,980,5007,"Elder",""
4,981,5008,"UberElder",""
5,1898,6291,"Sirus",""
6,982,5044,"SiriusAL8",""
7,2183,5351,"Oshabi",""
8,2358,5702,"Maven",""
9,2609,6292,"SearingExarch",""
10,2610,6293,"EaterOfWorlds",""
11,2611,6294,"SotABossEvent",""
12,2616,6483,"UberEater",""
13,2617,6484,"UberExarch",""
14,2618,6485,"UberMaven",""
15,2622,6489,"UberShaper",""
16,2619,6486,"UberSirus",""
17,2621,6488,"UberUberElder",""
18,2620,6487,"UberVenarius",""
19,2615,6482,"UberUberBossEvent",""
20,42,"","Nessa",""
21,5,"","Brutus",1
22,47,"","Fairgraves",""
23,116,"","Dweller",""
24,531,"","Fairgraves2",""
25,493,"","Siosa",""
26,223,"","Dominus",1
27,646,"","Descent2Boss1",1
28,647,"","Descent2Boss2",1
29,648,"","Descent2Boss3",1
30,649,"","Descent2Boss4",1
31,654,"","Descent2Boss5",1
32,9,"","Merveil",1
33,86,"","VaalOversoul",1
34,217,"","Piety",1
35,694,"","Kaom",1
36,810,"","Daresso",1
37,665,"","Malachai",1
38,976,"","DescentKilledBoss1",1
39,977,"","Izaro",1
40,3000,7518,"ActOneComplete",""
41,3725,7519,"ActTwoComplete",""
