"rownum","rid","rid","i32"
0,15656,15656,3
1,15657,15657,3
2,15653,15653,0
3,15654,15654,0
4,15655,15655,0
5,15658,15658,0
6,15659,210,0
7,15661,5872,0
8,15664,210,1
9,15665,210,2
10,15666,210,3
11,15667,11191,1
12,15585,11191,2
13,15668,166,1
14,15669,166,2
15,15670,15421,1
16,15671,15421,2
17,15683,15580,3
18,15681,15681,1
19,15682,15682,3
20,15643,15643,4
21,15644,15644,4
22,15645,15645,4
23,15674,15674,0
24,15675,15674,1
25,15676,15674,3
26,15678,15677,1
27,15679,15677,2
28,15680,15680,3
29,15672,15672,0
30,15673,15672,3
31,15660,15660,0
32,15662,15660,2
33,15663,15660,3
34,15586,15586,4
35,15684,15705,1
36,15685,15685,0
37,15686,15706,3
38,15694,15694,3
39,15695,15695,2
40,15696,15696,1
41,15697,15697,2
42,15698,15698,2
43,15726,15674,2
44,15733,15733,4
45,15732,15732,4
