"rownum","rid","rid","[rid]"
0,18704,10085,"[17581,18706]"
1,18705,10086,"[17582,18706]"
2,18717,769,[]
3,18718,770,[]
4,18719,771,[]
5,18720,772,[]
6,18721,773,[]
7,18722,774,[]
8,18723,775,[]
9,18724,776,[]
10,18725,777,[]
11,18726,778,[]
12,18727,786,[]
13,18728,787,[]
14,18729,788,[]
15,18730,789,[]
16,18731,790,[]
17,18732,791,[]
18,18733,792,[]
19,18734,793,[]
20,18735,794,[]
21,18736,795,[]
22,18737,782,[]
23,18738,799,[]
24,18739,17592,[]
25,18740,316,[]
26,18741,17593,[]
27,18742,317,[]
28,18743,312,[]
29,18744,313,[]
