"rownum","rid","[rid]"
0,2258,"[13759,13762,13765,13767,13769]"
1,2259,"[13772,13775,13778,13780,13782]"
2,2260,"[13785,13788,13791,13793,13795]"
3,2261,"[13798,13801,13804,13806,13808]"
4,2262,"[13811,13814,13817,13819,13821]"
5,2263,"[13824,13827,13830,13832,13834]"
6,2264,"[13837,13840,13843,13845,13847]"
7,2265,"[13850,13853,13856,13858,13860]"
8,2266,"[13863,13866,13869,13871,13873]"
9,2267,"[13876,13879,13882,13884,13886]"
10,2268,"[13889,13892,13895,13897,13899]"
11,2269,[13902]
12,2270,[13915]
13,2271,"[13928,13931,13934,13936,13938]"
14,2272,"[13941,13944,13947,13949,13951]"
15,2273,"[13954,13957,13962,13964,13966]"
16,2274,[13969]
17,2275,"[13985,13988,13991,13993,13995]"
18,2276,"[14000,14003,14006,14008,14010]"
19,2277,"[14015,14018,14021,14023,14025]"
20,2278,"[14030,14032,14034,14036,14038]"
21,2279,"[14043,14045,14047,14049,14051]"
22,2280,"[14056,14058,14060,14062,14064]"
23,2281,"[14069,14071,14073,14075,14077]"
24,2282,"[14080,14082,14084,14086,14088]"
25,2283,"[14091,14093,14095,14097,14099]"
26,2284,"[14102,14104,14106,14107,14108]"
27,2285,"[14110,14112,14114,14115,14116]"
28,2286,"[14118,14120,14122,14123,14124]"
29,2287,"[14126,14128,14130,14131,14132]"
30,2288,"[14134,14136,14138,14139,14140]"
31,2289,"[14142,14144,14146,14147,14148]"
32,2290,"[14150,14151,14152,14153,14154]"
33,2291,"[14156,14157,14158,14159,14160]"
34,2292,"[14162,14163,14164,14165,14166]"
35,2293,"[14168,14170,14172,14173,14174]"
36,2294,"[14176,14178,14180,14181,14182]"
37,2295,"[14184,14186,14188,14189,14190]"
38,2296,"[14192,14193,14194,14195,14196]"
39,2297,"[14198,14199,14200,14201,14202]"
40,2298,"[14204,14205,14206,14207,14208]"
41,2299,"[14210,14213,14216,14218,14220]"
42,2300,"[14223,14225,14227,14229,14231]"
43,2301,"[14234,14236,14238,14240,14242]"
44,2302,"[14245,14248,14251,14253,14255]"
45,2303,"[14258,14261,14264,14266,14268]"
46,2304,[14271]
47,2305,[14293]
48,2306,[14303]
49,2307,[14314]
