"rownum","rid","rid","[i32]","string","bool","[rid]"
0,0,0,[5929],"","",[]
1,1,0,[5930],"","",[]
2,2,0,[5928],"","",[]
3,7,0,[5955],"","",[]
4,3,0,[5931],"","",[]
5,8,0,[5932],"","",[]
6,9,0,[5933],"","",[]
7,10,0,[5952],"","",[]
8,12,0,[5951],"","",[]
9,13,0,[5953],"","",[]
10,14,0,[5934],"","",[]
11,15,0,[5935],"","",[]
12,16,0,[5936],"","",[]
13,17,0,[5937],"","",[]
14,18,0,[5938],"","",[]
15,19,0,[5939],"","",[]
16,20,0,[5940],"","",[]
17,21,0,[5941],"","",[]
18,22,0,[5942],"","",[]
19,23,0,[5943],"","",[]
20,24,0,[5944],"","",[]
21,25,0,[5945],"","",[]
22,26,0,[5946],"","",[]
23,27,0,[5947],"","",[]
24,28,0,[5948],"","",[]
25,29,0,[5949],"","",[]
26,30,0,[5950],"","",[]
27,31,0,[5954],"","",[]
28,7,1,[7012],"","",[]
29,23,1,[7018],"","",[]
30,1,1,[7019],"","",[]
31,28,1,[7020],"","",[]
32,3,1,[7021],"","",[]
33,31,1,[7022],"","",[]
34,2,1,[7023],"","",[]
35,0,1,[7024],"","",[]
36,9,1,[7025],"","",[]
37,7,2,[11729],"","",[]
38,28,2,[11738],"","",[]
39,31,2,[11742],"","",[]
40,0,2,[11745],"","",[]
41,1,2,[11737],"","",[]
42,3,2,[11739],"","",[]
43,2,2,[11743],"","",[]
44,9,2,[11741],"","",[]
45,7,3,[12621],"","",[]
46,1,3,[12627],"","",[]
47,28,3,[12628],"","",[]
48,3,3,[12629],"","",[]
49,31,3,[12631],"","",[]
50,2,3,[12632],"","",[]
51,0,3,[12633],"","",[]
52,9,3,[12630],"","",[]
53,7,4,[13162],"","",[]
54,0,4,[13174],"","",[]
55,1,4,[13168],"","",[]
56,3,4,[13170],"","",[]
57,2,4,[13173],"","",[]
58,10,4,[13171],"","",[]
59,28,4,[13169],"","",[]
60,31,4,[13172],"","",[]
61,7,5,[13885],"","",[]
62,1,5,[13888],"","",[]
63,3,5,[13890],"","",[]
64,8,5,[13891],"","",[]
65,9,5,[13896],"","",[]
66,31,5,[13892],"","",[]
67,27,5,[13889],"","",[]
68,2,5,[13894],"","",[]
69,0,5,[13895],"","",[]
70,32,5,[13893],"","",[]
71,33,5,[13893],"","",[]
72,0,7,[16240],"","",[]
73,1,7,[16241],"","",[]
74,3,7,[16242],"","",[]
75,2,7,[16243],"","",[]
76,9,7,[16244],"","",[]
77,7,7,[16245],"","",[]
78,28,7,[16247],"","",[]
79,27,7,[16247],"","",[]
80,31,7,[16248],"","",[]
81,10,7,[16249],"","",[]
82,7,8,[17123],"","",[]
83,1,8,[17125],"","",[]
84,3,8,[17126],"","",[]
85,9,8,[17127],"","",[]
86,31,8,[17129],"","",[]
87,28,8,[17130],"","",[]
88,27,8,[17131],"","",[]
89,10,8,[17132],"","",[]
90,2,8,[17133],"","",[]
91,0,8,[17134],"","",[]
92,36,9,[17322],"","",[17322]
93,36,10,[17635],"WinAnimation","",[17635]
94,36,11,[17868],"","",[17868]
95,37,9,[17334],"","",[]
96,37,10,[17644],"","",[]
97,37,11,[17879],"","",[]
98,39,9,[17344],"","",[]
99,38,9,[17346],"","",[]
100,38,10,[17652],"","",[]
101,38,11,[17887],"","",[]
102,40,9,[17358],"","",[]
103,4,9,[17360],"","",[]
104,4,10,[17661],"","",[]
105,4,11,[17899],"","",[]
106,8,9,[17377],"","",[]
107,8,10,[17669],"","",[]
108,8,11,[17910],"","",[]
109,9,9,[17377],"WinAnimation","",[]
110,9,10,[17669],"WinAnimation","",[]
111,9,11,[17910],"WinAnimation","",[]
112,41,9,[17400],"WinAnimation","",[]
113,41,10,[17685],"WinAnimation","",[]
114,41,11,[17923],"WinAnimation","",[]
115,43,9,[17417],"ImpressedAnimation","",[17417]
116,43,10,[17693],"ImpressedAnimation","",[17693]
117,43,11,[17933],"ImpressedAnimation","",[17933]
118,42,9,[17429],"","",[17429]
119,42,10,[17705],"","",[17705]
120,42,11,[17943],"","",[17943]
121,11,9,[17442],"ImpressedAnimation","",[]
122,11,10,[17717],"ImpressedAnimation","",[]
123,11,11,[17956],"ImpressedAnimation","",[]
124,28,9,[17457],"ImpressedAnimation","",[]
125,28,10,[17726],"ImpressedAnimation","",[]
126,28,11,[17967],"ImpressedAnimation","",[]
127,27,9,[17457],"WinAnimation","",[]
