"rownum","Item","NamePlural","ScriptReward"
0,11,"Orbs of Alteration","alt"
1,7,"Orbs of Chance","chance"
2,17,"Glassblower's Baubles","bauble"
3,19,"Chromatic Orbs","chrome"
4,21,"Jeweller's Orbs","jewellers"
5,6,"Orbs of Alchemy","alch"
6,20,"Orbs of Fusing","fusing"
7,12,"Orbs of Scouring","scour"
8,25,"Cartographer's Chisels","chisel"
9,2,"Chaos Orbs","chaos"
10,212,"Orbs of Binding","orb-of-binding"
11,8,"Orbs of Regret","regret"
12,18,"Gemcutter's Prisms","gcp"
13,23,"Blessed Orbs","blessed"
14,38,"Vaal Orbs","vaal"
15,213,"Orbs of Horizon","orb-of-horizons"
16,4040,"Instilling Orbs","instilling-orb"
17,14,"Regal Orbs","regal"
18,4039,"Enkindling Orbs","enkindling-orb"
19,9,"Orbs of Unmaking","orb-of-unmaking"
20,188,"Awakened Sextants","awakened-sextant"
21,3077,"Stacked Decks","stacked-deck"
22,190,"Veiled Scarabs","veiled-scarab"
23,3,"Veiled Orbs","veiled-orb"
24,211,"Orbs of Annulment","annul"
25,22,"Divine Orbs","divine"
26,13,"Exalted Orbs","exalted"
27,2870,"Divine Vessels","divine-vessel"
28,24,"Sacred Orbs","sacred-orb"
29,5,"Mirrors of Kalandra","mirror"
30,0,"Blacksmith's Whetstones","whetstone"
31,4,"Armourer's Scraps","scrap"
32,10,"Orbs of Transmutation","transmute"
33,15,"Orbs of Augmentation","aug"
