"rownum","MonsterVarietiesKey","BestiaryGroupsKey","Name","BestiaryEncountersKey","bool","IconSmall","Icon","Boss_MonsterVarietiesKey","BestiaryGenusKey","bool","BestiaryCapturableMonstersKey","IsDisabled","i32","bool"
0,105,3,"Cave Beast",10,"","","","",0,"","","",1323,1
1,106,3,"Enraptured Beast",10,"","","","",0,"","","",1323,1
2,107,3,"Enraptured Beast",10,"","","","",0,"",1,"",1323,1
3,120,3,"Bone Cruncher",10,"","","","",0,"","","",1323,1
4,121,3,"Hairy Bonecruncher",10,"","","","",0,"","","",1323,1
5,122,3,"Shaggy Monstrosity",10,"","","","",0,"","","",1323,1
6,123,3,"Thicket Hulk",10,"","","","",0,"","","",1323,1
7,124,3,"Skeletal Beast",10,"","","","",0,"","","",1323,1
8,128,3,"Corrupted Beast",10,"","","","",0,"","","",1323,1
9,131,3,"Skeletal Beast",10,"","","",124,0,"",7,1,1323,""
10,138,3,"Armour Cruncher",10,"","","","",0,"","","",1323,1
11,139,3,"Forest Beast",10,"","","","",0,"","","",1323,1
12,217,1,"Goatman",6,"","","","",1,"","","",1323,1
13,218,1,"Elder-Blessed Goatman",6,"","","","",1,"","",1,1323,""
14,220,1,"Goatman Stomper",6,"","","","",1,"","","",1323,1
15,231,1,"Bearded Devil",6,"","","","",1,"","",1,1323,""
16,232,1,"Alpine Devil",6,"","","","",1,"","","",1323,1
17,233,1,"Alpine Devil",6,"","","","",1,"",16,"",1323,1
18,234,1,"Bearded Devil",6,"","","","",1,"",15,"",1323,1
19,258,1,"Goatman Shaman",6,"","","","",2,"","","",1323,1
20,268,1,"Goatman Fire-raiser",6,"","","","",2,"","","",1323,1
21,269,1,"Bearded Shaman",6,"","","","",2,"","","",1323,1
22,270,1,"Bearded Skycaller",6,"","","","",2,"","","",1323,1
23,271,1,"Alpine Shaman",6,"","","","",2,"","","",1323,1
24,272,1,"Alpine Shaman",6,"","","","",2,"",23,"",1323,1
25,273,1,"Hill Devil",6,"","","","",1,"","","",1323,1
26,274,1,"Colossus Crusher",6,"","","","",1,"","","",1323,1
27,295,2,"Arctic Wolf",7,"","","","",4,"","","",1323,1
28,296,2,"Snow Wolf",7,"","","","",4,"","","",1323,1
29,297,2,"Freezing Wolf",7,"","","","",4,"","","",1323,1
30,299,2,"Dire Wolf",7,"","","","",4,"","",1,1323,""
31,312,0,"Elder-Blessed Hellion",1,"","","","",3,"","",1,1323,""
32,315,0,"Flame Hellion",1,"","","","",3,"","","",1323,1
33,319,0,"Dune Hellion",1,"","","","",3,"","","",1323,1
34,320,0,"Ruins Hellion",1,"","","","",3,"","","",1323,1
35,323,0,"Mountain Hellion",2,"","","","",3,"","","",1323,1
36,325,0,"Mountain Hellion Alpha",2,"","","","",3,"","","",1323,1
37,327,0,"Enslaved Hellion",1,"","","","",3,"","","",1323,1
38,329,0,"Enslaved Hellion",1,"","","","",3,"",37,"",1323,1
39,335,0,"Shackled Hellion",1,"","","","",3,"","","",1323,1
40,337,0,"Shackled Hellion",1,"","","",335,3,"",39,1,1323,""
41,338,0,"Shackled Hellion",1,"","","",335,3,"",39,1,1323,""
42,339,0,"Shackled Hellion",1,"","","",335,3,"",39,1,1323,""
43,341,1,"Blood Ape",5,"","","","",5,"","","",1323,1
44,344,1,"Dread Primate",5,"","","","",5,"","","",1323,1
45,345,1,"Dread Primate",5,"","","","",5,"",44,"",1323,1
46,346,1,"Stygian Ape",5,"","","","",5,"","","",1323,1
47,352,1,"Infested Ape",5,"","","","",5,"","","",1323,1
48,353,1,"Infested Ape",5,"","","","",5,"",47,"",1323,1
49,354,1,"Blood Chieftain",4,"","","","",28,"","","",1323,1
50,358,1,"Carnage Chieftain",4,"","","","",28,"","","",1323,1
51,359,1,"Stygian Silverback",4,"","","","",28,"","","",1323,1
52,365,1,"Host Chieftain",4,"","","","",28,"","","",1323,1
53,366,1,"Host Chieftain",4,"","","","",28,"",52,"",1323,1
54,368,1,"Carnage Ape",5,"","","","",5,"","","",1323,1
55,370,1,"Barrow Ape",5,"","","","",5,"","","",1323,1
56,421,5,"Rhoa Mare",16,"","","","",6,"","","",1323,1
57,422,5,"Elder-Blessed Rhoa",16,"","","","",6,"","",1,1323,""
58,429,5,"Albino Rhoa",16,"","Art/2DArt/UIImages/InGame/Bestiary/SmallIcons/AlbinoRhoa","Art/2DArt/UIImages/InGame/Bestiary/ItemIcons/AlbinoRhoa","",6,"","",1,1323,""
